Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2005,0,8079782000000,-4793131000000,3286651000000,264832000000,-58254000000,206578000000,43116000000,-194000000,0,272085000000,0,272085000000,0,3808236000000,-1790546000000,2017690000000,-1492506000000,525184000000,-102091000000,0,-102091000000,423093000000,0,0
2006,0,10116365000000,-6571160000000,3545205000000,349447000000,-76763000000,272684000000,60002000000,22765000000,0,606275000000,0,606275000000,64638000000,4571569000000,-2141322000000,2430247000000,-1600256000000,829991000000,-227191000000,0,-227191000000,602800000000,0,0
2007,0,12769280000000,-8085890000000,4683390000000,437656000000,-102909000000,334747000000,64087000000,71374000000,0,1406835000000,0,1406835000000,88247000000,6648680000000,-2766027000000,3882653000000,-2353568000000,1529085000000,-379643000000,0,-379643000000,1149442000000,0,0
2008,0,21062887000000,-13873456000000,7189431000000,588190000000,-150205000000,437985000000,290046000000,-22787000000,0,664479000000,0,664479000000,135099000000,8694253000000,-4957685000000,3736568000000,-1300180000000,2436388000000,-631924000000,0,-631924000000,1804464000000,0,0
2009,0,18912533000000,-10976345000000,7936188000000,847864000000,-198651000000,649213000000,59278000000,119764000000,14246000000,833579000000,-29415000000,804164000000,101421000000,9684274000000,-5803230000000,3881044000000,-507900000000,3373144000000,-834471000000,44458000000,-790013000000,2572518000000,-10613000000,0
2010,0,31919276888889,-19830153083334,12089123805555,1807456376164,-333393000000,1474063376164,158444000000,-38591000000,-260177000000,1341684835918,-70071883812,1271612952106,164220000000,14858696133825,-7195333653942,7663362479883,-3025080034846,4638282445037,-1149164111259,-44588000000,-1193752111259,3435661333778,-8869000000,0
2011,0,55775244000000,-35727190000000,20048054000000,1923360000000,-771029000000,1152331000000,382562000000,10930000000,-501144000000,1191117000000,-167014000000,1024103000000,257345000000,22374181000000,-9077909000000,13296272000000,-4904251000000,8392021000000,-2132654000000,0,-2132654000000,6243795000000,-15572000000,3162
2012,0,50660762000000,-32240738000000,18420024000000,1855358000000,-577135000000,1278223000000,361688000000,34156000000,515883000000,1330576000000,-144977000000,1185599000000,165954000000,21961527000000,-9435673000000,12525854000000,-4357954000000,8167900000000,-1998221000000,0,-1998221000000,6151545000000,-18134000000,2053
2013,0,44280823000000,-26003568000000,18277255000000,2096679000000,-576553000000,1520126000000,291450000000,18930000000,8033000000,1931677000000,-436531000000,1495146000000,172759000000,21783699000000,-9909654000000,11874045000000,-4123423000000,7750622000000,-1942644000000,0,-1942644000000,5792449000000,-15529000000,1504
2014,0,41357011000000,-23494895000000,17862116000000,2117486000000,-938625000000,1178861000000,386608000000,192423000000,-153675000000,3744115000000,-2346199000000,1397916000000,166384000000,21030633000000,-9804496000000,11226137000000,-3922676000000,7303461000000,-1575581000000,0,-1575581000000,5712883000000,-14997000000,1266
2015,0,42471731000000,-23632746000000,18838985000000,2650863000000,-1190961000000,1459902000000,19767000000,129177000000,52807000000,4108124000000,-1905838000000,2202286000000,40960000000,22743884000000,-10719457000000,12024427000000,-4678986000000,7345441000000,-1628563000000,0,-1628563000000,5697921000000,-18957000000,1208
2016,0,52990698000000,-30585706000000,22404992000000,3334497000000,-1636472000000,1698025000000,685139000000,183919000000,40955000000,2546328000000,-1247565000000,1298763000000,150475000000,26462268000000,-12870682000000,13591586000000,-5022104000000,8569482000000,-1711921000000,289000000,-1711632000000,6837866000000,-19984000000,1457
2017,0,65277199000000,-38204212000000,27072987000000,4302331000000,-2447131000000,1855200000000,709966000000,324668000000,-80869000000,3233912000000,-1239040000000,1994872000000,743046000000,32619870000000,-15069777000000,17550093000000,-8343899000000,9206194000000,-1747409000000,117000000,-1747292000000,7432363000000,-26539000000,1546
2018,0,73869866000000,-51658034000000,22211832000000,5963790000000,-3193013000000,2770777000000,709869000000,271475000000,218321000000,2914313000000,-1025298000000,1889015000000,374238000000,28445527000000,-14084040000000,14361487000000,-7802854000000,6558633000000,-1272578000000,-8809000000,-1281387000000,5274803000000,-2443000000,1417
2019,0,82742771000000,-49543734000000,33199037000000,7888130000000,-3832752000000,4055378000000,1564300000000,365564000000,-790728000000,2357430000000,-859995000000,1497435000000,628400000000,40519386000000,-15734862000000,24784524000000,-13003531000000,11780993000000,-2286552000000,-17452000000,-2304004000000,9461267000000,-15722000000,2044
