disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2017-05-31,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2017-06-08,,,Giá tham chiếu 11.800 đ/cp,,,,
2017-06-08,stockAlert,nomargin,CP không đủ điều kiện GD ký quỹ,2017-06-08,,,Thời gian niêm yết dưới 6 tháng,,,,
2018-04-13,investorRight,MEETING,Họp cổ đông,2018-04-02,2018-04-26,2018-04-26,ĐHĐCĐ thường niên năm 2018,,,,
2018-06-27,schedEvent,schedIssue,Dự kiến phát hành,2018-08-10,2018-08-10,,"Dự kiến phát hành 30.000.000 cp ra công chúng, tỷ lệ 1:1, giá 10.000 đ/cp",,100,,
2018-06-29,investorRight,ISSUE,Phát hành thêm,2018-07-09,2018-08-06,,"Phát hành 30,000,000 cp cho CĐHH, giá 10000 đ/cp, tỷ lệ 100:100",,100,,
2018-06-29,investorRight,ADPAYDATE,Thay đổi thời gian trả cổ tức,2018-07-09,2018-07-30,2018-07-30,Thay đổi ngày trả cổ tức năm 2017 từ ngày 28/7/2018 thành ngày 30/7/2018,500,5,,2017
2018-07-02,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-07-09,2018-07-30,2018-07-30,Trả cổ tức năm 2017 (500 đ/cp),500,5,,2017
2018-09-06,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2018-09-13,,,Số lượng 16478110 cp,,,,
2018-09-06,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2019-08-12,,,Số lượng 13521890 cp,,,,
2019-04-16,investorRight,MEETING,Họp cổ đông,2019-04-04,2019-04-26,2019-04-26,ĐHĐCĐ thường niên năm 2019,,,,
2020-04-23,investorRight,MEETING,Họp cổ đông,2020-05-11,,,ĐHĐCĐ thường niên năm 2020,,,,
2020-08-11,stockAlert,noticed,Nhắc nhở,2020-08-11,,,V/v: Chủ tịch HĐQT kiêm nhiệm Tổng giám đốc,,,,
