Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2009,2,1779336000000,-1229788000000,247787000000,-244400000000,0,-5663000000,-414595000000,-35582000000,96481000000,0,-7892382000000,-12202677000000,1000000,-13578408000000,0,0,3351986000000,0,1001916000000,15825318000000,189554000000,-2198000000,1360902000000,0,4243960000000,-7605547000000,0,-10822000000,0,-7616369000000,-47016000000,-224000000,0,0,0,0,-43359000000,241844000000,73130000000,224375000000,0,0,0,-646985000000,0,0,-646985000000,-8038979000000,24978099000000,450843000000,17389963000000
2010,1,3406450000000,-2275847000000,127293000000,164429000000,0,266000000,-503190000000,-174799000000,744806000000,0,1835603000000,331272000000,0,3921578000000,0,0,-3468594000000,-866443000000,881820000000,3080185000000,14779000000,11737000000,984498000000,0,1059461000000,8530702000000,0,-55964000000,0,8474738000000,-108362000000,0,0,0,0,0,-89410000000,0,20248000000,-177524000000,0,500000000000,0,-1166963000000,0,0,-666963000000,7630251000000,40311008000000,25822000000,47967081000000
2010,2,3024415000000,-2175064000000,118249000000,-86682000000,0,19944000000,-425105000000,-151495000000,325231000000,0,438641000000,-4354711000000,-9788000000,-13956544000000,0,-160000000,12818744000000,507808000000,9902364000000,8408097000000,-38130000000,-4807000000,-2131482000000,0,-14677223000000,-2771960000000,0,-27731000000,0,-2799691000000,-99094000000,0,0,0,0,0,-381024000000,0,27337000000,-452781000000,0,-500000000000,0,-5158000000,-500000000000,2500000000000,1494842000000,-1757630000000,47967081000000,359215000000,46568666000000
2010,3,2146002000000,-2545243000000,143632000000,-61628000000,0,5450000000,-485480000000,-190875000000,-987966000000,0,322989000000,-15834577000000,9788000000,-8513670000000,0,-12000000,-10804072000000,559912000000,-4057804000000,8379688000000,676045000000,37892000000,2435731000000,0,11764010000000,-16012046000000,0,-13640000000,0,-16025686000000,-73092000000,0,0,0,0,0,-786271000000,0,26918000000,-832445000000,0,1000000000000,0,0,500000000000,-2500000000000,-1000000000000,-17858131000000,46568666000000,82281000000,28792816000000
2010,4,4628363000000,-3332480000000,432261000000,244431000000,0,22855000000,-764783000000,-207647000000,1023265000000,0,-8044115000000,4306104000000,-80348000000,-6288492000000,0,-118000000,11432982000000,-1006543000000,10953755000000,149445000000,-676046000000,64641000000,10362817000000,0,-10354569000000,11842778000000,0,-29293000000,0,11813485000000,-85560000000,0,0,0,0,0,-248935000000,0,111974000000,-222521000000,1562828000000,-1000000000000,0,-1328403000000,0,0,-765575000000,10825389000000,28792816000000,-467318000000,39150887000000
2011,1,5941980000000,-3740187000000,320778000000,-61470000000,0,-29181000000,-675952000000,-257637000000,1498556000000,0,5347316000000,12617452000000,-578015000000,-4445522000000,0,0,6206266000000,-4731892000000,6335924000000,3358953000000,0,107140000000,2399144000000,0,-6198926000000,21916396000000,0,-44903000000,0,21871493000000,-96991000000,0,0,0,0,0,0,96502000000,5449000000,4960000000,0,0,0,0,0,0,0,21876453000000,38310887000000,0,60187340000000
2011,2,5950541000000,-4113501000000,59139000000,-37877000000,0,-27994000000,-512924000000,-227258000000,1090380000000,0,-4159087000000,-3181684000000,-5604000000,-10832072000000,0,-58000000,-13511257000000,-4719785000000,2321050000000,31143469000000,0,-136527000000,-4806960000000,0,1752258000000,-5045877000000,0,-20294000000,0,-5066171000000,-246688000000,0,0,0,0,0,-39698000000,-76002000000,23069000000,-339319000000,0,0,0,-656388000000,0,0,-656388000000,-6061878000000,60187340000000,228182000000,54353644000000
2011,3,3836554000000,-1506080000000,143303000000,-28340000000,0,3926000000,-870892000000,-253107000000,1325521000000,0,-17534031000000,2622322000000,-84494000000,2138884000000,0,-136000000,-14880014000000,2779602000000,-3196495000000,6941021000000,0,-35261000000,9960928000000,0,10324319000000,362166000000,0,-11724000000,0,350442000000,-6621000000,0,0,0,0,0,39698000000,51386000000,13314000000,97777000000,0,0,0,0,0,0,0,448219000000,54353644000000,-241646000000,54560217000000
2011,4,8342975000000,-6269621000000,310315000000,139082000000,0,51735000000,-916692000000,-225111000000,1432047000000,0,-3897645000000,2720633000000,-270162000000,-2475341000000,0,194000000,-10290106000000,3750704000000,1123599000000,-6161963000000,0,17198000000,4921235000000,0,12919598000000,3789991000000,0,-16804000000,0,3773187000000,-48563000000,0,0,0,0,0,0,949000000,176345000000,128731000000,0,0,0,0,0,0,0,3901918000000,54560217000000,13464000000,58475599000000
2012,1,5551208000000,-4074353000000,173555000000,-79857000000,0,-5476000000,-955303000000,-291942000000,318191000000,0,16494863000000,-1412038000000,93150000000,-1896917000000,0,0,-2615811000000,-6530305000000,-14931563000000,2874303000000,32755000000,0,4726294000000,0,-1000020000000,-3847098000000,0,-107060000000,0,-3954158000000,-895641000000,51000000,0,0,0,0,-28816000000,0,129940000000,-794466000000,0,0,0,-1875393000000,0,0,-1875393000000,-6624017000000,58475599000000,163054000000,52014636000000
