Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,ST liabilities/ Equity,ST liabilities/ Total Assets,ROE %,ROA %,Net Profit per Employees,Dividend Yield,Cash Dividend Ratio,Dividend Payout Ratio,Gross profit margin %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,Total assets growth rate,Equity growth rate,Capital growth rate,Net Interest Margin (NIM),Average Yield on Earning Assets (YOEA),Average Cost of Financing (COF),Non-interest income/ Net Interest Income,Cost-to-Income Ratio,Preprovision ROA % %,Average Loans Growth %,Aver Deposit Growth %,CAR - Tier 1,CAR - Tier 2,Equity/Liabilities,Equity/Loans,Equity/Assets,Loans/Deposit Ratio,NPLs/Loans Ratio,Loan-loss reserves/NPLs,Loan-loss reserves/Loans,Provision Charges/Loans
2006,0,110004700,245002400,15035.6030242344,10819.9013314886,15266.456796846,51235.7381093717,4594.60368511527,2062.95122006968,4488.26504685709,4527,0,25.9697802945247,0.962004308424729,0.344157159573784,0.0146664415267239,52561148.0865225,0.0116959064327485,22.9730184255764,0.043529325640843,0.61148675897298,0.57737851189676,0.424643769323834,0.632742767923308,0,0,3.72175734229208,8.28909565754173,3.80993542526511,1.13730057733223,1.58042106633956,1.12010273422009,0.33375141319321,0.839510739235386,0.288948929478198,0.160000463980361,0.026931740575801,0.0817437397156363,-0.0495676038001382,0.404021828675607,-0.38851324102702,0.0211196665127656,0.813610634612718,0.470844166501542,0,0,0.0385062941872802,0.0972109009423125,0.0370432209096337,0.578826021817604,0.00194905274167751,-1.69492189855859,0.00330349217331488,-0.00307600382119429
2007,0,263006000,398003700,23793.5598427412,11485.7531767336,23639.0462574998,11021.4671908626,6691.07548877212,4421.54934740556,6677.02828072363,8095,0,12.6455323546477,0.926715940865481,0.444850727441772,0.027065020402082,183006759.567388,0,0,0,0.733632104109411,0.704051744856201,0.582554351100462,0.671681472323603,0,0,2.55564296482598,3.86742262868417,2.56101955556593,0.718681866564693,1.48880092901866,0.723379438143566,1.55151757056237,0.912459350120629,2.78349346155683,1.39086148137307,0.0229091807593187,0.0792955963255527,-0.0565808413585775,1.27606997451007,-0.266367895890589,0.0340839748734783,0.869641096766219,0.880716535901043,0,0,0.0790793121202572,0.196720541040438,0.0732840591345192,0.575417346319772,0.000835092245392823,-5.06444569922831,0.00422927933063859,-0.00366027628804392
2008,0,635581300,770579000,12219.4721587938,6670.23400468201,12141.8975039071,3537.56317248478,3478.20491257373,2868.85835196651,3434.12400585102,3628,0,12.5590760175668,0.926248661877518,0.315264123022889,0.0231851848577328,200825036.337209,0.14695652173913,1.02905470786205,0.971765633410866,0.624740651910755,0.603985020790305,0.521451707711047,0.290010174116609,0,0,6.6126063811982,8.01712638905098,6.69748674212488,1.88224169596785,3.44815488989677,1.89426734928367,6.50165067832409,0.233212987105852,0.24107628675604,1.4166038037155,0.033929245594658,0.130553681397646,0,0.490767548658356,-0.375259348089245,0.0277776969343397,0.094994077022194,0.161601725547104,0,0,0.07962369195005,0.222964857734255,0.0737513381224816,0.542422219405036,0.00886276401197725,-0.740565701587877,0.00656345904853772,-0.00264070538731899
2009,0,781413800,916411500,12933.3357051027,6315.5654532848,12871.8318002574,19171.9355353079,2816.95050688892,2401.98207901145,2668.00029638586,3042,0,15.6115455656464,0.939800905578103,0.24631949579122,0.0161149877104224,199964026.162791,0.104347826086957,1.17372937787038,0.851985149945212,0.633346234197286,0.575101062396278,0.446032984334569,0.274589802316731,0,0,8.16485768697495,9.57542531269251,8.62068869750741,1.77835018934254,3.64179584078848,1.78684746327559,1.19967021366425,0.594219130453279,0.301271955282633,0.229447436543523,0.0256303761390091,0.087986119484855,-0.0579022374519219,0.721119731707735,-0.366653765802714,0.0228825381507566,0.790213735943524,0.353524223020935,0,0,0.0640551568577889,0.162068869519791,0.0601990944218974,0.717424698682211,0.00408416065062276,-1.97107743050102,0.0080501968809829,-0.00591505288192351
2010,0,1496301210.14444,1631298910.14444,12132.6644601958,5854.42944492168,12090.0899171534,962.899040802697,1560.3770044232,1431.24842754493,1535.33024261755,2861,0,17.0282439011398,0.944531480410204,0.21736156198348802,0.0125195398128569,212099745.639535,0.104347826086957,0.650157085176334,1.53808982905844,0.606530656260713,0.565105640075793,0.425306183714236,0.254540410648769,0,0,14.7400275284767,16.0698866509517,14.9804904258173,1.89570890017252,3.92864927596846,1.90238452795688,23.8862009674728,0.221715933186907,0.125710857014055,0.199999923216099,0.0272821260208864,0.098024091644544,-0.0681255262615831,0.273621021334031,-0.393469343739287,0.0178541601075716,0.398299107774149,0.230299127479274,0,0,0.0587259617495297,0.130474721029351,0.0554685195897962,0.815390577507641,0.0033580554779996,-2.44768549824799,0.00821946369581182,-0.00304119440988054
2011,0,937696500,1072694200,12753.6916262351,8154.59479693056,12722.4405764552,20761.845650485,3420.98002925254,2990.45245140693,3421.92463126395,3280,0,22.4983825695128,0.9574438795078,0.274928158816934,0.0131976714689448,291409974.563953,0.0869565217391304,1.71049001462627,0.584627791714116,0.588380096344292,0.549620579778946,0.419515636821122,0.354547599866546,0,0,6.72321960471233,7.69114385656895,6.72136369979151,1.80339941360097,2.82049575395915,1.80782923384724,1.10780131916946,0.370137869786856,0.0511863793873772,0,0.0341016732864233,0.131404157064059,-0.090440511631901,0.123545037364787,-0.411619903655708,0.0185100304466817,0.179070270057017,0.329928914616529,0,0,0.0444476395985498,0.116323219305487,0.0425561204922,0.722897876614024,0.00892884482000805,-1.0745876485756,0.0095948263596289,-0.00311967740555039
2012,0,937696500,1072694200,13463.2602339883,6222.40565044233,13425.5156119277,-42213.7663945637,836.134079630243,730.907280005802,834.761567308825,666,0,12.9655651587887,0.928395307412913,0.0637857584732291,0.00342879439379434,71224563.9534884,0.0297826086956522,1.22063369289087,0.819246597750115,0.268061681709927,0.178701732111591,0.134374730064538,0.270539376106188,0,0,27.5075499974491,31.46773965614,27.5527778239112,1.7083529249428,3.696319605644,1.71315580457602,-0.5448459581887,-0.372613926945001,0.0556363309187689,0,0.0371473261063934,0.1203965240454,0,-0.171919426313301,-0.731938318290073,0.00684003897903007,0.0000553647186831707,-0.119425706536871,0,0,0.0771273745303846,0.12278821829314,0.0716046925870873,0.820984560891987,0.0250058240615208,-0.584247190749017,0.0146095824603077,-0.00507130480739009
2013,0,937696500,1072694200,13335.0204463811,6024.96330102544,13043.1840152971,-6541.12391376101,881.407790260495,770.483330664042,855.97232153474,868,0,12.3234403123046,0.924944310436362,0.065780920856326,0.00482051386378115,75081122.8197674,0.0304347826086957,1.25915398608642,0.794184040276203,0.334571358932963,0.183298354375284,0.146292640506288,0.261954926131541,0,0,26.0946184662181,29.8513920868053,26.8700277115988,1.72478175736444,3.8174506384272,1.76337311296272,-3.51621530232952,-0.0550663591049705,-0.00952516592403374,0,0.0298776351124072,0.100672469654513,-0.0694049941108952,0.22155791312522,-0.665428641067037,0.0110245181752059,0.0425539023313053,0.102825771311604,0,0,0.0811461714146112,0.116654534473876,0.0750556895636384,0.776115937782029,0.0302534598813074,-0.477349840527015,0.0144414842497325,-0.00813914462145161
2014,0,937696500,1072694200,13221.0187411385,6312.01673462576,12773.5050733366,1304.34314301056,1015.04271371387,887.300406770168,1007.44990516654,1021,0,13.4878100502988,0.93097645561833,0.0764453393479631,0.005498428173798951,86464571.2209302,0.0304347826086957,1.45006101959125,0.689626151237337,0.353911362455219,0.205347373671089,0.160811156939059,0.27443551020112,0,0,22.6591449692268,25.9213225019489,22.8299192665047,1.73965414090468,3.64384331775123,1.80060209534892,17.6333966435501,0.0780964042945063,-0.00854904615264529,0,0.0302703516351222,0.0870376596429067,0,0.237242775513767,-0.646088637544781,0.0121008780944769,0.0852134733698764,0.119489190551276,0,0,0.0741410203932879,0.106575574587733,0.0690235443816695,0.752353376599733,0.0217775076702751,-0.623233098378051,0.0135724635802973,-0.00786808612447298
2015,0,937696500,1072694200,13637.186445721,6633.584534015,13183.6185802123,3248.50311374736,1043.22880590895,958.550908544113,902.605213947157,1136,0,14.7541601818395,0.936524702779603,0.0816548205875399,0.005396597755171279,93407703.4883721,0,0,0,0.353457210750176,0.211268479647811,0.165302930458697,0.270758552408776,0,0,23.4847809619804,25.5594145095659,27.1436499827646,1.79655826350365,3.69332747240522,1.85836687028953,7.54193520588554,0.121637112938583,0.0314777335038112,0,0.0333650603819616,0.0798568342367127,-0.0462366257107231,0.0535863946914835,-0.646542789249824,0.0115392170289449,0.163544986460453,0.131330041962418,0,0,0.0677774937831348,0.0944787983290899,0.0634752972203967,0.77377685283663,0.0130824944191566,-0.870177382527632,0.0113840907505941,-0.00702862340136674
