Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2009,0,9598537000000,-6771124000000,869636000000,253367000000,0,20012000000,-1587112000000,-580547000000,1802769000000,0,-1459566000000,-1839487000000,38247000000,-27526580000000,0,0,-17368351000000,10256943000000,547937000000,22702247000000,23351000000,-28561000000,11176694000000,-79981000000,16735553000000,14981215000000,0,0,0,14981215000000,-364948000000,0,0,0,0,0,-260951000000,872317000000,126459000000,372877000000,0,0,0,-1131335000000,0,0,-1131335000000,14222757000000,25703138000000,385113000000,40311008000000
2010,0,13111753000000,-10328916000000,826440000000,531840000000,0,51536000000,-1967258000000,-724816000000,1500579000000,0,-5586882000000,-15514322000000,-78172000000,-24837417000000,0,0,10614342000000,-805266000000,17680135000000,20017415000000,-23351000000,109464000000,11651564000000,0,-13160675000000,1567414000000,0,-126627000000,0,1440787000000,-660164000000,0,0,0,0,0,-1808526000000,112403000000,80819000000,-2275468000000,1562827000000,0,0,-2500524000000,0,0,-937697000000,-1772378000000,40311008000000,-227743000000,38310887000000
2011,0,24080054000000,-15629389000000,825532000000,-2215913000000,0,-2592000000,-2722695000000,-963114000000,3372700000000,0,-20243447000000,14866306000000,-938275000000,-15614051000000,-831000000,0,-31886615000000,-2921372000000,6584078000000,35281479000000,0,-47450000000,12474348000000,0,18635165000000,19562035000000,0,-93725000000,0,19468310000000,-999428000000,4364000000,0,0,0,0,-29014000000,14267000000,231284000000,-778527000000,0,0,0,-656387000000,0,0,-656387000000,18033396000000,38310887000000,2131316000000,58475599000000
2012,0,23794757000000,-18394923000000,702567000000,-1100508000000,0,-2090000000,-3887485000000,-797049000000,317977000000,0,19429320000000,1168745000000,1004109000000,-5692000000,0,-1889000000,38770360000000,-6530305000000,-20965241000000,-16984496000000,0,-16268000000,-30507287000000,0,-25139244000000,-39459911000000,0,-123790000000,0,-39583701000000,-1576177000000,1835000000,0,0,0,0,0,1442503000000,228583000000,96744000000,0,0,0,-1875393000000,0,0,-1875393000000,-41362350000000,58475599000000,-445111000000,16668138000000
2013,0,15610568000000,-11083196000000,770420000000,283007000000,0,-61186000000,-3231267000000,-113316000000,2223450000000,0,12958628000000,-6863009000000,12188000000,-4375173000000,0,-421007000000,-213513000000,1583146000000,-5955024000000,12877241000000,0,47295000000,-16701212000000,0,-1261599000000,-6088589000000,0,-45000000000,0,-6133589000000,-354501000000,6925000000,0,0,0,0,-6882000000,439602000000,44501000000,129645000000,0,0,0,-642322000000,-259421000000,0,-901743000000,-6905687000000,16668138000000,0,9762451000000
2014,0,14138337000000,-8745404000000,694440000000,226041000000,0,-40845000000,-3393081000000,-82116000000,2849216000000,0,1754242000000,-6638924000000,-14253000000,-9134034000000,0,-496006000000,-27142000000,-1583146000000,-1648538000000,16502752000000,0,-175190000000,-422000000000,0,270899000000,1237876000000,0,-14798000000,0,1223078000000,-454851000000,11078000000,0,0,0,0,0,78415000000,63734000000,-301624000000,0,0,0,-636847000000,-405703000000,0,-1042550000000,-121096000000,9762451000000,0,9641355000000
2015,0,14537367000000,-8193322000000,745226000000,656029000000,0,38792000000,-3742720000000,-288162000000,3901100000000,0,-2274920000000,-959524000000,-33200000000,-17707749000000,0,-1145022000000,-139575000000,5178981000000,-3711908000000,20305409000000,0,-26477000000,-3000000000,0,-327381000000,3056734000000,0,-10624000000,0,3046110000000,-261238000000,337254000000,0,-64615000000,42169000000,0,0,65340000000,11999000000,130909000000,0,0,0,-627392000000,-601000000,0,-627993000000,2549026000000,9641355000000,0,12190381000000
2016,0,16096594000000,-8961266000000,944382000000,524755000000,0,200509000000,-4297586000000,-360194000000,4226379000000,0,3141004000000,-6132295000000,31538000000,-28052950000000,0,-1329800000000,624073000000,-5178981000000,-198215000000,32132272000000,0,-38981000000,486000000000,0,97036000000,-192920000000,0,-5038000000,0,-197958000000,-584690000000,1578000000,0,-181284000000,38368000000,0,0,224204000000,34278000000,-467546000000,0,3054000000000,0,0,0,0,3054000000000,2388496000000,12190381000000,0,14578877000000
2017,0,19993283000000,-11327835000000,1188331000000,532644000000,0,521423000000,-4920839000000,-557841000000,5798478000000,0,-1157395000000,-7512729000000,16065000000,-35112173000000,0,-4660790000000,-545622000000,0,13218631000000,34341663000000,10491000000,13769000000,146000000000,0,334163000000,4890551000000,0,-5030000000,0,4885521000000,-713293000000,25174000000,0,0,14605000000,0,0,5610000000,32159000000,-635745000000,0,0,0,-130000000000,0,0,-130000000000,4119776000000,14578877000000,0,18698653000000
2018,0,24135324000000,-13058436000000,1497526000000,385448000000,0,44701000000,-6472031000000,-1152435000000,7145260000000,0,-2763423000000,-665001000000,0,-32013826000000,0,-238171000000,448784000000,3074100000000,5264636000000,28605571000000,27707000000,23627000000,2362600000000,0,638518000000,11910382000000,0,-5205000000,0,11905177000000,-373545000000,24625000000,0,-24211000000,34400000000,0,0,34000000000,30232000000,-274499000000,0,2167000000000,-3000000000000,-100000000000,0,0,-933000000000,10697678000000,18698653000000,0,29396331000000
2019,0,28097818000000,-15242345000000,1896492000000,588907000000,0,66338000000,-7538838000000,-1588153000000,7707977000000,0,-5294776000000,-4393112000000,-87753000000,-38173321000000,0,-341513000000,242793000000,-3074100000000,-1469810000000,38130888000000,-38198000000,-3946000000,12334480000000,0,276619000000,5816228000000,0,-1326000000,0,5814902000000,-535261000000,22135000000,0,-139339000000,0,0,0,58100000000,28522000000,-565843000000,0,196000000000,0,0,0,837523000000,1033523000000,6282582000000,29396331000000,0,35678913000000
