Year,Quarter,date
2010,0,2011-01-30
2011,0,2012-01-30
2012,1,2012-04-30
2012,0,2013-01-30
2013,1,2013-04-30
2013,2,2013-07-30
2013,3,2013-10-24
2013,4,2014-01-22
2013,0,2014-01-27
2014,1,2014-04-23
2014,2,2014-07-30
2014,3,2014-10-21
2014,4,2015-01-23
2014,0,2015-01-30
2015,1,2015-04-22
2015,2,2015-07-30
2015,3,2015-10-22
2015,4,2016-01-25
2015,0,2016-01-30
2016,1,2016-04-22
2016,2,2016-07-30
2016,3,2016-10-21
2016,4,2017-01-23
2016,0,2017-01-30
2017,1,2017-04-24
2017,2,2017-07-30
2017,3,2017-10-25
2017,4,2018-01-30
2017,0,2018-02-04
2018,1,2018-04-20
2018,2,2018-07-23
2018,3,2018-10-22
2018,0,2019-01-23
2018,4,2019-01-28
2019,1,2019-04-23
2019,2,2019-07-25
2019,3,2019-10-21
2019,0,2020-01-30
2019,4,2020-02-04
2020,1,2020-04-22
2020,2,2020-07-22
