date,close,ask
2014-07-10,21190.00,21240.00
2014-07-11,21150.00,21200.00
2014-07-12,21150.00,21200.00
2014-07-13,21150.00,21200.00
2014-07-14,21180.00,21230.00
2014-07-15,21180.00,21230.00
2014-07-16,21180.00,21230.00
2014-07-17,21180.00,21230.00
2014-07-18,21195.00,21245.00
2014-07-19,21195.00,21245.00
2014-07-20,21195.00,21245.00
2014-07-21,21185.00,21235.00
2014-07-22,21190.00,21240.00
2014-07-23,21210.00,21260.00
2014-07-24,21210.00,21260.00
2014-07-25,21210.00,21260.00
2014-07-26,21210.00,21260.00
2014-07-27,21210.00,21260.00
2014-07-30,21205.00,21255.00
2014-07-31,21205.00,21255.00
2014-08-02,21200.00,21250.00
2014-08-04,21200.00,21250.00
2014-08-05,21190.00,21240.00
2014-08-06,21200.00,21250.00
2014-08-07,21190.00,21250.00
2014-08-08,21185.00,21235.00
2014-08-09,21185.00,21235.00
2014-08-10,21185.00,21235.00
2014-08-11,21180.00,21230.00
2014-08-12,21180.00,21230.00
2014-08-13,21180.00,21230.00
2014-08-14,21180.00,21230.00
2014-08-15,21185.00,21235.00
2014-08-16,21185.00,21235.00
2014-08-17,21185.00,21235.00
2014-08-18,21185.00,21235.00
2014-08-19,21180.00,21230.00
2014-08-20,21170.00,21220.00
2014-08-21,21175.00,21225.00
2014-08-22,21175.00,21225.00
2014-08-23,21175.00,21225.00
2014-08-24,21175.00,21225.00
2014-08-25,21180.00,21230.00
2014-08-26,21185.00,21235.00
2014-08-27,21170.00,21220.00
2014-08-28,21170.00,21220.00
2014-08-29,21170.00,21220.00
2014-08-30,21170.00,21220.00
2014-08-31,21170.00,21220.00
2014-09-01,21170.00,21220.00
2014-09-02,21170.00,21220.00
2014-09-04,21170.00,21220.00
2014-09-05,21170.00,21220.00
2014-09-06,21170.00,21220.00
2014-09-07,21170.00,21220.00
2014-09-08,21175.00,21225.00
2014-09-09,21175.00,21225.00
2014-09-12,21180.00,21230.00
2014-09-13,21180.00,21230.00
2014-09-14,21180.00,21230.00
2014-09-15,21175.00,21225.00
2014-09-16,21170.00,21220.00
2014-09-19,21180.00,21230.00
2014-09-20,21180.00,21230.00
2014-09-21,21180.00,21230.00
2014-09-22,21200.00,21250.00
2014-09-23,21200.00,21250.00
2014-09-24,21190.00,21240.00
2014-09-25,21195.00,21245.00
2014-09-26,21195.00,21245.00
2014-09-27,21195.00,21245.00
2014-09-28,21195.00,21245.00
2014-09-29,21195.00,21245.00
2014-10-11,21190.00,21240.00
2014-10-12,21190.00,21240.00
2014-10-13,21190.00,21240.00
2014-10-14,21220.00,21270.00
2014-10-15,21220.00,21270.00
2014-11-01,21255.00,21305.00
2014-11-02,21255.00,21305.00
2014-11-03,21270.00,21320.00
2014-11-04,21260.00,21310.00
2014-11-05,21265.00,21315.00
2014-11-06,21260.00,21310.00
2014-11-07,21270.00,21320.00
2014-11-08,21270.00,21320.00
2014-11-09,21270.00,21320.00
2014-11-10,21270.00,21320.00
2014-11-11,21270.00,21320.00
2014-11-12,21275.00,21325.00
2014-11-13,21290.00,21340.00
2014-11-14,21300.00,21350.00
2014-11-15,21300.00,21350.00
2014-11-16,21300.00,21350.00
2014-11-17,21325.00,21375.00
2014-11-18,21360.00,21420.00
2014-11-19,21340.00,21400.00
2014-11-20,21345.00,21395.00
2014-11-21,21335.00,21385.00
2014-11-22,21335.00,21385.00
2014-11-23,21335.00,21385.00
2014-11-24,21350.00,21400.00
2014-11-25,21390.00,21400.00
2014-11-26,21390.00,21400.00
2014-11-27,21390.00,21400.00
2014-11-28,21390.00,21405.00
2014-11-29,21390.00,21405.00
2014-11-30,21390.00,21405.00
2014-12-01,21390.00,21405.00
2014-12-02,21360.00,21405.00
2014-12-03,21330.00,21380.00
2014-12-04,21330.00,21380.00
2014-12-05,21310.00,21360.00
2014-12-06,21310.00,21360.00
2014-12-07,21310.00,21360.00
2014-12-15,21360.00,21405.00
2014-12-16,21360.00,21405.00
2014-12-17,21360.00,21405.00
2014-12-18,21360.00,21405.00
2014-12-19,21360.00,21405.00
2014-12-20,21360.00,21405.00
2014-12-21,21360.00,21405.00
2014-12-22,21360.00,21405.00
2014-12-23,21360.00,21405.00
2014-12-24,21360.00,21405.00
2014-12-25,21360.00,21405.00
2015-01-01,21380.00,21405.00
2015-01-02,21380.00,21405.00
2015-01-03,21380.00,21405.00
2015-01-08,21350.00,21410.00
2015-01-09,21340.00,21400.00
2015-01-20,21340.00,21400.00
2015-01-21,21345.00,21405.00
2015-01-22,21330.00,21390.00
2015-01-23,21320.00,21380.00
2015-01-24,21320.00,21380.00
2015-01-25,21320.00,21380.00
2015-01-26,21320.00,21380.00
2015-01-27,21320.00,21380.00
2015-01-28,21320.00,21380.00
2015-01-29,21320.00,21380.00
2015-01-30,21315.00,21365.00
2015-01-31,21315.00,21365.00
2015-02-01,21315.00,21365.00
2015-02-02,21325.00,21375.00
2015-02-03,21320.00,21370.00
2015-02-04,21325.00,21375.00
2015-02-05,21315.00,21365.00
2015-02-06,21315.00,21365.00
2015-02-07,21315.00,21365.00
2015-02-08,21315.00,21365.00
2015-02-09,21300.00,21350.00
2015-02-10,21310.00,21360.00
2015-02-11,21310.00,21360.00
2015-02-12,21305.00,21355.00
2015-02-13,21310.00,21360.00
2015-02-14,21310.00,21360.00
2015-02-15,21310.00,21360.00
2015-02-16,21310.00,21360.00
2015-02-17,21310.00,21360.00
2015-02-18,21310.00,21360.00
2015-02-19,21310.00,21360.00
2015-02-20,21310.00,21360.00
2015-02-21,21310.00,21360.00
2015-02-22,21310.00,21360.00
2015-02-23,21310.00,21360.00
2015-02-24,21335.00,21385.00
2015-02-25,21335.00,21385.00
2015-02-26,21345.00,21395.00
2015-02-27,21335.00,21385.00
2015-02-28,21335.00,21385.00
2015-03-01,21335.00,21385.00
2015-03-02,21325.00,21375.00
2015-03-03,21325.00,21375.00
2015-03-04,21335.00,21385.00
2015-03-05,21335.00,21385.00
2015-03-06,21330.00,21380.00
2015-03-07,21330.00,21380.00
2015-03-08,21330.00,21380.00
2015-03-09,21330.00,21380.00
2015-03-10,21330.00,21380.00
2015-03-11,21335.00,21385.00
2015-03-12,21340.00,21390.00
2015-03-13,21345.00,21395.00
2015-03-14,21345.00,21395.00
2015-03-15,21345.00,21395.00
2015-03-16,21460.00,21520.00
2015-03-17,21430.00,21490.00
2015-03-18,21460.00,21520.00
2015-03-19,21440.00,21510.00
2015-03-20,21460.00,21520.00
2015-03-21,21460.00,21520.00
2015-03-22,21460.00,21520.00
2015-03-23,21490.00,21550.00
2015-03-24,21505.00,21565.00
2015-03-25,21465.00,21525.00
2015-03-26,21465.00,21525.00
2015-04-08,21570.00,21630.00
2015-04-09,21570.00,21630.00
2015-04-10,21570.00,21630.00
2015-04-11,21570.00,21630.00
2015-04-12,21570.00,21630.00
2015-04-13,21570.00,21630.00
2015-04-14,21570.00,21630.00
2015-04-15,21565.00,21625.00
2015-04-16,21575.00,21635.00
2015-04-17,21565.00,21625.00
2015-04-18,21565.00,21625.00
2015-04-19,21565.00,21625.00
2015-04-20,21555.00,21615.00
2015-04-21,21555.00,21615.00
2015-04-22,21555.00,21615.00
2015-04-23,21555.00,21615.00
2015-04-24,21560.00,21620.00
2015-04-25,21560.00,21620.00
2015-04-30,21570.00,21630.00
2015-05-01,21570.00,21630.00
2015-05-02,21570.00,21630.00
2015-05-14,21750.00,21810.00
2015-05-15,21750.00,21810.00
2015-05-17,21720.00,21780.00
2015-05-18,21760.00,21820.00
2015-05-19,21770.00,21830.00
2015-05-20,21770.00,21830.00
2015-05-21,21770.00,21830.00
2015-05-22,21770.00,21830.00
2015-05-23,21770.00,21830.00
2015-05-24,21770.00,21830.00
2015-05-25,21805.00,21865.00
2015-06-02,21780.00,21840.00
2015-06-03,21780.00,21840.00
2015-06-04,21780.00,21840.00
2015-06-05,21780.00,21840.00
2015-06-06,21780.00,21840.00
2015-06-07,21780.00,21840.00
2015-06-08,21770.00,21840.00
2015-06-09,21770.00,21840.00
2015-06-13,21770.00,21830.00
2015-06-14,21770.00,21830.00
2015-06-15,21770.00,21830.00
2015-06-16,21775.00,21835.00
2015-06-17,21775.00,21835.00
2015-06-18,21775.00,21835.00
