Year,Quarter,1. Premium received and interest income received,2. Payments to suppliers,3. Payments to employees,4. Interest payment,5. Payments for enterprise income tax,6. Other cash receipts,7. Other cash disbursements,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal and liquidation of fixed assets,3. Loans to other entities and payments for purchase of debt instruments of other entities,4. Collections from borrowers and proceeds from sale of debt instruments of other entities,5. ,6. Withrawals of investments in other entities,"7. Interest received, dividends received and profit shares",8. Cash transfer under trusted investment arrangement,9. Cash receipt from trusted investment arrangement,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Cash receipts from issuing shares,"2. Payments to shareholders, repurchasing shares",3. Cash receipts from short and long term loans,4. Payments for original loans,5. Payments for financial loans,6. Dividends paid out,7. Refund to investors and shares premium paid to MOF,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,IMPACT OF EXCHANGE RATE FLUCTUATION,Cash and cash equivalents at the end of period
2015,1,360201847472,-12544962507,-88983493306,-108968724846,-19187975982,192286657724,-293067821800,29735526755,-3253635877,0,-125000000000,141800000000,0,0,0,0,0,13546364123,0,-1098054,89772920841,-125510846650,0,0,0,-35739023863,7542867015,48242205907,0,55785072922
2016,1,357311748323,-15352372604,-39986245831,0,-17440700541,93935447063,-360421267638,18046608772,-13026892591,0,0,-12000000000,0,0,0,0,0,-25026892591,0,-4411849,96644286932,-76997676576,0,0,-4411849,19637786658,12657502839,16953443323,0,29610946162
2016,2,462443047050,-106645888884,-51574998484,0,-33781136812,90738012737,-256013944791,105165090816,-129217864,0,0,-184635900000,0,287740442056,38760940170,0,0,141736264362,0,4411849,256014365343,-220775867676,0,-7155355677,4411849,28091965688,274993320866,29610946163,732843,304604999872
2017,1,0,-17473887849,-64355463804,0,-24961780178,479225082180,-380199076825,-7765126476,-4528779973,0,-357800000000,0,0,179450000000,196875710446,0,0,13996930473,0,0,312371541915,-316453786795,0,-11488136730,0,-15570381610,-9338577613,40777971735,0,31439394122
2017,2,940912455313,-145612833746,-59358707767,0,-39627220953,-187802789937,-292758953668,215751949242,-2083007965,0,-122660972223,0,0,46019100000,-141419114758,0,0,-220143994946,0,0,202513300279,-184190547716,0,-17297512007,0,1025240556,-3366805148,31439394122,0,28072588974
2017,3,550400793780,105142119150,-56123000096,0,-13885002631,18628333274,-560937709682,43225533795,-2583084106,0,-832832557777,0,0,23430900000,743156316550,0,0,-68828425333,0,0,167646163182,-161112475689,0,12960808904,0,19494496397,-6108395141,28072588974,0,21964193833
2018,1,429646408773,-16553774915,-62486500176,0,-27654457904,66785278598,-422737691299,-33000736923,-1505342331,0,-278462828500,0,0,81000000000,668986,0,0,-198967501845,0,0,764145236622,-548906128618,0,-409745532,0,214829362472,-17138876296,34586834339,0,17447958043
2018,2,474687237371,-809749343817,-56938782770,-293914874,21444745780,339012306137,152715472841,120877720668,-4879754477,24504550000,-272037171500,492528000000,0,-81000000000,59168188013,0,0,218283812036,0,0,-502164475884,331595351499,0,382945532,0,-170186178853,168975353851,17447958043,27117696,186450429590
2018,3,581959505322,-286461659835,-52180268172,-6764273607,-9815372,1069791024528,-1282135991755,24198521109,2791943455,-17604250000,-291500000000,225000000000,0,15300000000,41295181217,0,0,-24717125328,0,0,84486858284,-187380027876,0,26800000,0,-102866369592,-103384973811,184684549499,16980573,81316556261
2018,4,824760540551,-482839308556,-75984964573,3307584570,-26000000000,-771236203958,847012898144,319020546178,-21760404015,20405818181,-585940000000,404998899998,-977570889,0,8870265356,0,0,-174402991369,0,0,182687437997,-252216814252,0,-109600000,0,-69638976255,74978578554,81316556261,-38625361,156256509454
2019,1,542861313677,-465345287379,-92061066959,-1115939577,1226137136884,0,-645472427446,565003729200,-75390909,0,-458500000000,249000000000,0,0,0,0,18167938262,-191407452647,0,0,99663212196,-64695442662,0,0,0,34967769534,408564046087,156256509455,0,564820555542
2019,2,579451657469,-624882399947,-61648746277,-1649227167,-1237476280674,977422623917,284053361553,-84729011126,0,0,-416000000000,84000000000,0,0,57951846987,0,-18167938262,-292216091275,0,0,155766510767,-96232323279,0,-102704349400,0,-43170161912,-420115264313,564820555542,-16796963,144688494266
2019,3,517098791408,-447740040955,-67884162638,-2402457169,-8001072745,114520389147,-124994435763,-19402988715,-40590000,485500000,-238000000000,209500000000,0,0,-57951846987,0,96174437689,10167500702,0,0,39678098165,-120088950190,0,-20594816920,0,-101005668945,-110241156958,144688494266,0,34447337308
2019,4,1113749890802,-1287279880813,-88197001888,-883968144,-4983546709,656944939686,-132646759544,256703673390,-7152872440,0,-722500000000,421007005000,0,0,131409690025,0,-96174437689,-273410615104,0,0,83644431214,-79963785367,0,-8665285000,0,-4984639153,-21691580867,34447337308,-10298659,12745457782
2020,1,874089083437,-542873339319,-126654365392,-1258752404,-10910769785,126899003378,-147180291216,172110568699,-250000000,0,-885000000000,668000000000,0,0,0,0,51274318180,-165975681820,0,0,61266568612,-30000000000,0,-7980000,0,31258588612,37393475491,12745468283,0,50138943774
2020,2,810745575676,-628720293824,-82217585021,-795182669,-5600000000,108871785712,-56015394697,146268905177,-70145455,0,-715000000000,642000000000,0,0,0,0,57198288615,-15871856840,0,0,60000000000,-159657290739,0,-39347605500,0,-139004896239,-8607847902,50138943774,-19717586,41511378286
