Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2009,0,380890146623,0,0,0,0,0,0,0,0,0,0,0,0,380890146623,-256531363136,0,0,0,0,0,-256531363136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-256531363136,124358783487,0,0,0,0,0,0,0,-107836223240,-107836223240,0,0,124358783487,0,-107836223240,46739959718,-6138015809,40601943909,237105113,-7310738213,-7073633100,0,50050871056,-12567182312,0,37483688744,0,37483688744,0
2010,0,480650417036,0,0,0,0,0,0,0,0,0,0,0,0,480650417036,-311500849760,0,0,0,0,0,-311500849760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-311500849760,169149567276,0,0,0,0,0,0,0,-157855662152,-157855662152,0,0,11293905124,0,0,63617463401,-9167712923,54449750478,244522402,-1830,244520572,0,65988176174,-16613908244,0,49374267930,0,49374267930,0
2011,0,511531374700,0,0,0,0,0,0,0,0,0,0,0,0,511531374700,-316994982038,0,0,0,0,0,-316994982038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-316994982038,194536392662,0,0,0,0,0,0,0,-174621444705,-174621444705,0,0,19914947957,0,0,35569248125,-6523729218,29045518907,35549617720,-28310246381,7239371339,0,56199838203,0,-14147874934,42051963269,0,42051963269,0
2012,0,472934709447,60019877406,-107368707399,-93593728144,-3160689641,-7632426184,-2981863430,-31821413375,22239201805,221533631,0,36614375,184919256,416225201515,-126726764398,-7942924235,29312182163,28474556738,0,837625425,-105357506470,0,-22888722771,-12816463650,-72184927097,-57760750380,-48422251132,0,0,0,0,-9338499248,-14424176717,0,0,-213247619988,202977581527,0,0,0,0,0,0,-91728008621,-110906674041,-110906674041,0,0,342898865,0,0,42310102797,-13305708806,29004393991,6601459632,-3520756089,3080703543,0,32427996399,0,-8468996841,23958999558,-45559403,24004558961,600
2013,0,693069499689,71792077313,-188951181806,-166625726643,-2794903801,-19530551362,0,-84129825258,47844143050,402134908,0,0,402134908,540026847896,-209067209991,-15382077462,49617313018,49250132989,367180029,0,-174831974435,0,-4707532173,-5860944286,-195754644909,-189385750762,-36820489545,0,0,0,0,-152565261217,-6368894147,0,0,-381155095803,158871752093,0,0,0,0,0,0,-329868401,-156326474546,-156326474546,0,0,2215409146,0,0,56699191631,-21950131170,34749060461,6673313423,-2025148158,4648165265,0,41612634872,0,-10723013169,30889621703,210609985,30679011718,767
2014,0,1000375640922,80419926365,-165849589049,-163432985638,-2416603411,0,0,0,18596871316,3705065968,0,0,3705065968,780099171172,-271647046394,0,1000000,0,1000000,0,-242794097939,0,-15443692127,-9173625817,-322224078619,-322224078619,-90408750622,0,0,0,0,-231815327997,0,0,0,-589635494502,190463676670,0,0,0,0,0,0,0,-188765660032,-188765660032,0,0,1698016638,0,0,61360808892,-26848606257,34512202635,10143179823,-7770673150,2372506673,0,38582725946,0,-8807590338,29775135608,313996893,29461138715,646
2015,0,1401875639777,90436960436,-207984043345,-251798885140,43814841795,0,0,0,45632705900,27685734075,0,0,27685734075,1155850381665,-470300715419,0,0,0,0,0,-351514444916,0,-63849302016,-12403884064,-493117582039,-493117582039,-113353322419,0,0,0,0,-379764259620,0,0,0,-920885213035,234965168630,0,0,0,0,0,0,0,-228951853939,-228951853939,0,0,6013314691,0,0,63015760040,-22949234296,40066525744,10808013923,-6827397045,3980616878,0,50060457313,0,-11768078824,38292378489,3910041,38288468448,766
2016,0,1738475333930,20167505694,-290983122413,-328588583919,37605461506,0,0,0,75809326188,4193089925,0,0,4193089925,1422874150419,-434743829042,0,0,0,0,0,-401508385753,0,-56535597395,-14300542559,-575785667819,-575785667819,-119338251007,0,0,0,0,-456447416812,0,0,0,-1048130193526,374743956893,0,0,0,0,0,0,0,-341980743974,-341980743974,0,0,32763212919,0,0,88006164427,-34004177707,54001986720,11218566093,-9696164026,1522402067,0,88287601706,0,-18021673310,70265928396,10828834,70255099562,1277
2017,0,1920810167998,30519145878,-346422526310,-370473002474,24050476164,0,0,0,100978322122,7768528835,0,0,7768528835,1607448791208,-554500431988,0,0,0,0,0,-500083346823,0,-177975581424,-158563111,-627333918810,-627333918810,-120779072318,0,0,0,0,-506554846492,0,0,0,-1305551410168,301897381040,0,0,0,0,0,0,0,-378823707143,-378823707143,0,0,-76926326103,0,0,164823187437,-35227993123,129595194314,21493855595,-18226420551,3267435044,0,55936303255,0,-11501405710,44434897545,66173375,44368724170,555
2018,0,1924850397881,38357779707,-430160066369,-518387629945,88227563576,0,0,0,141822728762,6858396667,0,0,6858396667,1632301116728,-685832051421,0,580381843,0,580381843,0,-577931251667,0,-13489555381,-14448205472,-659708990201,-659708990201,-127951224062,0,0,0,0,-531757766139,0,0,0,-1265578002721,366723114007,0,0,0,0,0,0,0,-359641272406,-359641272406,0,0,7081841601,0,0,176397797684,-58233287251,118164510433,10352515783,-372214566,9980301217,0,135226653251,0,-27121217825,108105435426,0,108105435426,1287
2019,0,2506602268206,33228565401,-609985310866,-716823174683,106837863817,0,0,0,204688349540,5263111489,0,0,5263111489,1847706756058,-708734305246,0,0,0,0,0,-512683722118,0,17357787044,-18230076591,-942549211113,-942549211113,-131516591920,0,0,0,0,-811032619193,0,0,0,-1456105222778,391601533280,0,0,0,0,0,0,0,-371060859509,-371060859509,0,0,20540673771,0,0,203222625902,-48722031869,154500594033,2100392181,-464642419,1635749762,0,176677017566,0,-34910769785,141766247781,0,141766247781,1210
