date,close,volume
2018-12-21,872.2,1767
2018-12-24,876,611
2018-12-25,866,825
2018-12-26,863.7,745
2018-12-27,868.4,778
2018-12-28,860,372
2019-01-02,842,462
2019-01-03,823.6,822
2019-01-04,832.2,1308
2019-01-07,840.1,1092
2019-01-08,840.1,953
2019-01-09,846.4,810
2019-01-10,840,692
2019-01-11,844,1826
2019-01-14,843.3,2036
2019-01-15,858,5603
2019-01-16,854.8,16089
2019-01-17,841.5,64444
2019-01-18,841,117714
2019-01-21,862,124449
2019-01-22,854,129617
2019-01-23,860.8,147020
2019-01-24,861.7,166608
2019-01-25,863.2,48245
2019-01-28,865,113209
2019-01-29,870,109982
2019-01-30,868.2,122547
2019-01-31,866.9,103481
2019-02-01,868.5,91446
2019-02-11,878,63804
2019-02-12,885,119240
2019-02-13,894.5,137697
2019-02-14,892.1,122562
2019-02-15,889.6,87710
2019-02-18,899.5,67201
2019-02-19,900.1,84749
2019-02-20,908.9,87347
2019-02-21,925,37825
