ticker,name,exchange,industry,sector,RevenueGrowth1Y,QuickRatioQ,ProfitAfTaxGrowthQ,NetRevenueGrowthQ,EquityGrowthQ,EquityGrowthY,TotAssetGrowthQ,MarketCap,PBQ,ROA4Q,ROE4Q,TradingDay,ProfitGrowth1Y,EPSQ,AvgValue20P,Return5Y,NetProfitMargin4Q,InterestCoverageQ,TotAssetGrowthY,PEG3Y,DomesticOwnership,RelativePersonOwnership,BomOwnership,InternalOwnership,ExternalOwnership,MajorOwnership,TreasuryOwnership,MinorityOwnership,BETA,IndROA4Q,IndROE4Q,IndPE4Q,IndPBQ,StateOwnership,ForeignOwnership,OtherOwnership,CashDivYield,CashDiv1Y,GrossProfitMargin4Q,EPS4Q,PE4Q,EPSGrowthY,EPSGrowthQ,CurrentRatioQ,TotAssetTurnover4Q,RtBuyFrgnValue,RtSellFrgnValue,RtPrice,RtCHGPrice,RtPCTPrice,RtAccumValue,RtAccumVol,RtPCTVol10S,RtPCTVol20S,RtPCTHighest52w,RtPCTLowest52w,SMA10,SMA20,SMA50,SMA200,BollingerBandLower20,BollingerBandUpper20
DVN,Tổng công ty Dược Việt Nam - CTCP,UPCOM,Dược phẩm & công nghệ sinh học,Y tế,-0.0513,0.8105,-0.4696,-0.1647,0.0259,0.0603,0.0278,2418111000000,0.8867,0.0293,0.0601,1138,0.1071,97.9179,3500914845,-0.2536,0.0287,2.7296,-0.0007,-51.0279,100,0.008,0.006,0.014,99.986,82,0,18,0.4064,,,,,0,0,100,0.0392,400,0.0879,701.0336,14.5542,0.1071,-0.4696,1.2529,1.0211,0,0,11200,1000,0.0980392156862746,7364520000,670100,2.279357615881076,1.159844965612825,-0.2015398873600913,0.24017273834569808,10.54,10.73,10.66,10.88,10.075770985458483,11.393329014541504
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,0.2515,1.2495,-0.7819,-0.7015,-0.0236,0.4886,0.0691,5810518470400,0.6471,0.052,0.1172,3843,0.0323,130.1407,56670909450,0.5519,0.1986,3.5536,0.4481,-109.1057,58.742,0.53,15.017,15.547,84.453,12.18,0.239,87.581,1.3195,-0.255,-0.361,-0.7856,-0.7637,0,41.258,58.742,,,0.5586,2138.9719,5.2362,-0.3039,-0.7819,2.3488,0.2619,3903727500,3557278000,11700,500,0.044642857142857206,29675000000,2602810,-0.3706204085244964,-0.4416763374039808,-0.3295128939828081,0.5096774193548386,12.05,12.03,11.12,12.97,11.243735189711584,12.826264810288395
EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,HOSE,Ngân hàng,Ngân hàng,0.0173,,23.4555,,0.0259,0.0582,-0.0619,21883905691200,1.6179,0.0059,0.0602,3899,0.3111,297.7544,2815430675,0.3692,,,0.0975,42.6434,69.8679,0.008,0.038,0.046,99.954,15.074,0.495,84.431,0.2041,-0.5816,-0.6585,0.7871,-0.2596,0.53,30.1321,69.3379,,,,774.0748,22.9952,0.3111,,,0.0202,0,36551000,17750,-50.00000000000071,-0.002808988764045006,453000000,25700,-0.7150586513515311,-0.8363443010245993,-0.058355437665782495,0.21160409556313994,17.96,17.95,16.76,16.86,17.588060778581863,18.311939221418136
ELC,Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử - Viễn thông ,HOSE,Phần mềm & Dịch vụ máy tính,Công nghệ,1.1217,1.755,-0.8302,-0.6922,0.0049,0.0389,-0.1104,289538666560,0.351,0.0276,0.04,3548,2.1982,83.3036,1088564625,-0.5377,0.0338,17.2551,0.3378,34.7413,80.2065,7.606,29.356,36.962,63.038,54.581,0.612,44.807,0.7572,-0.7029,-0.7802,0.0282,-0.8304,0,19.7935,80.2065,,,0.1259,640.8653,8.9254,2.1982,-0.8302,2.3828,0.8178,7410000,537825800,5870,150.00000000000034,0.02622377622377625,1063000000,184620,0.3347793081010737,-0.004623202275208627,-0.23766233766233766,0.41105769230769235,5.81,5.83,5.49,5.75,5.3038204398114965,6.355179560188504
EVF,Công ty Tài chính Cổ phần Điện lực,UPCOM,Ngân hàng,Ngân hàng,,,0.4205,,0.0265,0.0677,-0.0182,1725293016415,0.4937,0.0125,0.076,693,0.1271,350.9543,1552080100,-0.2584,,,0.103,61.5807,99.9603,0.05,0.159,0.209,99.791,20.902,0,79.098,0.5959,,,,,7.5,0.0397,92.4603,,,,1030.8226,6.3163,0.1271,0.3401,,0.03,0,0,6800,299.99999999999983,0.04615384615384621,469010000,71600,-0.5014500423001536,-0.6576615558947596,-0.21866023210387225,0.3709677419354838,6.99,7.26,7.28,6.49,6.469051202668342,8.05094879733165
EVG,Công ty cổ phần Tập đoàn Everland,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,0.057,1.6562,-0.4642,-0.3973,0.0074,0.0843,0.0378,250800000000,0.3435,0.0204,0.0239,1118,-0.3313,59.9827,10379760125,-0.6741,0.0304,20.3815,0.1164,163.1753,98.4443,0.036,36.157,36.193,63.807,32.833,0,67.167,0.4568,-0.7143,-0.8325,0.1591,-0.847,0,1.5558,98.4443,,,0.0709,283.7685,14.7303,-0.3313,-0.4642,2.8831,0.6719,184900000,0,4280,100.00000000000054,0.02392344497607679,5427000000,1288360,-0.386563300357627,-0.4509252393007219,-0.16569200779727092,0.9454545454545455,4.68,4.5,3.35,2.76,3.5858044166223833,5.406195583377612
FCM,Công ty Cổ phần Khoáng sản FECON ,HOSE,Khai thác mỏ,Tài nguyên,-0.1511,1.6581,3.0633,-0.0232,0.0333,0.0392,-0.0171,261580000000,0.4493,0.0544,0.0891,2603,0.161,417.4972,669080255,0.2164,0.0685,7.1624,-0.0311,188.1636,97.9303,0,0.145,0.145,99.855,67.375,0,32.625,0.5288,0.3108,-0.3761,-0.6961,-0.5724,0,2.0697,97.9303,,,0.1462,1233.4744,5.1724,0.161,3.0633,2.2711,0.7941,0,0,6390,9.999999999999787,0.0015673981191222097,100000000,15510,-0.7926054690111654,-0.8463824097459516,-0.14228187919463092,0.16605839416058388,6.47,6.5,6.43,6.42,6.180823858770923,6.811176141229076
FCN,Công ty Cổ phần FECON,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,0.0863,1.3236,-0.8283,-0.6592,0.0383,0.2658,-0.0136,1156687365400,0.4812,0.0375,0.086,2898,-0.1854,104.0724,13897533380,-0.2919,0.067,2.4135,0.1957,-30.7122,49.4049,0.397,8.33,8.727,91.273,42.037,1.279,56.684,0.9873,-0.4748,-0.3973,-0.5518,-0.7856,0,50.5951,49.4049,,,0.143,1720.2871,5.6967,-0.3571,-0.8283,1.6103,0.5605,511040000,23672600,10350,549.999999999999,0.05612244897959173,9505000000,928750,-0.24025398217347482,-0.3181414389399788,-0.24003230780527207,0.5243004418262149,10.27,10.05,9.42,9.98,9.246817621970992,10.852182378029054
FIR,Công ty cổ phần Địa ốc First Real,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,0.1625,1.3631,-0.5416,-0.434,0.0233,0.3634,0.0522,611519911800,2.2196,0.1389,0.2034,621,0.0137,399.572,3232538175,2.2667,0.2945,22.3737,-0.2899,0.0006,99.198,0,12.68,12.68,87.32,45.156,0,54.844,0.3695,0.99,0.1091,-0.7321,-0.1895,0,0.802,99.198,,,0.5577,4492.503,6.5442,0.0137,-0.7135,2.2375,0.4718,94567500,0,29750,350.0000000000014,0.011904761904761862,3362000000,113630,0.11580270432161188,0.06946385630050034,-0.1066066066066066,0.2205128205128205,30.05,30.29,29.87,29,29.265721055920952,31.31927894407902
FIT,Công ty cổ phần Tập đoàn F.I.T,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,-0.26,3.9841,-0.9251,-0.0996,0.0051,0.0197,-0.0171,2279835710650,0.5745,0.0138,0.0178,2531,236.011,14.6688,15124599235,-0.2448,0.0591,1.3725,0.0168,0.4149,98.8021,0,3.902,3.902,96.098,51,0,49,0.6919,-0.8023,-0.9029,0.3061,-0.7902,0,1.1979,98.8021,,,0.2246,280.521,31.9049,236.011,-0.9251,4.4048,0.2335,843436800,4525000,9390,440.00000000000125,0.04916201117318453,10886000000,1197930,-0.4591911500805166,-0.3785946548236555,-0.13456221198156676,1.8981481481481484,8.7,7.86,6.84,6.42,5.867320899818919,9.859679100181085
FLC,Công ty Cổ phần Tập đoàn FLC,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,0.3493,0.945,-6.3447,-0.0481,-0.1628,0.2912,0.0284,2570192061340,0.264,-0.0293,-0.0904,3191,-0.3444,-1650.0926,65350973850,-0.5103,-0.0491,15.4219,0.2365,-28.5917,97.2434,0,21.198,21.198,78.802,42.674,0,57.326,1.1651,-1.4198,-1.4929,-1.1176,-0.9036,0,2.7566,97.2434,,,-0.1029,-1259.9856,-2.873,-0.3444,,1.0316,0.5955,976504900,986931100,3870,250,0.06906077348066297,122768000000,32916220,0.6203202035733935,0.8124397309726623,-0.24117647058823527,0.560483870967742,3.9,3.58,3.19,3.8,2.8441243347697425,4.323875665230263
FMC,Công ty Cổ phần Thực phẩm Sao Ta ,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,-0.0255,1.0657,-0.3444,-0.2589,-0.0327,0.3626,-0.001,1265335200000,1.2952,0.1549,0.2633,4954,0.273,821.9135,6027025575,1.9584,0.0625,21.2167,0.0171,28.4277,91.2031,0.369,3.05,3.419,96.581,71.608,0,28.392,1.0665,-0.0802,0.0778,-0.7106,-0.7095,3.37,8.7969,87.8331,0.0969,2500,0.1145,5038.2845,5.1208,0.0435,-0.3444,2.0199,2.4783,154632500,407204000,26200,399.9999999999986,0.015503875968992276,2495000000,94790,-0.6239491881126844,-0.5488489198360835,-0.11701267187921274,0.7050631263829233,27.95,27.46,25.46,23.9,24.725342862111077,30.198957137888918
FOX,Công ty Cổ phần viễn thông FPT,UPCOM,Điện thoại cố định,Viễn thông,0.1788,0.7991,-0.1007,-0.0627,0.0216,0.2187,-0.0017,13561812478975,3.0014,0.1108,0.2885,1264,0.2878,1372.1357,1635607565,0.501,0.1309,7.5217,0.1371,-226.9974,100,0.061,0.293,0.354,99.646,95.83,0.011,4.159,0.0506,,,,,50.17,0,49.83,0.0404,2000,0.4883,5711.4455,8.6782,0.1707,-0.1007,0.8647,0.846,0,0,49800,199.99999999999574,0.004032258064516014,2319430000,46800,0.5306873374871217,0.5468083031876481,-0.05323193916349815,0.4596400726889031,50.25,48.48,45.45,40.81,44.458479517823825,52.50452048217617
FPT,Công ty Cổ phần FPT,HOSE,Phần mềm & Dịch vụ máy tính,Công nghệ,0.194,1.1597,-0.0134,-0.1834,0.0448,0.137,0.0225,35785268271500,2.1729,0.0996,0.1957,4948,0.1966,1101.4156,73060669900,1.3462,0.1135,12.4658,0.1222,261.8049,50.9949,1.575,11.238,12.813,87.187,12.918,0.011,87.071,0.9885,0.0721,0.0753,0.0829,0.0498,5.9,49.0051,45.0949,0.0438,2000,0.3855,4856.2199,9.4003,0.0824,-0.0183,1.2361,0.8776,374635272000,374640332000,46200,550.0000000000043,0.012048192771084487,39851000000,866660,-0.1022890768802096,-0.4351706720977597,-0.11271581939349704,0.3397129186602872,46.69,47.15,46.76,46.68,44.98628786818811,49.31871213181184
FRT,Công ty cổ phần Bán lẻ Kỹ thuật số FPT,HOSE,Bán lẻ,Dịch vụ bán lẻ,0.0873,0.5544,2.8196,-0.0271,0.0256,0.1041,-0.083,1737599424000,1.365,0.0315,0.1441,796,-0.3875,467.0099,27282491850,-0.7079,0.0112,2.06,0.276,-80.0586,65.0888,0.001,1.203,1.204,98.796,34.767,0,65.233,1.2591,-0.7094,-0.4568,-0.1874,-0.4464,0,34.9112,65.0888,,,0.1301,2471.7855,8.9004,-0.4726,,1.1941,2.8164,116620000,1022320000,23500,1500,0.06818181818181812,16908000000,739900,0.1716251053021618,-0.3040021522409456,-0.5495840840265266,1.2380952380952381,23.91,24.97,23.63,26.55,21.62494394665747,28.3150560533425
FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,HOSE,Hàng hóa cá nhân,Đồ dùng cá nhân và đồ gia dụng,-0.1324,0.9751,0.1309,-0.835,-0.0946,-0.2042,-0.0168,73500000000,0.1784,-0.0753,-0.2536,1240,-4.3109,-891.222,1166576220,-0.9042,-0.1589,-1.5881,-0.091,0.5175,99.6893,0.328,39.139,39.467,60.533,63.474,0,36.526,0.8679,-1.5624,-2.0276,-1.0638,-0.9242,0,0.3107,99.6893,,,-0.0041,-2495.796,-0.589,,,1.004,0.474,0,0,1570,100.00000000000009,0.06802721088435382,346000000,225860,-0.5620873847585626,-0.6560904768611746,-0.9372,0.27642276422764234,1.71,1.73,1.56,2.28,1.4689224922624364,1.9850775077375553
FTS,Công ty Cổ phần Chứng khoán FPT,HOSE,Tài chính,Dịch vụ tài chính,-0.4439,24.4812,-7.2058,-2.4867,-0.0461,0.0688,-0.1714,1984010235000,0.9946,0.0059,0.0068,1264,-0.5626,-808.6229,4201227050,0.7525,0.0752,,0.0088,23.6167,80.5542,8.099,10.434,18.533,81.467,47.774,0,52.226,0.6774,-0.8066,-0.8936,24.8143,-0.1391,0,19.4458,80.5542,0.0333,500,0.4226,118.4705,126.6138,-0.6024,,24.4812,0.0784,216936000,1658000,15000,0,0,4319000000,288260,-0.1860327213377685,-0.07492895732946947,0,0.7001020061203672,13.76,13.22,11.69,10.73,11.327909015117019,15.117090984882989
G36,Tổng công ty 36 - CTCP,UPCOM,Xây dựng & Vật liệu,Xây dựng & Vật liệu,-0.4182,0.564,-0.9519,-0.8152,-0.001,-0.041,-0.0338,543816000000,0.5609,0.0039,0.0215,1282,-0.6175,12.7092,6389035510,-0.4253,0.0135,1.0623,-0.0159,30.0544,100,2.51,28.847,31.357,68.643,71.86,0,28.14,1.5893,,,,,0,0,100,,,0.1145,235.0197,24.7213,-0.6175,-0.9519,1.0288,0.2867,0,0,6000,200.00000000000017,0.034482758620689724,3206700000,554200,-0.5063804908601566,-0.478768835436308,-0.11764705882352941,1.2222222222222223,6.18,5.98,5.27,4.63,5.066545020266388,6.893454979733609
GAB,CÔNG TY CỔ PHẦN ĐẦU TƯ KHAI KHOÁNG & QUẢN LÝ TÀI SẢN FLC,HOSE,Sản xuất dầu khí,Dầu khí,1.0394,2.1278,-0.9234,-0.2684,-0.0033,0.1073,0.0854,2097600000000,14.6124,0.0753,0.0949,355,1.5579,27.0689,5537490650,9.5556,0.0738,1.8469,0.0623,25.8291,99.0731,0,8.115,8.115,91.885,33.442,0,66.558,0.3237,1.5184,1.5172,1.4728,0.9242,0,0.9269,99.0731,,,0.1534,1082.4466,140.4226,,-0.9234,2.3985,1.0194,0,41252000,152500,500,0.00328947368421062,2814000000,18440,-0.5403559499476545,-0.48777066348143727,-0.031746031746031744,17.395657418576597,152.43,153.78,151.92,75.6,149.86149773221942,157.6885022677807
GAS,Tổng Công ty Khí Việt Nam - CTCP,HOSE,"Ga, nước & dịch vụ công cộng gia dụng",Dịch vụ tiện ích,-0.008,3.9895,-0.2242,-0.0129,0.0459,0.0586,0.0514,132062550000000,2.5618,0.1761,0.2303,2962,0.0391,1218.9666,39468189800,0.4297,0.1524,87.6591,-0.007,55.478,96.6696,0.001,0.004,0.005,99.995,95.762,0,4.238,1.1797,0.379,0.296,-0.4117,0.018,95.76,3.3304,0.9096,0.0145,1000,0.2162,5874.9853,11.7447,0.0391,-0.2242,4.165,1.1556,3898726000,14054430000,71000,2000,0.02898550724637672,27030000000,387430,0.12033890953255355,-0.2640091488318902,-0.34564624345646244,0.3172541743970315,71.87,73.72,71.86,85.27,68.09839880461257,79.34160119538745
GEG,Công ty Cổ phần Điện Gia Lai,HOSE,Điện lực,Dịch vụ tiện ích,1.0722,1.1731,-0.0275,-0.1397,0.0296,0.0713,-0.0122,4485616894000,1.6986,0.0404,0.1052,285,0.7347,323.7656,10581972675,0.913,0.209,1.8649,0.551,301.0052,63.0833,0.032,2.7,2.732,97.268,70.527,0,29.473,0.5007,-0.4592,-0.1255,0.1381,0.3853,0,36.9167,63.0833,,,0.5675,1336.1895,16.4647,0.6521,-0.0275,1.6117,0.1931,0,0,21250,-750,-0.03409090909090906,10401000000,488880,-0.12479009498984939,-0.06499408066740231,-0.2697594501718213,0.112565445026178,20.37,20.28,20.66,24.09,18.736448577829375,21.828551422170673
GEX,Tổng Công ty Cổ phần Thiết bị điện Việt Nam,HOSE,Dụng cụ điện & Điện tử,Hàng hóa và dịch vụ công nghiệp,0.118,0.7561,-0.6018,-0.1881,-0.0055,0.0894,0.0587,7777987777500,0.9604,0.0264,0.0661,894,-0.3266,111.5895,23841317650,0.4903,0.0358,1.8012,0.2328,-78.0428,84.028,0.049,0.02,0.069,99.931,20.885,3.889,75.226,0.69,-0.5174,-0.5361,0.0066,-0.3082,0,15.972,84.028,,,0.1761,1222.958,13.5328,-0.4392,-0.6018,1.0591,0.7381,4340571000,0,16800,250,0.015105740181268867,24235000000,1460980,0.2936754255860803,0.049494281937819684,-0.2679738562091503,0.25373134328358216,16.9,16.95,16.59,18.51,15.973993484948336,17.931006515051678
GIL,Công ty Cổ phần sản xuất kinh doanh xuất nhập khẩu Bình Thạnh,HOSE,Hàng hóa cá nhân,Đồ dùng cá nhân và đồ gia dụng,0.1263,0.9995,-0.4073,-0.08,0.0464,0.1799,-0.0161,619200000000,0.7124,0.0997,0.2129,6754,-0.016,1782.6438,3944242325,0.28,0.0638,15.8579,0.0301,13.8431,96.0972,0,18.043,18.043,81.957,12.199,0,87.801,0.9446,-0.2554,-0.1374,-0.7547,-0.6972,0,3.9028,96.0972,,,0.1482,7600.1944,2.2631,-0.2178,-0.4073,1.4939,1.5634,102636500,0,17550,350.0000000000014,0.02034883720930236,856000000,48950,-0.5667834890965733,-0.7612457169335073,-0.33122475421080705,0.21512151215121517,18.15,18.74,18.57,18.32,16.764969898834796,20.71003010116519
GKM,Công ty cổ phần Khang Minh Group,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,0.2202,1.4174,1.5989,-0.0679,0.0061,0.0162,0.0076,261953278400,1.5263,0.0148,0.0251,1079,-0.4068,97.1348,3615785270,0.7672,0.0295,2.1152,0.2317,115.9657,100,8.848,28.769,37.617,62.383,27.563,0,72.437,0.2046,-0.7927,-0.8241,3.6673,-0.32,0,0,100,,,0.1484,296.7157,59.316,-0.4351,1.5989,1.8301,0.5008,0,0,17900,299.99999999999716,0.017045454545454364,1949210000,110000,-0.41287521943788674,-0.46301661158112073,-0.005555555555555635,0.2856424621130502,17.79,17.86,17.77,15.72,17.590613918671597,18.119386081328404
GMC,Công ty cổ phần Garmex Sài Gòn,HOSE,Hàng hóa cá nhân,Đồ dùng cá nhân và đồ gia dụng,-0.1428,1.2609,-0.2192,-0.0908,0.3314,0.2702,0.1148,465399627000,0.7256,0.1008,0.2055,4939,-0.1362,976.5412,1424318700,-0.168,0.0599,16.8201,0.0181,14.6175,89.6582,0,3.62,3.62,96.38,35.344,0.184,64.472,0.8431,-0.2472,-0.1673,-0.6287,-0.6916,0,10.3418,89.6582,,,0.1629,5079.4029,3.4256,-0.4987,-0.2192,1.903,1.6821,0,0,17800,400.00000000000216,0.02298850574712663,104000000,5840,-0.8368806211943467,-0.9150903618837145,-0.46565802113352545,0.4471544715447155,18.67,19.62,18.51,18.73,16.621824428804786,22.60817557119522
GMD,Công ty Cổ phần Gemadept ,HOSE,Giao thông công nghiệp,Hàng hóa và dịch vụ công nghiệp,-0.0239,0.6473,0.7679,-0.0681,0.0191,0.0059,0.0158,5522804200200,0.8613,0.0505,0.0754,6644,-0.7202,383.1247,7769103900,0.368,0.1948,4.5286,0.0136,29.2813,51,0.623,2.206,2.829,97.171,24.437,0,75.563,1.0394,-0.6599,-0.5848,-0.5822,-0.5877,0,49,51,,,0.3768,1714.3,10.8499,-0.7202,0.7679,0.6923,0.2591,0,0,18900,299.99999999999716,0.01612903225806428,2084000000,110530,-0.564398343192468,-0.7165595826222534,-0.30979074608333645,0.26421404682274235,19.47,19.77,19.21,21.17,18.420921001202743,21.114078998797233
GTN,Công ty cổ phần GTNFOODS,HOSE,Các ngành công nghiệp,Hàng hóa và dịch vụ công nghiệp,-0.0126,7.4906,1.2307,-0.0974,0.0089,-0.0552,0.0066,4407300000000,1.4603,-0.0106,-0.0127,2097,-9.3502,63.4113,26902605025,0.7019,-0.0157,,-0.1491,20.8432,99.6655,0,0.164,0.164,99.836,81.325,0.402,18.273,0.9117,-1.2542,-1.1597,2.1531,0.2205,0,0.3345,99.6655,,,0.1773,-187.1133,-94.5951,,,8.5145,0.677,1117920500,0,18350,650.0000000000022,0.03672316384180796,19644000000,1085290,0.03331429115490803,-0.27307568910420643,-0.18805309734513267,0.41153846153846163,17.86,17.82,17.03,18.07,16.615654939522273,19.029345060477738
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty cổ phần,HOSE,Hóa chất,Hóa chất,0.0046,2.1512,-0.8454,-0.6148,-0.0031,0.0254,-0.0159,44000000000000,0.8716,0.0435,0.0664,105,0.2522,56.5474,25776620225,0.0069,0.1718,3.603,0.0148,102.5583,99.4221,0.003,0.009,0.012,99.988,96.771,0,3.229,0.6517,-0.2077,-0.2506,-0.2355,-0.1939,0,0.5779,99.4221,,,0.2346,833.5571,13.1965,0.2522,-0.8454,2.5816,0.2529,938979500,0,11500,500,0.045454545454545414,8363000000,736830,-0.445438753883577,-0.6368360779400454,-0.3072289156626506,0.3855421686746988,12.01,12.39,12.12,12.16,11.170587924292928,13.604412075707057
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,-0.6148,0.4855,-2.2344,0.3833,-0.0357,-0.0001,0.0199,4822476271600,0.2945,0.0035,0.009,4208,0.8426,-74.613,40220742550,-0.7263,0.059,0.7038,-0.197,174.007,98.5412,0.138,35.874,36.012,63.988,35.536,0.007,64.457,1.0329,-0.9499,-0.9509,0.3358,-0.8925,0,1.4588,98.5412,,,0.1669,159.3604,32.6304,0.8426,,0.7557,0.0593,1075727500,10360000,5230,30.00000000000025,0.005769230769230749,12801000000,2452040,-0.49295609220273484,-0.6773966067728767,-0.09827586206896545,1.050980392156863,5.18,5.27,4.43,3.95,4.807184204495661,5.725815795504348
HAH,Công ty Cổ phần Vận tải và xếp dỡ Hải An ,HOSE,Giao thông công nghiệp,Hàng hóa và dịch vụ công nghiệp,0.0518,2.6259,-0.0587,-0.0728,0.025,0.0295,0.0635,476297619900,0.3715,0.066,0.0966,1938,-0.102,616.8232,1012676650,-0.3815,0.1035,7.1858,0.1036,-16.786,78.4159,3.782,2.873,6.655,93.345,30.452,2.933,66.615,0.8683,-0.5556,-0.4681,-0.8442,-0.8222,0,21.5841,78.4159,0.0995,1000,0.1905,2484.2632,4.0455,-0.102,-0.0587,2.8137,0.6376,0,201000,10200,149.99999999999858,0.01492537313432818,207000000,20500,-0.7357804786884401,-0.7677040663119904,-0.2976657715348069,0.3535031847133757,10.46,10.48,10.2,10.66,9.853004825349036,11.106795174650944
HAI,Công ty Cổ phần Nông dược H.A.I,HOSE,Hóa chất,Hóa chất,0.682,2.4271,1.0474,-0.5927,0.0038,0.0072,-0.0445,549875224990,0.2642,0.0016,0.0024,4934,-1.2137,2.8874,17496341010,-0.6318,0.0033,1.1619,0.1072,-27.6316,97.2917,0,0.117,0.117,99.883,12.653,0,87.347,0.7205,-0.9709,-0.9729,5.2069,-0.7556,0,2.7083,97.2917,,,0.0285,28.0948,107.1371,,,2.8113,0.4779,461259900,153880400,3210,200.00000000000017,0.06644518272425248,11690000000,3914470,-0.33795861029944385,-0.22604380097755106,-0.3422131147540984,1.0445859872611465,3.51,3.43,3.16,2.73,2.982238318563541,3.8757616814364675
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,-0.1263,12.3071,-1.463,-0.9526,-0.008,-0.0006,-0.0065,299535951800,0.3282,0.004,0.0044,2721,-0.4127,-35.7314,3133630640,-0.5752,0.0291,-0.858,-0.0367,-212.0982,99.8557,0,18.292,18.292,81.708,39.806,2.184,58.01,0.9826,-0.9427,-0.976,1.6954,-0.8802,0,0.1443,99.8557,,,0.2031,45.8675,65.8419,-0.414,,12.3071,0.1375,0,0,3090,69.99999999999984,0.023178807947019875,1068000000,349470,-0.6338462022033978,-0.6101899190586645,-0.38568588469184895,0.42396313364055294,3.42,3.4,3.06,3.35,3.055362743987368,3.7476372560126365
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,HOSE,Bán lẻ,Dịch vụ bán lẻ,0.0835,0.2726,-0.5279,-0.3935,0.0053,0.0282,-0.0498,439321548000,0.9664,0.0292,0.1091,4935,-0.4822,91.3424,2301789825,3.1856,0.01,1.3603,-0.1017,-21.7521,92.7191,3.317,42.481,45.798,54.202,37.711,0.367,61.922,0.7682,-0.7306,-0.5888,-0.2036,-0.608,0,7.2809,92.7191,0.125,1500,0.0407,1375.7446,8.7225,-0.5048,-0.5279,1.0722,2.9357,208640000,250940000,12800,800.0000000000007,0.06666666666666665,6804000000,539680,2.84319031511483,1.8168778837923045,-0.370450521345662,0.48148148148148157,11.94,11.95,11.44,13.06,11.30837951057664,12.58662048942335
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,0.017,1.027,-0.9739,-0.5118,0.0005,0.3548,-0.1164,2239491360600,0.5728,0.0205,0.0866,4934,-0.3384,23.5079,101335303780,0.5645,0.0189,1.2898,0.0516,-17.8901,80.2667,7.223,18.494,25.717,74.283,16.052,0,83.948,1.1412,-0.7129,-0.3931,-0.4767,-0.7448,0,19.7333,80.2667,,,0.0632,1458.5969,6.6502,-0.4381,-0.9739,1.2449,1.0892,1381617500,0,10350,650.0000000000003,0.0670103092783505,34858000000,3456840,-0.5208419821177215,-0.6173849424542788,-0.3300970873786408,0.7192691029900332,11.11,11.07,9.4,10.67,9.17959903673152,12.95840096326847
HCD,Công ty cổ phần Đầu tư Sản xuất và Thương mại HCD,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,0.2456,2.3211,1.8255,-0.3229,0.0059,0.0125,-0.0227,86940000000,0.2612,0.0315,0.0408,1457,-0.3704,74.5566,3122894595,-0.7517,0.0196,5.2652,0.0267,-24.7798,99.8632,1.034,19.297,20.331,79.669,14.181,0,85.819,0.7609,-0.5588,-0.7141,-0.517,-0.8836,0,0.1368,99.8632,,,0.0334,524.5938,6.1381,-0.3704,,3.638,1.604,0,0,3440,219.99999999999974,0.06832298136645965,6065000000,1773540,5.619267287710498,0.9254158386443467,-0.18095238095238098,0.7114427860696517,3.33,3.35,3.35,3.03,3.0963847915487843,3.608615208451213
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HOSE,Tài chính,Dịch vụ tài chính,-0.3361,3.2669,-0.2069,0.0938,0.0229,0.4063,-0.1636,5598544868550,1.2758,0.0655,0.1047,4060,-0.3596,330.6114,54299344575,0.2354,0.2635,,0.4247,119.1667,47.5008,0,1.233,1.233,98.767,64.639,0.257,35.104,1.5422,1.1475,0.6385,1.5313,0.1043,28.61,52.4992,18.8908,0.0654,1200,0.4342,1477.9715,12.4157,-0.7284,-0.2065,3.2669,0.2486,485117000,411302500,19050,699.9999999999993,0.038147138964577554,21918000000,1165560,-0.49526535204241373,-0.5804976542550033,-0.2446171537332963,0.7085201793721974,19.19,19.38,18.47,19.75,17.786481516398148,20.978518483601853
