ticker,name,exchange,industry,sector,RevenueGrowth1Y,QuickRatioQ,ProfitAfTaxGrowthQ,NetRevenueGrowthQ,EquityGrowthQ,EquityGrowthY,TotAssetGrowthQ,MarketCap,PBQ,ROA4Q,ROE4Q,TradingDay,ProfitGrowth1Y,EPSQ,AvgValue20P,Return5Y,NetProfitMargin4Q,InterestCoverageQ,TotAssetGrowthY,PEG3Y,DomesticOwnership,RelativePersonOwnership,BomOwnership,InternalOwnership,ExternalOwnership,MajorOwnership,TreasuryOwnership,MinorityOwnership,BETA,IndROA4Q,IndROE4Q,IndPE4Q,IndPBQ,StateOwnership,ForeignOwnership,OtherOwnership,CashDivYield,CashDiv1Y,GrossProfitMargin4Q,EPS4Q,PE4Q,EPSGrowthY,EPSGrowthQ,CurrentRatioQ,TotAssetTurnover4Q,RtBuyFrgnValue,RtSellFrgnValue,RtPrice,RtCHGPrice,RtPCTPrice,RtAccumValue,RtAccumVol,RtPCTVol10S,RtPCTVol20S,RtPCTHighest52w,RtPCTLowest52w,SMA10,SMA20,SMA50,SMA200,BollingerBandLower20,BollingerBandUpper20
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,-0.6582,0.6295,-0.9972,-0.6864,0.0012,0.7316,0.0431,2037966800000,1.4017,0.0665,0.1975,173,0.1157,9.8017,8475478075,-0.0933,0.9693,1.8363,1.3565,0.4575,72.6072,0.312,1.277,1.589,98.411,48.159,0.1,51.741,0.3157,-0.0473,0.0769,-0.6678,-0.4882,0,27.3928,72.6072,,,0.7296,3351.5169,8.1157,,,1.5127,0.0687,0,0,27300,100.00000000000142,0.003676470588235281,8308999999.999999,306990,-0.06695641602334201,-0.01776086977388569,-0.10197368421052629,0.0459770114942529,27.48,27.32,27.26,,26.749372614507767,27.89562738549223
AGM,Công ty Cổ phần xuất nhập khẩu An Giang,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,0.0224,0.5107,-0.6712,-0.1465,0.007,0.1699,0.2823,232960000000,0.5603,0.0421,0.0798,2755,0.4705,170.5423,752123125,0.6529,0.0159,2.1411,0.399,6.529,93.3123,0.099,0.951,1.05,98.95,80.02,0,19.98,0.4816,-0.75,-0.6734,-0.6209,-0.8743,28.17,6.6877,65.1423,,,0.0817,1908.1135,6.7082,0.4705,-0.6712,1.503,2.6574,0,485107000,13500,699.9999999999993,0.0546875,1432000000,111480,2.1570004531037608,1.243487185679355,-0.18429003021148035,0.5697674418604651,14.27,14.9,13.66,11.11,12.915966502932765,16.879033497067248
AGR,Công ty Cổ phần Chứng khoán Agribank,HOSE,Tài chính,Dịch vụ tài chính,0.1262,15.5584,-0.3974,-0.1628,-0.0192,0.0516,-0.0236,734975836440,0.3818,0.0301,0.0317,3855,0.0065,61.6849,2410737335,-0.4387,0.3023,,0.1013,-28.9535,97.9781,0,0.002,0.002,99.998,75.206,0.379,24.415,1.1234,-0.0131,-0.5039,1.3802,-0.6695,74.92,2.0219,23.0581,,,0.7303,298.0829,11.6746,0.0065,-0.3974,15.5584,0.0995,3480000,0,3610,129.9999999999999,0.03735632183908044,586000000,166070,-0.6077157657774701,-0.7364813186882936,-0.30443159922928714,0.6409090909090909,3.66,3.72,3.38,3.54,3.3538333709556714,4.092166629044331
AMD,Công ty cổ phần đầu tư và khoáng sản FLC Stone,HOSE,Bán lẻ,Dịch vụ bán lẻ,-0.132,2.2557,-0.7952,-0.6129,-0.0016,0.072,0.0276,490514622000,0.2519,0.0121,0.0168,1841,-0.3169,17.1038,21922769805,-0.8355,0.0158,1.6178,0.0623,-40.3706,97.8761,0,0.428,0.428,99.572,0,0,100,0.4944,-0.8884,-0.9367,0.3762,-0.8978,0,2.1239,97.8761,,,0.0482,199.0222,15.0737,-0.3169,-0.7952,2.5977,0.7641,508720600,54824400.00000001,3200,200.00000000000017,0.06666666666666665,9784000000,3218180,-0.3930227549039246,-0.4901761827532194,-0.3846153846153846,1.2857142857142858,3.38,3.43,3.27,2.47,3.0493812850833195,3.8076187149166763
AMV,Công ty Cổ phần Sản xuất kinh doanh dược và Trang thiết bị y tế Việt Mỹ,HNX,Dụng cụ & dịch vụ y tế,Y tế,0.0812,2.1574,-0.5404,-0.5028,0.0463,0.3884,0.1029,641558560500,0.8561,0.3075,0.3407,3835,0.0221,1336.2145,14036949175,5.3725,0.4568,37.2717,0.338,0.9673,97.3926,7.501,18.272,25.773,74.227,14.289,0,85.711,1.197,0.8682,0.7251,-0.7705,-0.3058,0,2.6074,97.3926,,,0.4962,7102.5413,2.3794,-0.27,-0.5404,2.6839,0.6731,1700000,25200000,17100,200.00000000000284,0.01183431952662728,9598390000,566200,-0.07992946234210763,-0.28342520222166034,-0.31872509960159356,0.5833333333333335,17.5,17.69,17.06,18.53,15.851669696972245,19.51833030302776
ANV,Công ty TNHH Amicogen Nam Việt,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,-1,0.5165,-0.7807,-0.4116,0.0182,,0.0089,2123035512500,0.9742,0.1355,0.2421,4589,-1,341.0701,6017523625,3.3683,0.1249,4.7633,,,98.7248,13.521,84.342,97.863,2.137,96.929,0.324,2.747,1.0959,-0.1954,-0.009,-0.7807,-0.7815,0,1.2752,98.7248,0.0599,1000,0.2024,4303.2847,3.8808,,-0.7807,1.5673,1.0849,112855500,13440000,17200,500,0.029940119760478945,1693000000,99790,-0.3949847821605694,-0.6889426418834883,-0.3494212875406612,0.45405359709189275,17.72,18.23,17.86,19.67,16.29796618511677,20.17203381488322
APC,Công ty Cổ phần Chiếu xạ An Phú,HOSE,Hóa chất,Hóa chất,-0.136,4.7236,-0.2016,-0.1948,0.0189,0.7601,-0.032,358290450000,0.6113,0.0712,0.1262,3798,-0.2477,670.6419,1272783850,0.0331,0.4128,,1.7574,31.2554,83.9567,0,22.238,22.238,77.762,38.641,1.087,60.272,0.6778,0.2969,0.4244,-0.7449,-0.4346,0,16.0433,83.9567,,,0.6939,4087.101,4.4041,-0.5539,-0.2016,4.7266,0.1724,0,13125000,17900,-100.00000000000142,-0.005555555555555647,350000000,19470,-0.4639021972575582,-0.6666324224368194,-0.37412587412587417,0.3769230769230768,19.97,20.77,18.77,19.3,17.36745955906403,24.167540440935966
APG,Công ty Cổ phần Chứng khoán An Phát,HOSE,Tài chính,Dịch vụ tài chính,6.8247,10.7232,-0.8742,-0.9466,0.0072,1.5732,0.0175,283801026000,0.7587,0.0643,0.0659,3739,2.2797,73.7936,6224385045,0.5653,0.1825,,1.586,0.5194,95.6749,0,14.591,14.591,85.409,24.673,0,75.327,0.7624,1.1082,0.0313,1.4103,-0.3433,0,4.3251,95.6749,,,0.2743,705.4522,11.8222,0.3039,-0.8742,10.7232,0.3526,843983800,1454663300,8700,359.99999999999943,0.043165467625899234,7791000000,894990,0.4760725147279048,0.3058246265226887,-0.26582278481012667,0.10126582278481004,8.91,9.01,9.03,9.34,8.343151802860135,9.686848197139863
ART,Công ty cổ phần Chứng khoán BOS,HNX,Tài chính,Dịch vụ tài chính,1.0915,66.7355,-1.7318,-0.1154,-0.0361,0.0738,-0.0456,251998523400,0.2347,0.0357,0.0364,641,0.4416,-392.458,6302263335,-0.3888,0.1205,,0.0738,0.8164,95.7972,3.256,0.516,3.772,96.228,5.011,0,94.989,1.095,0.1705,-0.4304,0.295,-0.7968,0,4.2028,95.7972,,,0.2908,409.338,6.3517,0.4416,,66.7355,0.2958,1300000,2650000,2700,100.00000000000009,0.03846153846153855,2894770000,1093300,-0.4340814642139217,-0.5091264298017233,-0.2058823529411764,0.5882352941176472,2.79,2.81,2.73,2.41,2.602632394183959,3.027367605816039
ASM,Công ty Cổ phần Tập đoàn Sao Mai ,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,0.6005,0.7546,-0.2831,-0.1548,0.0248,0.0984,0.0114,1397886384600,0.2704,0.0341,0.0843,3816,-0.3867,521.4625,16271526145,-0.0818,0.0382,2.3017,0.3024,1.5737,98.4269,22.661,25.68,48.341,51.659,46.25,0,53.75,1.0798,-0.5115,-0.5403,-0.8925,-0.9013,0,1.5731,98.4269,0.037,200,0.0919,2055.9592,2.6265,-0.4268,-0.2831,1.2703,0.8916,478102200,0,5510,109.99999999999943,0.020370370370370372,10571000000,1941850,-0.11727871736417794,-0.2754920934112818,-0.24808951965065504,0.6205882352941176,5.79,5.96,5.49,5.9,5.239339154506327,6.675660845493669
