Year,Quarter,Current Assets,Cash and cash equivalents,Cash,Cash equivalents,Short-term financial investments,Short-term investments,Provisions for impairments of short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Receivables from financial investments,Other receivables,Provision for doubtful debts,Inventories,Inventories,Provision for decline in inventories,Other current assets,Short-term prepaired expenses,Shortage of current assets waiting for solution ,VAT deductible,Receivables from State,Margin deposits,Others,LOANS AND ADVANCES TO CUSTOMERS,Loans and advances to customers,Provision for credit loss,Long-Term Assets,Fixed Assets,Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,Finance lease assets,Cost,Accumulated depreciation,Intangible fixed assets,Cost,Accumulated depreciation,Construction in progress,Investment Properties,Cost,Accumulated depreciation,Long-term financial investments,Investments in subsidiaries,Investments in joint-ventures and associates,Other long-term investments,Prosivions for impairments in long-term investments,Other long-term assets,Long-term prepayments,Deferred income tax liabilities,Deferred income tax liabilities,Other long-term assets, Total Assets,Liabilites,Current liabilities,Short-term debts and borrowings,Trade payable,Advances from customers,Taxes payable to State,Payable to employees,Accrued expenses,Other payables,Bonus and welfare funds,Amount due to customers,Deposit from commercial banks,Deposits from customers,Long-term liabilities,"Long-term deposit, mortgage",Deferred income tax liabilities,Provision for severance allowances,Reserves,Unearned premium reserve,Technical reserve,Claim reserve,Catastrophe reserve,Dividend reserve,Equalization reserve,Sharehodler's Equity,Sharehodler's Equity,Owner's equity,Additional Paid-In Capital,Treasury shares,Other reserves,Foreign exchange revaluation,Reserves for investment and development,Financial researve funds,Statutory reserve,Retained earnings,"Other capital, funds",Bonus and Welfare fund (Before 2010),Minority Interests,
2008,0,9240785580591,480836990174,425836990174,55000000000,6553383666012,7532933455546,-979549789534,2173634060603,1111198411133,85476953156,30720937225,897681552360,70462532593,-21906325864,24620153079,24620153079,0,8310710723,6884008763,137942020,0,0,131946400,1156813540,0,0,0,16076789827355,1208962426952,449320961350,913178189403,-463857228053,0,0,0,460102383374,494464745098,-34362361724,299539082228,23448947000,23448947000,0,14787789134320,0,254445095067,14749224268905,-215880229652,56589319083,18692585177,6857264826,23544891651,7494577429,25317575407946,16526705083134,1039136692088,0,633081394176,25035032294,101161318444,125518508376,707410431,153633028367,0,0,0,0,47074847732,21541973411,945805444,24587068877,15440493543314,1852969674763,12049168352666,899888531738,95439760649,530846019579,12181203919,8301511202912,8265011167953,5730266050000,1840007252773,0,901691533,16075608000,8609458421,8609458421,17067266899,643474381906,36500034959,36500034959,489359121900,25317575407946
2009,0,13673103807542,2532644263412,540937036319,1991707227093,8576063696075,8939362811569,-363299115494,2427630124465,1273174332975,9351089507,14169850360,1068732816372,100924531492,-38722496241,107121526352,107121526352,0,29644197238,18119677599,137942020,1073545982,5322979220,3599500616,1390551801,2624756884104,2633023390293,-8266506189,17416755972025,1702679360400,569869121953,1100690387362,-530821265409,0,0,0,650130000618,707105030491,-56975029873,482680237829,23448947000,23448947000,0,15630164051412,0,313559572889,15512602012844,-195997534321,60463613213,18120011138,10654317835,20641706845,11047577395,33714616663671,23777028786063,2450954959306,420948732663,960615920164,43226021957,128841596905,135423296316,17242129166,744657262135,0,3786961866864,1709021432606,2077940434258,73239449605,24444886406,4476408636,44318154563,17465872510288,2219898075597,13149693155870,1096611181704,193572226768,789360245400,16737624949,8588671366438,8538814868317,5730266050000,1838314624015,0,-90775901,18387227948,10222384015,11699111508,43521050471,886495196261,49856498121,49856498121,1348916511170,33714616663671
2010,0,18314754599165,5844707147758,723039874862,5121667272896,9039371897708,9885894075590,-846522177882,3232650698140,1443796780257,51438200967,15004672895,1514815111839,275120277339,-67524345157,117366502155,117366502155,0,80658353404,66108428802,149740507,1431426197,8967622683,2994243432,1006891783,5889067477368,5924279393498,-35211916130,20586025962465,1937973831095,887777414572,1500539180456,-612761765884,0,0,0,709889590027,793216117611,-83326527584,340306826496,23448947000,23448947000,0,18529555405080,0,338561803678,18402589538431,-211595937029,95047779290,52937881844,12668907308,25654827632,3786162506,44789848038998,32743318212327,6226392149942,1593235333373,3095835597563,35305467978,98921871790,203459588453,23375338620,1107145570686,69113381479,7597839409023,3019960785943,4577878623080,80826657494,27376215506,8613670942,44836771046,18838259995868,2448142299449,13947735874260,1205589002440,307012203931,906960197603,22820418185,10697786472739,10697786472739,6267090790000,3076807671197,103568802818,0,16075608000,13810688873,18316956265,79245733155,1122870222431,0,0,1348743353932,44789848038998
2011,0,15646291187169,5479823264414,706845847624,4772977416790,6332020534627,7589621158904,-1257600624277,3625048874910,1883664341342,58694312636,30890483699,1664984667705,91237837604,-104422768076,129608522838,129608522838,0,79789990380,66485172573,153240507,4458773716,7885701446,264963000,542139138,6596062750804,6676233013411,-80170262607,21338953730753,2077760301108,897065791661,1603090679286,-706024887625,0,0,0,810095983982,949202185111,-139106201129,370598525465,23448947000,23448947000,0,19130063138265,0,373783823698,19194165643746,-437886329179,107681344380,59278302318,13955800374,28246657871,6200583817,43581307668726,30600121303842,3897017157734,862076552375,2133872709472,7399113413,102401564740,268554314117,62356742817,333656373975,69026615476,6949493427792,3572928705159,3376564722633,78761469271,32497502176,1007051923,45256915172,19674849249045,2730916914012,14205740351460,1409062738303,253629412392,1046811596357,28688236521,11665524425266,11665524425266,6804714340000,3184332381197,0,0,16075608000,16808794107,24323877509,119375561070,1396325060565,0,0,1315661939618,43581307668726
2012,0,17778444201197,4077977824233,1945622912658,2132354911575,9327381495268,10414796247039,-1087414751771,4168099088601,2074300750625,51489130241,37800374779,2064848319861,80506720647,-140846207552,125424309750,125424309750,0,79561483345,78219073858,164690507,1942748,415602249,30000000,730173983,7042879686335,7181296896386,-138417210051,21403882267523,1985583550142,960799622487,1751548457078,-790748834591,0,0,0,785457387925,974047474075,-188590086150,239326539730,23448947000,23448947000,0,19282761991644,0,366365372992,19469322932199,-552926313547,112087778737,40935483284,37572956615,26406721414,7172617424,46225206155055,32045837112707,3812091377204,923705262994,1888571689158,4522746642,103686164689,298578500742,24652065124,445597835967,75293993458,7148473125999,2636138607863,4512334518136,39192814605,39192814605,0,0,21046079794899,2044049829410,16144557359748,1558099012989,140727302811,1123018043453,35628246488,12113876041877,12113876041877,6804714340000,3184332381197,0,0,16075608000,20372157338,29808118286,162698505129,1792306129109,0,0,2065493000471,46225206155055
2013,0,23009687670927,7318047598296,836894089325,6481153508971,10995898404043,12514663014621,-1518764610578,4397993530033,1824021478361,88996179443,41980266141,2494816116126,129887859063,-181708369101,162995465855,162995465855,0,134752672700,68513237801,147390507,751544721,0,30000000,65310499671,7886252689174,7985891545791,-99638856617,24197199460622,1948142084366,906048201009,1689832873731,-783784672722,0,0,0,755237331779,992696305284,-237458973505,286856551578,23448947000,23448947000,0,22115641028608,0,368451544686,21794588483922,-47399000000,109967400648,62857060931,10751442075,28902340251,7456557391,55093139820723,40877671108929,5778504510049,265151573583,4466973931161,3632865493,134655736018,320061539134,25050208098,400881755465,104331010529,11551571033756,4517816221382,7033754812374,49051501927,48257468453,794033474,0,23498544063197,2316444731074,18673827677728,1229492036892,5668068505,1230452168754,42659380244,12125472235060,12125472235060,6804714340000,3184332381197,0,0,16075608000,23128503219,35756438161,204006060361,1753890101304,0,0,2089996476734,55093139820723
2014,0,20408869016006,1424818218079,888582238243,536235979836,13518031045507,15010454563443,-1492423517936,3678082466500,1024350822043,38232919846,40094558276,2579403322877,237648214856,-241647371398,175834608041,175834608041,0,439410855488,355830387676,212964968,292081594,0,32000000,83043421250,0,0,0,27159596525966,1920882590331,828237324885,1675503708489,-847266383604,0,0,0,785143844467,1002787585824,-217643741357,307501420979,23448947000,23448947000,0,25090572182729,0,2131508558580,23003684478040,-44620853891,124692805906,42072590174,21056965443,38315757679,23247492610,47568465541972,34751644468959,6079889996571,3517524546,4747075045036,10223801033,90998179270,465165061497,47777057235,434663782012,129099449921,0,0,0,60748933283,60748933283,0,0,28611005539105,3052932046850,22751838888341,1354340693437,103589577559,1298094354302,50209978616,12243492774486,12243492774486,6804714340000,3184332381197,0,0,16075608000,10532317597,11180185968,246015752941,1867073385965,0,0,573328298527,47568465541972
2015,0,22163065317844,2256691436043,794330869093,1462360566950,14882101197172,1747304210969,-404600653219,3500078421014,2775359664688,23739842786,0,0,268834491340,-368491592709,103010911121,103010911121,0,414343543056,352618039974,212964968,2338528906,0,0,59174009208,0,0,0,36389499190933,1678491603232,840816714658,1790944079137,-950127364479,0,0,0,837674888574,1102012336024,-264337447450,0,23448947000,23448947000,0,34352193347678,0,2091160536985,563527138423,-54239974693,103333425369,48518305909,32909174875,0,21905944585,58552564508777,45354373261929,10855723087317,29800759917,1126082627920,8228873607,96679287168,621422411172,51159635780,405716995604,109969996853,0,0,0,81118146928,0,4951497020,0,34417532027684,3140292894461,28462331338355,1239012550325,159554338690,1357955906231,58384999622,13198191246848,13198191246848,6804714340000,3184332381197,0,0,16075608000,142369277946,0,0,2038471565269,0,0,0,58552564508777
2016,0,30299175462459,2883458103350,1384131258722,1499326844628,20802681180898,2722178333317,-349504452363,4706940319124,3466446831573,220390172983,0,0,476921594426,-376500335285,118799477849,118799477849,0,471008304527,457355457431,0,3530125211,0,0,10122721885,0,0,0,42697277045377,1541816587616,722440067642,1715481727799,-993041660157,0,0,0,819376519974,1117026487100,-297649967126,0,138880906477,176246511406,-37365604929,40571759374173,0,2795737018783,399533150523,-34249995785,156476815885,97684821223,52886550943,0,5905443719,72996452507836,59309916882792,16230271115790,161009048468,1576935784713,10443709813,16004120760,736503250494,56627960995,482252118261,78324934729,0,0,0,103152922903,0,0,0,42976492844099,3580814492786,36280117678651,1489052835548,176172011377,1385613275857,64722549880,13686535625044,13686535625044,6804714340000,3184332381197,0,0,15445192000,301301554536,0,333123774337,2288129402650,0,0,0,72996452507836
2017,0,44952009831502,3789197489323,1600597489316,2188600000007,31154634771729,2648743079467,-297888188831,6915014664074,5436886698646,22478515959,0,0,443964857418,-397030637203,144572406356,144572406356,0,603935685514,565835345145,0,30372462150,0,0,7727878219,0,0,0,46439507429452,1657410869307,844838908301,1973497123780,-1128658215479,0,0,0,812571961006,1151467720071,-338895759065,0,45388992000,45388992000,0,43820854114286,0,2921475367471,366889741221,-32058951786,394627382516,329934675506,52939546439,0,11753160571,91391517260954,76930695615246,22282574292635,91842475489,2674672725917,132060292425,126944396344,727386592336,58405565654,572872484224,115010713662,0,0,0,138496567134,0,1284976011,0,54509624755477,4360283332177,46210980584316,2410981463984,23172011377,1429375103187,74832260436,14460821645708,14460821645708,6804714340000,3184332381197,0,0,15445192000,464777333764,0,385374992665,2801609004124,0,0,0,91391517260954
