Year,Quarter,Current Assets,Cash and cash equivalents,Cash,Cash equivalents,Short-term financial investments,Short-term investments,Provisions for impairments of short-term investments,Accounts receivable,Trade accounts receivable,Prepayments to suppliers,Intercompany receivables,Receivables from financial investments,Other receivables,Provision for doubtful debts,Inventories,Inventories,Provision for decline in inventories,Other current assets,Short-term prepaired expenses,Shortage of current assets waiting for solution ,VAT deductible,Receivables from State,Margin deposits,Others,LOANS AND ADVANCES TO CUSTOMERS,Loans and advances to customers,Provision for credit loss,Long-Term Assets,Fixed Assets,Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,Finance lease assets,Cost,Accumulated depreciation,Intangible fixed assets,Cost,Accumulated depreciation,Construction in progress,Investment Properties,Cost,Accumulated depreciation,Long-term financial investments,Investments in subsidiaries,Investments in joint-ventures and associates,Other long-term investments,Prosivions for impairments in long-term investments,Other long-term assets,Long-term prepayments,Deferred income tax liabilities,Deferred income tax liabilities,Other long-term assets, Total Assets,Liabilites,Current liabilities,Short-term debts and borrowings,Trade payable,Advances from customers,Taxes payable to State,Payable to employees,Accrued expenses,Other payables,Bonus and welfare funds,Amount due to customers,Deposit from commercial banks,Deposits from customers,Long-term liabilities,"Long-term deposit, mortgage",Deferred income tax liabilities,Provision for severance allowances,Reserves,Unearned premium reserve,Technical reserve,Claim reserve,Catastrophe reserve,Dividend reserve,Equalization reserve,Sharehodler's Equity,Sharehodler's Equity,Owner's equity,Additional Paid-In Capital,Treasury shares,Other reserves,Foreign exchange revaluation,Reserves for investment and development,Financial researve funds,Statutory reserve,Retained earnings,"Other capital, funds",Bonus and Welfare fund (Before 2010),Minority Interests,
2009,4,13673103807542,2532644263412,540937036319,1991707227093,8576063696075,8939362811569,-363299115494,2427630124465,0,9351089507,14169850360,1068732816372,1374098864467,-38722496241,107121526352,107121526352,0,29644197238,18119677599,137942020,1073545982,5322979220,3599500616,1390551801,2624756884104,2633023390293,-8266506189,17416755972025,1702679360400,569869121953,1100690387362,-530821265409,0,0,0,650130000618,707105030491,-56975029873,482680237829,23448947000,23448947000,0,15630164051412,0,313559572889,15512602012844,-195997534321,60463613213,18120011138,10654317835,20641706845,11047577395,33714616663671,23777028786063,2450954959306,420948732663,960615920164,43226021957,128841596905,135423296316,17242129166,744657262135,0,3786961866864,1709021432606,2077940434258,73239449605,24444886406,4476408636,44318154563,17465872510288,2219898075597,13149693155870,1096611181704,193572226768,789360245400,16737624949,8588671366438,8538814868317,5730266050000,1838314624015,-90775901,0,18387227948,10222384015,11699111508,43521050471,886495196261,49856498121,49856498121,1348916511170,33714616663671
2010,1,14813153667802,3099751255582,534666754952,2565084500630,8927243384321,9352117699458,-424874315137,2642748430083,1331470652379,25174827147,39171115417,1188156591839,107081209665,-48305966364,109470772945,109470772945,0,33939824871,16916826167,136942020,1140699477,8701138470,3535500616,3508718121,3122110541186,3145741729312,-23631188126,18019487630061,1744368959683,564619727631,1119199286450,-554579558819,0,0,0,647903295705,709760982741,-61857687036,531845936347,23448947000,23448947000,0,16195638875472,0,316521760743,16062288399917,-183171285188,56030847906,16720215870,6478139048,6384104777,26448388211,35954751839049,23940883468632,3255911676330,275415935242,1912931642556,45446355317,111869052708,41411751575,10756036806,820624900187,37456001939,2633062428648,1069272000000,1563790428648,69580801810,25231105143,0,44349696667,17982328561844,2222431828939,13466371440103,1227872436823,221359988225,826065243359,18227624395,10652289240409,10652289240409,6267090790000,3180376474015,-136613238,0,20245975811,10222384015,11699111508,51891736197,1110899382101,0,0,1361579130008,35954751839049
2010,2,16560215275776,6170800164631,3253762164631,2917038000000,7559689643034,8095753417130,-536063774096,2670932854008,1271947281833,21749782818,33333748685,1213586030384,183003836843,-52687826555,123499657990,123499657990,0,35292956113,18837180678,139322020,3224174655,7209548557,3929500616,1953229587,3052192065267,3078635909053,-26443843786,19364818666118,1798477024130,573052628608,1145754263665,-572701635057,0,0,0,654843497168,721682513512,-66839016344,570580898354,23448947000,23448947000,0,17476616546288,0,301432145463,17328595288093,-153410887268,66276148700,16064562697,17558266781,25519655927,7133663295,38977226007161,27319547072080,5691244254343,1034043041290,3328679527306,55129712757,153469176012,74024258135,110359233610,876762274051,58777031182,3482125790038,1055961600000,2426164190038,74370091366,28199365130,2163203296,44007522940,18071806936333,2254323253419,13540728193201,1136157075025,268755087077,852302401451,19540926160,10302429506469,10302429506469,6267090790000,3180376474015,-136613238,0,26161093774,10222384015,11699111508,63284665675,743731600720,0,0,1355249428612,38977226007161
2010,3,18816121356330,3932353391391,975752231391,2956601160000,11504731884002,12286694634756,-781962750754,3212216242727,1254679620225,22262597075,34444864579,1853402913017,108356294496,-60930046665,127599007608,127599007608,0,39220830602,22474714388,150180507,4342659065,4678678789,2705000616,4869597237,4235130800492,4268977919271,-33847118779,19553530919589,1807221848198,557590738615,1148515601610,-590924862995,0,0,0,655667077581,727622977077,-71955899496,593964032002,23448947000,23448947000,0,17657924043133,0,314460656678,17503319587425,-159856200970,64936081258,15722948831,15024328375,26867712547,7321091505,42604783076411,30750366456068,7307929690162,2095395167805,4045520040761,68202317369,97937976867,138612636601,70942258047,740959179110,50360113602,4971699788684,2544931721904,2426768066780,89765187169,26854202675,18979723883,43931260611,18380971790053,2321521860951,13776215792810,1066456594698,311388544374,884396387003,20992610217,10524257835935,10524257835935,6267090790000,3180376474015,0,0,33229216982,10222384015,11699111508,69715735210,951924124205,0,0,1330158784408,42604783076411
2010,4,18279349724769,5844707147758,723039874862,5121667272896,9032191623735,9885894075590,-853702451855,3206514890912,1453370439126,51438200967,15004672895,1485851186757,272320059245,-71469668078,117263182664,117263182664,0,78672879700,64122955098,149740507,1431426197,8967622683,2994243432,1006891783,5889067477368,5924279393498,-35211916130,20599519961390,1937675150696,888368098875,1502061361597,-613693262722,0,0,0,709672873718,792990562889,-83317689171,339634178103,23448947000,23448947000,0,18543754501476,0,338561803678,18402589538431,-197396840633,94641362218,52531464772,12668907308,25654827632,3786162506,44767937163527,32752630760483,6221002414770,1593235333373,3100216309659,35305467978,87863714694,205641088427,23372079839,1106255039321,69113381479,7597839409023,3019960785943,4577878623080,80826657494,27376215506,8613670942,44836771046,18852962279196,2447163648748,13947735874260,1221357297901,307012203931,906960197603,22733056753,10667776713657,10667776713657,6267090790000,3076807671197,0,0,16075608000,13810688873,18316956265,79245733155,1092860463349,0,0,1347529689387,44767937163527
2011,1,17143044701152,3572715502246,882430609920,2690284892326,9468080072847,10369364755908,-901284683061,3870690934706,1880592105366,35188005650,37325804819,1743128356266,252088207068,-77631544463,123539877128,123539877128,0,108018314225,96688778332,150090775,2474574937,5740800701,2274654460,689415020,5505604010476,5550344877184,-44740866708,20269289746235,1961205467642,840629256911,1469944034642,-629314777731,0,0,0,738213737121,844488477089,-106274739968,382362473610,23448947000,23448947000,0,18223153783923,0,330225599406,18255907536073,-362979351556,61481547670,14423492992,13341128310,28865855927,4851070441,42917938457863,30002575932318,5290422573437,1548616915182,3122019606185,50312974981,80712274318,80045987026,25380347973,331361563546,51972904226,5109682636691,2096471667569,3013210969122,92979763264,28066241793,20159880446,44753641025,19509490958926,2514623724344,14098058237380,1585658681474,354250809071,932865413798,24034092859,11583710836435,11583710836435,6804714940000,3184332681197,0,0,16076608000,13810688873,18316956265,88232625358,1354659533924,0,0,1331651689110,42917938457863
2011,2,15304431741190,4789909009213,785562721721,4004346287492,6636123966491,7645420938844,-1009296972353,3646008996867,1880491192861,34334896012,37829277949,1594588954651,193015513526,-94250838132,135102305866,135102305866,0,97287462753,84116448923,5601947,2913472065,7651648657,2107913445,492377716,6817405297880,6875132262361,-57726964481,21208139755294,2001071939376,840423826960,1498000445686,-657576618726,0,0,0,733327323575,850556719489,-117229395914,427320788841,23448947000,23448947000,0,19118811733173,0,346076442128,19195968664280,-423233373235,64807135745,16529328735,13609779725,29504441196,5163586089,43329976794364,30437053777025,2905369223465,823007695,2193774921501,10879315843,95429416693,159615204838,34857701242,308103471207,54539531224,7861773453336,2900653783224,4961119670112,89094777093,29272181496,15130379820,44692215777,19580816323131,2561535951204,14117030595522,1561577652347,370350641545,944910814418,25410668095,11605564579743,11605564579743,6804714340000,3184332381197,0,0,16075608000,13810688873,18316956265,96882092659,1367863709931,0,0,1287358437596,43329976794364
2011,3,19333594399482,6081511257991,571518735402,5509992522589,9408597858919,10391071870705,-982474011786,3607790480999,1775121417726,46165918193,41349516943,1650897299186,210994797380,-116738468429,143344678578,143344678578,0,92350122995,75764775030,3755127,3137629542,10280907742,2132894440,1030161114,6743564550078,6806097844522,-62533294444,19186898294329,2010512088232,836347141638,1518678329944,-682331188306,0,0,0,719229592469,849688178489,-130458586020,454935354125,23448947000,23448947000,0,17081936973621,0,368065520200,17118826927789,-404955474368,71000285476,16023798478,20385916900,26832362681,7758207417,45264057243889,32713049022075,4708760174004,382598381123,3497331026986,8116617538,119650929724,221075249852,59360573612,329206164290,43518485729,8161685448843,3834315088768,4327370360075,79695288125,30969535243,4084669677,44641083205,19762908111103,2678328938279,14272226521390,1453820376507,369456655130,962349453592,26726166205,11229788167290,11229788167290,6804714340000,3184332381197,0,0,16075608000,13803548356,18313386007,104420323634,984559777278,0,0,1321220054524,45264057243889
2011,4,17101463808873,5541923826101,578670996094,4963252830007,7529992575284,8812205336388,-1282212761104,3786319592205,1869126095717,58694312636,30974972724,1747427520233,194114572786,-114017881891,129856554075,129856554075,0,113371261208,101517038837,5850000,3008178280,8033091953,264963000,542139138,6595966743232,6676233013411,-80266270179,20062442311877,2064958060216,879760340755,1572496093999,-692735753244,0,0,0,722565738159,858586876518,-136021138359,462631981302,23448947000,23448947000,0,17899047970096,0,373228763009,18004576336262,-478757129175,74987334565,25941145533,15438947344,27406657871,6200583817,43759872863982,30746115947621,4036045231091,862076552375,2016249605946,7228839084,76303364292,281428246380,39299880618,650506342630,46091571439,6924140024776,3522915371826,3401224652950,81981059742,32497502176,3978172504,45505385062,19703949632012,2702939871029,14353497198537,1391122129971,250480937095,977166879026,28742616354,11697155265497,11697155265497,6804714340000,3184332381197,0,0,16075608000,16809196250,24324681795,118979814824,1428350440614,0,0,1316601650864,43759872863982
2012,1,15255811393929,2549187123961,486105856637,2063081267324,8621451772210,9254995948424,-633544176214,3868026257258,1999641054877,43236463232,68927950359,2021126207023,137459485101,-402364903334,143933595416,143933595416,0,73212645084,59623373054,155243605,4712537792,6080235495,238963000,2402292138,5749000038514,5855363112603,-106363074089,21249268657889,2072072235842,906821597880,1643299209726,-736477611846,0,0,0,804271321986,956014308752,-151742986766,360979315976,23448947000,23448947000,0,19044121574665,0,387286484048,19263813191769,-606978101152,109625900382,53176124681,17204085190,29763813994,9481876517,42254080090332,28829430245264,2430725687417,0,1631565729152,9438879998,175856455574,127448890633,53468740769,354281262886,49059896328,6260131847892,3297031183874,2963100664018,79606100492,33338884105,1041807878,45225408509,20058966609463,2803247240275,14399289950944,1340242560614,291049794340,1194629810749,30507252541,12082426875414,12082426875414,6804714340000,3184332381197,0,0,16075608000,16808794107,24323877509,131018456452,1801584615331,0,0,1342222969654,42254080090332
