Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2009,4,1961800293968,47064282760,-295710247024,-283769183180,-840801747,-11100262097,0,-170327522132,50488745155,1337382467,0,237517158,1099865309,1594652935194,-1173630737608,-17657816163,157914533057,148825025278,4019712509,5069795270,-1033374020714,0,-17224853970,-25340747243,-278165278588,-258596873768,-214119277872,0,0,-29576375145,-14901220751,0,-10054089526,-9514315294,0,-1354104900515,240548034679,153936351699,-56111398254,97824953445,56823597935,-24743655523,32079942412,-37173701978,-282390489024,-224414313710,-27824643568,-30151531746,-21039981009,70000309877,1928410666,537720771690,-257259594865,280461176825,2952501082,-1175841194,1776659888,-2912315262,330214260985,-381563749,-78608533134,251224164102,1476829896,249747334206,404
2010,1,1884742594170,16914177711,-181460976153,-171724126566,-322431010,-9414418577,0,-319212037575,31793217889,940925142,1534516,39351109,900039517,1433717901184,-962234594492,-18464817131,86119437739,73467867739,576564190,12075005810,-894579973884,0,-98861102279,-27787761457,-214085195569,-195474155250,-177116878860,0,0,-9136879616,-9220396774,0,-3838250634,-14772789685,0,-1235314033189,198403867995,186764685373,-85336278097,101428407276,28567797639,-12958782039,15609015600,-22986727256,-381324608540,-308346396353,-22763812170,-50214400017,-132929255614,78664595106,-34605384417,609754595781,-220336975665,389417620116,2508581739,-1501307964,1007273775,10884111652,312438960618,-1489999446,-65387474774,245561486398,12693281500,232868204898,378
2010,2,2007809450275,50169953854,-308064310458,-291815445659,-2126291957,-14122572842,0,-106248177572,49592810458,3108020511,2093940181,3434210,1010646120,1696367747068,-1159633486398,-8102887614,72454006822,69775374439,2629793033,48839350,-1095282367190,0,29806087054,-47395098852,-242092628964,-222982390234,-197873603373,0,0,-11761920952,-13346865909,0,-15097029569,-4013209161,0,-1354964007952,341403739116,192964176247,-93581691850,99382484397,36450508665,-23994447756,12456060909,-38567240478,-446759773203,-365734020664,-25358293907,-55667458632,-62897522026,74024190490,-43211397723,794335094533,-369930528897,424404565636,1092025897,864315587,1956341484,9944149482,404220327343,-1313301765,-85505852269,317401173309,16585433987,300815739322,480
2010,3,2102358696160,51485407408,-314737611376,-299413754789,-236876854,-15086979733,0,-302686207147,32613723325,369145475,0,67199892,301945583,1569403153845,-1137191092231,-6515869781,80786348171,79820734190,668649994,296963987,-1062920613841,0,6173774020,-42633457297,-232126604597,-221381485177,-201852985071,0,0,-3684093885,-15844406221,0,-9587430543,-1157688877,0,-1331506901715,237896252130,258363070986,-136546397292,121816673694,30469598401,-26441982284,4027616117,-38475506537,-361542690227,-277300894762,-32505988474,-51735806991,-77880149169,89310685220,-47708190874,752100787287,-465714692593,286386094694,1974876599,-440722223,1534154376,11810952308,263453546555,-1451684057,-71945574403,190056288095,-24946116421,215002404516,343
2010,4,2249084705904,68054112583,-347771500176,-320622680862,-992673013,-26156146301,0,-297161869247,69298806441,1540500417,0,223873550,1316626867,1743044755922,-1375654911062,-18663752526,152549207363,149158620231,2961107313,429479819,-1241769456225,0,-7483843084,4376340443,-300627333112,-284322321024,-253210864855,0,0,-10983203812,-20128252357,0,-11957084593,-4347927495,0,-1545504291978,197540463944,319290856358,-247299843384,71991012974,102809173921,-92982384112,9826789809,-42807779453,-534430347425,-376988153507,-56366998284,-101075195634,-222255469016,15624014690,-91248405825,941636474009,-407315864265,534320609744,17975497480,-697896465,17277601015,21069927339,274788277947,-1740446536,-51766079798,221281751613,17370904977,203910846636,327
2011,1,2111931271235,22193056549,-205209291786,-194233836328,-1521716097,-9453739361,0,-217782438716,45052577924,1919085632,1050000,1037119245,880916387,1758104260838,-1158256598456,-4687565603,102309740473,100163993097,2077799421,67947955,-1060634423586,0,-83304489673,-47238605140,-215989296430,-207604961255,-190883812094,-5023776959,0,0,-11697372202,0,-4179495861,-4204839314,0,-1407166814829,350937446009,378732306576,-236669945688,142062360888,34831421237,-28575185468,6256235769,-44892982714,-426739406539,-336036274616,-40363119697,-50340012226,-29991811321,101699241191,-44083776457,753282711681,-452872801718,300409909963,1678438306,-66492182,1611946124,15283262432,344928771932,-1301036106,-88241942777,255385793049,-15878100287,271263893336,404
2011,2,2240821592414,71737420482,-286878036409,-272873713103,-703521645,-13300801661,0,-65884585002,47593155846,1996017365,-37165939,672939409,1360243895,2009385564696,-1651081567635,-16525067402,281274136412,278892895600,1329419917,1051820895,-1386332498625,0,19862185250,-16099832474,-262711860341,-245828747427,-213653888383,0,0,-23388018842,-8786840202,0,-15648036185,-1235076729,0,-1645282006190,364103558506,420075935863,-246014316846,174061619017,44221979295,-34069333088,10152646207,-53305771261,-553971774717,-419019019205,-51207729773,-83745025739,-108221231960,122853889244,-73592379532,818909920832,-456837147808,362072773024,1254654751,-136926494,1117728257,15850842721,320081621754,-1376575236,-67767192067,250937854451,356448500,250581405951,368
2011,3,2506855264284,59024282124,-421137396944,-405749732995,-978436915,-14409227034,0,-271988912943,53756194873,4386085947,1583988640,1271869478,1530227829,1930895517341,-1371579698617,-25365857000,119913145291,118532625476,682369280,698150535,-1277032410326,36829295120,10170293165,-35935308705,-323340266316,-292544798207,-265807145462,0,0,-5632619927,-21105032818,0,-13421847020,-17373621089,0,-1589308397062,341587120279,475925621503,-307161122532,168764498971,21141329444,-31060596455,-9919267011,-69181141666,-598800312357,-485464488813,-53878917226,-59456906318,-213058510200,114885581745,-69376173329,711118697366,-211741448861,499377248505,2319196373,-1468223637,850972736,21989078074,354668197531,-1315498110,-92368468154,260984231267,28850906151,232133325116,341
2011,4,2515168986381,53878185016,-322521595352,-300541057555,-2516130657,-19464407140,0,-105881609897,45419892257,5934970509,42116864,4226973038,1665880607,2191998828914,-1593806273984,-20173634726,210583611132,207319650726,1810869744,1453090662,-1403396297578,154732387663,69789719109,-35756669628,-345435089562,-329162248244,-275758250620,0,0,-36531468219,-16872529405,0,-12042583651,-4230257667,0,-1560065949996,631932878918,446549740724,-283694853500,162854887224,107298405758,-110736131260,-3437725502,-73833812926,-609608734291,-497251042711,-81017343623,-31340347957,60848023281,81837543601,-34778073459,984390158194,-576030503026,408359655168,7482383952,-21343004,7461040948,5163242811,528891432350,-2016450149,-44476174920,482398807281,-9618403662,492017210943,0
2012,1,2518378846965,59903352487,-380861258390,-363915943634,-2244631920,-14700682836,0,-265333423871,55821744188,4425249183,140787395,3498684196,785777592,1992334510562,-1302873887618,-22073254629,88356342792,86559342683,1527383056,269617053,-1236590799455,0,-22360627963,-37420381947,-260285724556,-244143890097,-222634624290,0,0,-1796938870,-19712326937,0,-13420896672,-2720937787,0,-1556657533921,435676976641,441427584172,-273620265285,167807318887,27053977836,-28046405485,-992427649,-68867314450,-605028972571,-475374735220,-52735287277,-76918950074,-108565073029,115072031610,-77911377723,849248012437,-169344044691,679903967746,4060363824,-118874158,3941489666,13502660350,625943698620,-1819016020,-180350160749,443774521851,26561030036,417213491815,613
