2020-04-08,68140,36680,14420,130500,92680,5240
2020-03-13,151922,93060,5320,189218,108678,6440
2020-03-20,37621,17500,52770,203329,157529,1350
2020-03-23,9620,0,8880,43290,13690,2020
2020-04-09,107919,54789,10610,114081,81621,16280
2020-04-10,111748,55218,7750,97932,36300,6310
2020-04-13,73511,20070,5840,63099,23010,4940
2020-04-14,71711,39936,12050,162349,119444,19130
2020-04-15,79199,37729,31460,114191,61501,720
2020-04-16,103968,35908,5390,167562,113532,14270
2020-04-17,61512,24020,4820,100158,44598,3810
2020-04-20,165747,117900,4770,123553,62053,10420
2020-04-21,144604,109904,9970,123576,77026,3470
2020-04-22,48313,21100,10050,59697,25947,4840
2020-04-23,61177,37550,1810,130783,96003,3380
2020-04-24,311759,199869,54520,154911,86491,13890
2020-04-27,74725,62410,4860,91195,38395,7840
2020-04-28,17838,8170,14190,45172,10000,15310
2020-04-29,14540,4300,200,41520,24990,1200
2020-05-04,14420,0,0,33900,15310,1400
2020-05-05,340,0,5220,6690,0,2840
