Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2005,0,6345238000000,-3034139000000,3311099000000,622805000000,-175246000000,447559000000,192780000000,18921000000,45136000000,270856000000,0,270856000000,0,4286351000000,-967922000000,3318429000000,-1558546000000,1759883000000,-467330000000,0,-467330000000,1292553000000,-2344000000,0
2006,0,9089610000000,-5272825000000,3816785000000,723498000000,-175246000000,548252000000,273481000000,100776000000,0,300263000000,0,300263000000,0,5039557000000,-1291160000000,3748397000000,128859000000,3877256000000,-1016217000000,0,-1016217000000,2859181000000,-1858000000,0
2007,0,11389055000000,-7289180000000,4099875000000,853094000000,-251735000000,601359000000,354532000000,260915000000,0,446712000000,0,446712000000,0,5763393000000,-1627740000000,4135653000000,-943534000000,3192119000000,-785058000000,0,-785058000000,2397667000000,-9394000000,0
2008,0,17234823000000,-10611187000000,6623636000000,1140031000000,-349144000000,790887000000,952911000000,-325544000000,-83583000000,399239000000,0,399239000000,544970000000,8902516000000,-2694119000000,6208397000000,-2883937000000,3324460000000,-787906000000,0,-787906000000,2520214000000,-16340000000,0
2009,0,15293558000000,-8794892000000,6498666000000,1372403000000,-383190000000,989213000000,918309000000,183297000000,172876000000,246689000000,-118683000000,128006000000,396437000000,9286804000000,-3493917000000,5792887000000,-788513000000,5004374000000,-1059621000000,0,-1059621000000,3921355000000,-23398000000,2215
2010,0,20587490606262,-12392225098719,8195265507543,1917376968976,-502130108671,1415246860305,561679748272,18149000000,268380898969,724852243443,-144780190947,580072052496,492026366189,11530820433774,-4577785547834,6953034885940,-1384182875180,5568852010760,-1265807323618,0,-1265807323618,4281796687142,-21248000000,2315
2011,0,33354733000000,-20933053000000,12421680000000,2198033000000,-688300000000,1509733000000,1179584000000,-5896000000,24012000000,355489000000,-1616405000000,-1260916000000,1002574000000,14870771000000,-5699837000000,9170934000000,-3473529000000,5697405000000,-1480073000000,0,-1480073000000,4196811000000,-20521000000,1789
2012,0,31733995000000,-20792943000000,10941052000000,2235698000000,-861939000000,1373759000000,1487751000000,76742000000,207631000000,657253000000,-132155000000,525098000000,468583000000,15080616000000,-6013108000000,9067508000000,-3303210000000,5764298000000,-1343305000000,0,-1343305000000,4397493000000,-23500000000,1623
2013,0,28298671000000,-17516269000000,10782402000000,2745171000000,-1125800000000,1619371000000,1426859000000,22172000000,160461000000,1027579000000,-93294000000,934285000000,561804000000,15507354000000,-6244061000000,9263293000000,-3520217000000,5743076000000,-1365494000000,0,-1365494000000,4358052000000,-19530000000,1582
2014,0,28222389000000,-16213598000000,12008791000000,2912389000000,-1395518000000,1516871000000,1345079000000,199124000000,219751000000,1939628000000,-154985000000,1784643000000,210979000000,17285238000000,-6849726000000,10435512000000,-4591445000000,5844067000000,-1257692000000,-665000000,-1258357000000,4566514000000,-19196000000,1533
2015,0,31360729000000,-15907697000000,15453032000000,3557304000000,-1684656000000,1872648000000,1572574000000,197475000000,152354000000,2140550000000,-235271000000,1905279000000,48435000000,21201797000000,-8306249000000,12895548000000,-6068091000000,6827457000000,-1495100000000,-290000000,-1495390000000,5313928000000,-18139000000,1202
2016,0,37718211000000,-19185461000000,18532750000000,4326483000000,-2219778000000,2106705000000,1850118000000,495768000000,-89416000000,2294727000000,-376349000000,1918378000000,71556000000,24885859000000,-9939012000000,14946847000000,-6368807000000,8578040000000,-1683093000000,0,-1683093000000,6875671000000,-19276000000,1517
2017,0,46158768000000,-24221222000000,21937546000000,5378176000000,-2839967000000,2538209000000,2042417000000,476400000000,-19742000000,2355831000000,-256301000000,2099530000000,331761000000,29406121000000,-11866345000000,17539776000000,-6198415000000,11341361000000,-2234378000000,3605000000,-2230773000000,9091070000000,-19518000000,2103
2018,0,55863951000000,-27455435000000,28408516000000,7022155000000,-3619663000000,3402492000000,2266429000000,250462000000,0,3515904000000,-281539000000,3234365000000,1716169000000,39278433000000,-13611094000000,25667339000000,-7398113000000,18269226000000,-3648356000000,1192000000,-3647164000000,14605578000000,-16484000000,3584
2019,0,67724190000000,-33146840000000,34577350000000,9002507000000,-4695663000000,4306844000000,3378274000000,145982000000,7040000000,3427765000000,-357970000000,3069795000000,245096000000,45730381000000,-15817575000000,29912806000000,-6790429000000,23122377000000,-4992464000000,396075000000,-4596389000000,18510898000000,-15090000000,4481
