Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2009,0,23490702036,11943362453,-78823614,1582528340,0,-3612070676,401766141,0,33727464680,-51350362919,-7566421604,29277689871,-515009758,-384409028,-7011538425,228649174,-925848370,-4519786379,-6547692296,119334127,0,0,-453700600,332700000,3749412871,-2799945898,0,0,15791906427,-11083625225,0,-9208451359,0,-4500170157,-11819902434,96278319417,-84021879,84374395104
2010,0,21281798675,8201508552,16621504021,499530515,0,-3943714010,632448271,0,43293076024,-81650685257,9026495991,-6334584826,23540062,-632448271,-5234553796,1082300828,-1704691432,-42131550677,-3241534285,704057727,-2000000000,55000000,-753150000,3868732369,0,-1366894189,18625076222,-15657820015,0,0,0,-7680970000,0,-4713713793,-48212158659,84374395104,-57136425,36105100020
2011,0,22701214661,5618439795,206224098,4094774995,0,1298213155,2678011296,0,36596878000,7056496633,-8870991633,2473235659,-1568964523,-2678011296,-4317400018,323939612,-2082278393,26932904041,-6162421720,163881971,-6000000000,0,-17200000000,0,3095857943,-26102681806,0,-345866310,78863061375,-67436028645,0,-8661165000,0,2420001420,3250223655,36105100020,473165791,39828489466
2012,0,21255756082,5372149637,6634934700,-81717314,0,-4279478013,3512400666,0,32414045758,-5636119406,-24540878099,64453818379,1400229996,-3036238177,-5305056126,35727270,-6829023864,52956505731,-7795472796,498047239,0,2000000000,0,0,2667238752,-2630186805,0,0,89918650282,-98476990382,0,-4131620000,0,-12689960100,37636358826,39828489466,-29050965,77435797327
2013,0,25843000120,5197694445,5085433308,-379835514,0,-3597286430,1120715260,0,33269721189,41892801020,8078502018,-34076039364,-1928708083,-1047980039,-6128760890,164913993,-1124241018,39100208826,-9317610039,77657664,-3000000000,0,0,0,3754909432,-8485042943,0,0,62536453397,-62032272326,0,-8522276717,0,-8018095646,22597070237,77435797327,-162021924,99870845640
2014,0,46125960081,7161960470,2731636999,-201474415,0,-8387599762,1310275619,0,48740758992,-5303210226,10495312828,157192059328,120125427,-1299460287,-7496653001,0,-5563050805,196885882256,-5748822459,226400000,-122000000000,0,0,0,7723331265,-119799091194,0,0,81875953068,-67942525804,-36190000,-13375084105,0,522153159,77608944221,99870845640,201474415,177681264276
2015,0,73366582430,6405663739,44192844673,-1808683411,0,-14914155522,2296149575,1540000000,111078401484,-111040658374,-4820685915,-8155467346,-1728235553,-2079641628,-17329256623,368902950,-2281599200,-35988240205,-11393050795,38381818,-4000000000,57000000000,0,0,14951773680,56597104703,0,0,93239140509,-77559997209,0,-9597020000,0,6082123300,26690987798,177681264276,13604257,204385856331
2016,0,125409411384,10043884911,129422336665,9775011290,0,-23302773624,3101826040,0,254449696666,59073845981,-493016638721,549996581290,589368385,-3127943283,-41459345269,754764952,-2037888095,325222441906,-20301049539,316862572,-808437291876,294193412247,0,0,22434554922,-511793511674,5268507360,0,337870081677,-324872794444,0,-4786350000,0,13479444593,-173091625175,204385856331,-389069084,30905162072
2017,0,268683754191,19136157329,40707189874,-4048808858,0,-34071057296,4458233799,0,294865469039,-59768931525,296067027088,-147957671173,1297352306,-4475951513,-51948652538,10000000,-3282599205,324806042479,-178952193329,333319865,-770200000000,730443879629,0,0,33828263241,-184546730594,0,0,414920493072,-427911093348,0,-5282222000,0,-18272822276,121986489609,30905162072,264989,152891916670
2018,0,281852891643,19401872717,-8265330029,-973386023,0,-36551141998,2533052031,0,257997958341,-390676319099,127801619101,359451981865,-4439852472,-2340313982,-95965197538,41308000,-3873650944,247997533272,-21935999150,113196706,-956000000000,756600000000,-5000000000,0,36628929112,-189593873332,0,0,121260453067,-115689211102,0,-5899531000,0,-328289035,58075370905,152891916670,-236957634,210730329941
2019,0,318864824159,25476637020,-64847199099,-292873178,0,-50437439667,2812668887,0,232679168545,72425574698,-459756157626,42947533961,2928905798,-2279236635,-50404933608,68408000,-43785319065,-205176055932,-113663228135,237681818,-485700000000,809700000000,-91560250000,0,48974679964,167988883647,0,0,201205606960,-186364969303,0,0,0,14840637657,-22346534628,210730329941,-21506011,188362289302
