Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2018,1,189039911727,10024947611,0,-2428220,0,-7095970466,126359309669,0,318325770321,-257367848057,-251475258633,555314812233,4368430667,-259760770049,-2117449898,1148280000,-280298966796,-171863000212,0,3097799996,0,0,-454755953108,0,44540963977,-407117189135,0,0,1205301810505,-1245910187692,0,0,0,-40608377187,-619588566534,2357573195019,0,1737984628485
2018,2,231985735001,32402947339,80002315384,2428220,0,-111056689097,112794224402,0,346130961249,151289033357,-679793321504,-190544878091,2195810198,-404063704232,0,-1148280000,268803527463,-507130851560,-49335124533,47444401651,0,172560000000,-314673496892,66180020000,54216883744,-23607316030,0,0,3331523135696,-2174222727086,0,0,0,1157300408610,626562241020,1737984628485,0,2364546869505
2018,3,444474318042,45902897569,75085454732,-15366411,0,490239651265,164784321330,0,1164491925166,291352466069,452493328112,664703892385,-12793896385,-495051268703,-94537966530,3872338000,-1321670097064,652860721050,-613188752621,-86053646819,-251320000000,78070000000,0,3280000000,172736364434,-696476035006,4300000000,0,1322329400274,-1090605024619,0,-201732998656,0,34291376999,-9323936957,2785096731279,4120164,2775776914486
2018,4,1061094863821,50881752637,14173792594,-244663913,0,-94682894937,175197234272,0,1206420084474,332648097136,6525214694970,-7100895940666,48741513201,-146809495603,-18215730585,1107690000,-3698158180403,-2849344946916,445464702605,-439579843,-82220000000,105510000000,-88922132185,0,1627500356849,2006893347426,6204460000,0,2486615616336,-1814541069021,0,-39210580840,0,639068426475,-203383173015,2775776914486,227082450,2572620823921
2019,1,700454135779,54037441127,-30000000,568800,0,-465926682012,182082028273,0,415505368199,822156571325,-630378781741,11665432249,11488419252,-138080294756,-129108189452,27521480201,-405206370075,-14436364798,-32567742033,26109945,-148000000000,93000000000,0,0,100545039966,13003407878,32413520000,0,1245785708437,-1167138136206,0,0,0,111061092231,109628135311,2577622049939,-568800,2687249616450
2019,2,724387018151,49820481497,-551836457,-568800,0,-356412763694,178042755115,0,616446926479,203867717688,-1078189996625,257267045757,42083939118,-280768277753,-101000632745,-27521480201,359971193243,-2950536489,-25242004749,4514497907,87470000000,-88000000000,0,527350449103,389375110633,895468052894,-32413520000,0,2332502773609,-3318976765631,0,0,0,-1018887512022,-126369995617,2687249616450,568800,2560880189633
2019,3,562383304842,63728999842,488954103,568800,0,-43741548057,167336178299,0,784146740930,238493747865,-82654965237,-51373123673,-7140897384,-757957093660,-101357242398,3868510400,-32454066670,-7054231479,-34987953415,-1900859271,-521983411096,412690000000,-210000000000,360063550135,-117013639255,-113132312902,193203419146,0,861116794881,-1869878177019,0,-558582496950,0,-1374140459942,-1494327004323,2560880189633,-568800,1066552616510
2019,4,1033819211105,58351369447,23108572881,30100811,0,-501622930311,154072412814,0,767758736747,1359210810563,-1796819988166,1459721963971,17816589389,438640120565,-32443203580,2503770000,15783940799,2227210655710,-60518219135,759202061,451513411096,-49413779162,-515549640000,-382754717976,361898085408,-194065657708,-193203419146,0,3155399247470,-5476024428933,0,-180019392677,0,-2693847993286,-660702995284,1066552616510,-30100811,405819520415
2020,1,364389589925,57967216495,-18272768,176923,0,-3955992950,131582323236,0,549965040861,401462602411,-672599100418,136056790809,-4434977943,-213179441643,-112674156491,927740000,-21510623787,64013873799,-32831748085,0,-94500000000,86000000000,0,0,48169278001,6837529916,0,0,790504843614,-956983015882,0,-767014015,0,-167245186283,-96393782568,416723733815,-176923,320329774324
