Year,Quarter,1. Premium received and interest income received,2. Payments to suppliers,3. Payments to employees,4. Interest payment,5. Payments for enterprise income tax,6. Other cash receipts,7. Other cash disbursements,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal and liquidation of fixed assets,3. Loans to other entities and payments for purchase of debt instruments of other entities,4. Collections from borrowers and proceeds from sale of debt instruments of other entities,5. ,6. Withrawals of investments in other entities,"7. Interest received, dividends received and profit shares",8. Cash transfer under trusted investment arrangement,9. Cash receipt from trusted investment arrangement,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Cash receipts from issuing shares,"2. Payments to shareholders, repurchasing shares",3. Cash receipts from short and long term loans,4. Payments for original loans,5. Payments for financial loans,6. Dividends paid out,7. Refund to investors and shares premium paid to MOF,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,IMPACT OF EXCHANGE RATE FLUCTUATION,Cash and cash equivalents at the end of period
2014,2,161936541317,-165832179339,-23844465162,0,-10618882391,271831897249,-187485205305,45987706369,0,0,0,0,-298455585251,-50544327866,0,0,0,-348999913117,0,0,-11779345090,0,0,-36426000000,19800089820,-28405255270,-331417462018,576541375207,0,245123913189
2015,1,353401864818,-80608396987,-52171264998,0,-25749679326,0,-205635321458,-10762797951,-16222459455,0,0,0,-14500000000,21486629891,0,0,0,-9235829564,0,0,3667565792,0,0,0,-17048640000,-13381074208,-33379701723,215685410954,0,182305709231
2015,2,2355698655,32683555846,-559373375,0,-11488625604,321078848200,-303395525067,40674578655,916532182,0,0,0,-9000000000,5235785012,0,0,0,-2847682806,0,0,-3667565792,-26801600000,0,0,0,-30469165792,7357730057,182305709231,-37000000000,152663439288
2015,3,524186912677,-113348395837,-35860419325,0,-11436965909,0,-298302089052,65239042554,-2290722727,0,0,0,-111500000000,18490924475,0,0,0,-95299798252,0,0,7842474929,-25000000,0,0,0,7817474929,-22243280769,152663439288,0,130420158519
2015,4,0,-28405516020,-36951390035,0,-11436965909,596932371444,-479315000126,40823499354,0,0,0,10542268722,-121743280769,0,0,0,0,-111201012047,0,0,9478718283,0,0,0,0,9478718283,-60898794410,152663439288,0,91764644878
2016,1,244098204573,-17223909427,-64062484676,0,-14830374588,341249272657,-187573272165,301657436374,-89000000,0,0,0,-51500000000,24000000000,2353923699,0,0,-25235076301,0,0,0,0,0,0,-20800000,-20800000,276401560073,82764644878,0,359166204951
2016,2,289232072858,-228252259635,-16108140266,0,-12100414780,390539162787,-484954164935,-61643743971,-42396364,0,0,0,-156200000000,81000000000,16693912617,0,0,-58548483747,0,0,0,0,0,0,-43687840000,-43687840000,-163880067718,359166204951,0,195286137233
2016,3,287276919727,-151465352774,-26109624989,0,-13873800161,327849245003,-274760514905,148916871901,-756151818,0,0,0,-88000000000,23000000000,14466769274,0,0,-51289382544,0,0,0,0,0,0,-538800000,-538800000,97088689357,195286137233,0,292374826590
2016,4,302865809192,-43452155336,-44544474228,0,-14727855745,465789746185,-692773199850,-26842129782,-4111629909,0,0,0,-84000000000,16500000000,17627605405,0,0,-53984024504,0,0,0,0,0,0,-145600000,-145600000,-80971754286,195286137233,0,114314382947
2017,1,306398413710,-129081307411,-72704619222,0,-20669191939,139669499039,76962139439,300574933616,0,0,0,0,-62500000000,34000000000,8321827399,0,0,-20178172601,0,0,0,0,0,-8800000,0,-8800000,280387961015,114314382947,0,394702343962
2017,2,322001068296,-190049459864,-23468491432,0,-19103086330,115443494367,-283723611791,-78900086754,-979390909,0,0,0,-183000000000,131500000000,22995394984,0,0,-29483995925,0,0,0,0,0,-43957440000,0,-43957440000,-152341522679,394702343962,0,242360821283
2017,3,296871215206,-186651672649,-28958966991,0,-17667691546,54684144818,9620542449,127897571287,-1208075091,0,-82000000000,56211250000,0,0,19026358083,0,0,-7970467008,0,0,0,0,0,-21600000,0,-21600000,119905504279,242360821283,0,362266325562
2017,4,346488267505,-228774910605,-47593206288,0,-19162461800,123060474832,-228097010863,-54078847219,-1208075091,0,-119000000000,48000000000,0,0,23525711328,0,0,-48682363763,0,0,0,0,0,-15200000,0,-15200000,-102776410982,242360821283,0,139584410301
