Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2014,4,181415869109,1806100863,-18144204892,-22241148966,4096944074,0,0,0,3160641363,0,0,0,0,144934975810,-49590900760,0,1020153294,0,1020153294,0,-16523458998,0,3538269622,1178519091,-31566112471,-31566112471,-15667626908,0,0,0,0,-15898485563,0,0,0,-43372782756,101562193054,0,0,0,0,0,0,0,-45926978244,-45926978244,0,0,55635214810,0,0,11341340380,-50385053,11290955327,506970289,-10778760,496191529,0,67422361666,0,-14887039719,52535321947,0,52535321947,0
2015,1,148501071572,13710590769,-11806290647,-9513954240,-2292336407,0,0,0,3516906346,0,0,0,0,140960889098,-33738876165,0,-111183354,0,-111183354,0,-32475713987,0,-11648541296,-1526977084,-35283643802,-35283643802,-27103471969,0,0,0,0,-8180171833,0,0,0,-80934876169,60026012929,0,0,0,0,0,0,0,-47918356723,-47918356723,0,0,12107656206,0,0,11456177787,-2667779,11453510008,23017901,-8443077,14574824,0,23575741038,0,-5187471680,18388269358,0,18388269358,0
2015,2,201138970305,2662178522,-9395133018,-13110880553,3715747535,0,0,0,3230128271,8360000,0,0,8360000,176657603024,-51223718504,0,611590987,0,611590987,0,-48526271126,0,-1795228565,-1906902675,-47307355070,-31193555029,-31193555029,0,0,0,0,0,-16113800041,0,0,-99535757436,77121845588,0,0,0,0,0,0,0,-61078802797,-61078802797,0,0,16043042791,0,0,11114546982,-26300409,11088246573,9257303,-8670896,586407,0,27131875771,0,-6027604018,21104271753,0,21104271753,0
2015,3,205837051465,13099075920,-14668648070,-13363392452,-1305255618,0,0,0,3537943498,0,0,0,0,185938546346,-53804969546,0,3100814348,0,3100814348,0,-44697237995,0,-9012663733,-2055727353,-46393639070,-46393639070,-31858676273,0,0,0,0,-14534962797,0,0,0,-102159268151,83779278195,0,0,0,0,0,0,0,-68504036313,-68504036313,0,0,15275241882,0,0,11965335257,-22892879,11942442378,158748102,-2612661,156135441,0,27373819701,0,-6061840334,21311979367,0,21311979367,0
2015,4,228974688410,10879411588,-19886699802,-17486446980,0,-2400252822,0,0,4251666641,4840000,0,0,4840000,195852411037,-54615305737,0,611376639,0,611376639,0,-53441293155,0,6488873078,-2223676529,-53269239065,-53269239065,-33514121069,0,0,0,0,-19755117996,0,0,0,-102445335671,93407075366,0,0,0,0,0,0,0,-79450938839,-79450938839,0,0,13956136527,0,0,12988209218,-12973285,12975235933,144764369,-75760438,69003931,0,27000376391,0,-5977353256,21023023135,0,21023023135,0
2016,1,240493010630,603292255,-9073613682,-8562707941,-510905741,0,0,0,2839768796,0,0,0,0,195573164348,-46471375816,0,15050000,0,15050000,0,-46246259777,0,-18527493826,-2325335947,-52570846057,-35214492857,-35214492857,0,0,0,0,0,0,0,-17356353200,-119669935607,75903228741,0,0,0,0,0,0,0,-62474372449,-62474372449,0,0,13428856292,0,0,13751658273,-2938183,13748720090,220096544,-11564105,208532439,0,27386108821,0,-5477221764,21908887057,0,21908887057,0
2016,2,282269607830,778326919,-12955070808,-12821202786,0,-133868022,0,0,2916439880,0,0,0,0,233378899461,-67914866159,0,3255000,0,3255000,0,-67226719906,0,-158047212,-2702267325,-59367434341,-59367434341,-40888029208,0,0,0,0,-18479405133,0,0,0,-129454468784,103924430677,0,0,0,0,0,0,0,-80259398755,-80259398755,0,0,23665031922,0,0,14722344898,-5181816,14717163082,170944732,-2786689,168158043,0,38550353047,0,-7746070610,30804282437,0,30804282437,0
2016,3,276741458868,1782561762,-12697245623,-12129556511,-567689112,0,0,0,3157113224,4281169595,0,0,4281169595,243424813477,-59784131063,0,264580279,0,264580279,0,-59402528708,0,-9973452211,-2702267325,-60805990527,-60805990527,-40565832961,0,0,0,0,-20240157566,0,0,0,-132884238771,110540574706,0,0,0,0,0,0,0,-82254859687,-82254859687,0,0,28285715019,0,0,16674286669,-4290908,16669995761,73648751,-795,73647956,0,45029358736,0,-9014874383,36014484353,0,36014484353,0
2016,4,287025050512,1831607686,-16046372060,-14754588104,-1291783956,0,0,0,3903191580,394894018,0,0,394894018,252517602398,-73912666818,0,416254895,0,416254895,0,-72498215400,0,-6121025115,-2702698014,-71373521163,-71373521163,-40781258549,0,0,0,0,-30592262614,0,0,0,-152695459692,99822142706,0,0,0,0,0,0,0,-89659967360,-89659967360,0,0,10162175346,0,0,17966682429,-78463380,17888219049,418128228,-16301606,401826622,0,28452221017,0,-5699444203,22752776814,0,22752776814,0
2017,1,300025508436,2327627295,-9148842379,-9824805361,675962982,0,0,0,2339089241,24294033,0,0,24294033,264814304216,-75456641659,0,106118852,0,106118852,0,-63615762877,0,-6447018169,-2925283304,-58982657476,-58982657476,-40574803858,0,0,0,0,-18407853618,0,0,0,-131970721826,132843582390,0,0,0,0,0,0,0,-93978108333,-93978108333,0,0,38865474057,0,0,18791922499,-3170727,18788751772,40703704,-35403303,5300401,0,57659526230,0,-11531905246,46127620984,0,46127620984,0
