Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2007,0,16538245392,0,-238051411,-93576816,-121074674,-23399921,0,-6983158942,0,0,0,0,0,9317035039,-1419051699,0,147187568,0,147187568,0,-1271864131,0,-2457528854,-815009699,-1692490728,-1692490728,-739497134,0,0,-59082254,-133937156,-759974184,0,0,0,-6236893412,3080141627,0,0,0,0,0,0,0,-14027531429,-14027531429,0,0,-10947389802,0,0,11636252625,-2306170,11633946455,329436,0,329436,0,686886089,0,-192328301,494557788,0,494557788,0
2008,0,132338285250,3722973644,-49677487501,-47881702599,-325848592,-1469936310,0,-36130913883,12548402869,138192450,0,0,138192450,62939452829,-18315148394,-34218046,12376902748,6547215836,5718636912,111050000,-5972463692,0,-6411090363,-4319188570,-23055899675,-22119273129,-12440592113,-1310509478,-67727273,-856229210,-572027206,-6872187849,-936626546,0,0,-39758642300,23180810529,0,0,0,0,0,0,0,-58555332625,-58555332625,0,0,-35374522096,0,0,48334661089,-97534222,48237126867,5935188,-170,5935018,0,12868539789,0,-3594908148,9273631641,0,9273631641,0
2009,0,284214761183,12051436647,-82056776684,-80558932486,-1497844198,0,0,-59591522577,18483206374,108201927,0,0,108201927,173209306870,-60965099609,-546337954,27145371693,13911074755,13220296938,14000000,-34366065870,0,-21253823441,-6426282635,-43681191677,-40920685403,0,0,0,0,0,-40920685403,-2760506274,0,0,-105727363623,67481943247,0,0,0,0,0,0,0,-95473657514,-95473657514,0,0,-27991714267,0,0,38642890941,-253744153,38389146788,449089322,0,449089322,0,10846521843,0,-1628523212,9217998631,0,9217998631,0
2010,0,383985897414,15692564155,-99048614168,-93352595352,-5696018816,0,0,-47022180568,22082001156,299600359,0,0,299600359,275989268348,-148220247217,-3734112360,66440426983,62487982536,3952080811,363636,-85513932594,0,-11784197467,-9018895422,-63109374502,-59481877108,0,0,0,0,0,-59481877108,-3627497394,0,0,-169426399985,106562868363,0,0,0,0,0,0,0,-113669606130,-113669606130,0,0,-7106737767,0,0,57230910884,-634214596,56596696288,62681129,-34435322,28245807,0,49518204328,0,-12330706294,37187498034,0,37187498034,1008
2011,0,407402528938,18925915188,-105415079791,-99259007055,-6156072736,0,0,-9094111857,22751888004,237232594,0,0,237232594,334808373076,-156859151059,-9004197002,58823834266,52394108265,6253349482,176376519,-107039513795,0,-16571317446,-9627400930,-68235721570,-52178437909,-52178437909,0,0,0,0,0,-4378062344,0,-11679221317,-201473953741,133334419335,0,0,0,0,0,0,0,-131006175025,-131006175025,0,0,2328244310,0,0,79063224049,-9352458661,69710765388,105570340,-34912885,70657455,0,72109667153,0,-17793864145,54315803008,0,54315803008,1472
2012,0,454964873223,25301921391,-80091791376,-74101628685,0,-5990162691,0,-39938925001,17698384621,116785405,0,116785405,0,378051248263,-155846533783,-10879491377,64335248655,64066129059,22001850,247117746,-102390776505,0,-4812974931,-4001750032,-86524664642,-80135055920,-80135055920,0,0,0,0,0,-6389608722,0,0,-197730166110,180321082153,0,0,0,0,0,0,0,-161877822673,-161877822673,0,0,18443259480,0,0,70952043111,2075933041,73027976152,810128532,-400070,809728462,0,92280964094,0,-23088647830,69192316264,0,69192316264,1878.09
2013,0,526095263020,20139236238,-64356792984,-55802111031,0,-8554681953,0,0,13689676769,209950000,0,0,209950000,458887808255,-674280932064,0,549579600417,548068401408,1511199009,0,-124701331647,0,6908520778,-4904323882,-112796185081,-112796185081,-88155009298,0,0,0,0,-24641175783,0,0,0,-235493319832,223394488423,0,0,0,0,0,0,0,-186551547321,-186551547321,0,0,36842941102,0,0,41826130133,-7099376860,34726753273,201668376,-329029147,-127360771,0,71442333604,0,-18721190542,52721143062,0,52721143062,1431
2014,0,632693721139,24201827894,-56827143561,-57640600771,813457210,0,0,0,7667252373,0,0,0,0,552290468736,-199024473088,0,14517630239,0,14517630239,0,-147020576289,0,-699004409,-5992549483,-99825209284,-99825209284,-55466495243,0,0,0,0,-44358714041,0,0,0,-253537339465,298753129271,0,0,0,0,0,0,0,-199764282486,-199764282486,0,0,98988846785,0,0,43199471926,5196694545,48396166471,690584850,-139314949,551269901,0,147936283157,0,-32700422447,115235860710,0,115235860710,3128
2015,0,784451781752,40351256799,-55756771537,-53474674225,-2282097312,0,0,0,14536644756,13200000,0,0,13200000,699409449505,-193382869952,0,4212598620,0,4212598620,0,-179140516263,0,-15967560516,-7713283641,-182253877007,-182253877007,-123669824340,0,0,0,0,-58584052667,0,0,0,-385075237427,314334212078,0,0,0,0,0,0,0,-256952134672,-256952134672,0,0,57382077406,0,0,47524269244,-64834352,47459434892,335787675,-95487072,240300603,0,105081812901,0,-23254269288,81827543613,0,81827543613,1903
2016,0,1086529127840,4995788622,-51161159851,-49045770699,-2115389152,0,0,0,12977227349,4676063613,0,0,4676063613,924666335875,-248082797881,0,699140174,0,699140174,0,-245373481816,0,-34756686903,-10424791457,-244335654138,-244335654138,-157449613575,0,0,0,0,-86886040563,0,0,0,-534890614314,389775721561,0,0,0,0,0,0,0,-314648827047,-314648827047,0,0,75126894514,0,0,63114972269,-90874287,63024097982,882818255,-30653195,852165060,0,139003157556,0,-27854631511,111148526045,0,111148526045,1819
