Year,Quarter,date
2013,0,2014-01-30
2014,0,2015-01-30
2015,1,2015-04-30
2015,2,2015-07-30
2015,3,2015-10-30
2015,4,2016-01-30
2015,0,2016-02-04
2016,1,2016-04-30
2016,2,2016-07-30
2016,3,2016-10-30
2016,0,2017-01-30
2017,1,2017-04-30
2017,2,2017-07-30
2017,3,2017-10-30
2017,4,2018-01-20
2017,0,2018-01-25
2018,1,2018-04-23
2018,2,2018-07-19
2018,3,2018-10-17
2018,4,2019-01-23
2018,0,2019-01-28
2019,1,2019-04-22
2019,2,2019-07-22
2019,3,2019-10-19
2019,4,2020-01-20
2019,0,2020-01-25
2020,1,2020-04-23
2020,2,2020-07-21
