Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2015,4,247677515000,-147501398329,-56942237451,-9479875432,-3641074454,15467579370,-46336132467,0,-755623763,-286837882,386175700,0,0,0,0,250268521,349606339,0,0,201067717067,-188281105520,0,0,0,12786611547,12380594123,55205119515,0,67585713638
2016,1,219428898486,-124653945377,-65830075346,-9368173906,-2689451597,11511495077,-32009748879,8295811778,-3611001542,0,13660000,0,0,0,0,239167041,252827041,0,0,165207229146,-185961233485,0,0,0,-20754004339,-24112178840,67535764065,0,43423585225
2016,2,0,0,0,0,0,0,0,0,-19196905661,-899945391,172658182,0,0,0,16550000000,42138234,15864851025,0,0,179969699583,-148635635312,0,-97788500,0,31236275771,27904221135,43423585225,0,71327806360
2016,3,205529462184,-162251685018,-45792999500,-10191178360,-1044989595,47301694761,-63410332531,0,-29860028059,-275000000,200000,0,0,0,550000000,195779176,470979176,0,0,212094956021,-206341786620,0,-34399994950,0,-28646825549,-58035874432,71327806360,0,13291931928
2016,4,282979438032,-146038790946,-59404435377,-9890544265,-934528446,46419111185,-64904897376,0,48225352807,-4951000000,27297000,0,0,0,0,21478254,-4902224746,0,0,212064470051,-243085683118,0,0,0,-31021213067,12301914994,13291931928,0,25593846922
2017,1,174946771497,-138140446154,-49013389580,-10093339774,-5035000000,64470760809,-83875373935,0,-46740017137,-8680000000,202000000,0,0,0,0,877366881,-7600633119,0,0,240064807875,-172594098095,0,0,0,67470709780,13130059524,25593846922,0,38723906446
2017,2,163696844968,-108948707244,-49272513902,-10759913888,-2646009257,45429970095,-88273968268,0,-50774297496,-910000000,21400000000,0,0,0,28580972124,22209731,49093181855,0,0,218259856262,-214946962222,0,0,0,3312894040,1631778399,38723906446,0,40355684845
2017,3,188925781759,-120729665350,-43066436216,-9930572253,-1000000000,54757312089,-73641327092,0,-4684907063,0,17174000,0,0,0,0,21891797,39065797,0,0,206990195930,-211849380582,0,0,0,-4859184652,-9505025918,14769061502,0,5264035584
2017,4,213543906643,-133150971519,-51334359954,-10249275819,-1656539388,57156609789,-88552968188,0,-14243598436,0,781169000,0,0,0,0,18588120,799757120,0,0,205908807803,-194432768321,0,0,0,11476039482,-1967801834,30850658927,0,28882857093
2018,1,245956180651,-129683963808,-45785547872,-10240846204,-5060895768,30519443148,-54820471174,0,30883898973,0,0,0,0,0,440000000,48731983,488731983,0,0,165775670349,-190203196232,0,0,0,-24427525883,6945105073,28882887093,0,35827992166
2018,2,260084364287,-186285919190,-31834561555,-9871361975,-432254427,46351115252,-84230795533,0,-6219413141,-124000000,545545455,0,0,0,0,13384751,434930206,0,0,242576682995,-248461364193,0,0,0,-5884681198,-11669164133,35827992166,0,24158828033
2018,3,154912352553,-107036542925,-22746924020,-9647783222,-448964737,23569550540,-24989487284,0,13612200905,0,181454545,0,0,0,0,7634951,189089496,0,0,138247854444,-150582726347,0,0,0,-12334871903,1466418498,24158828033,0,25625246531
2018,4,186612138820,-143500561082,-38321465811,-9952965879,0,44657864984,-63373196836,0,-23878185804,-60320000,-56719500,0,0,0,0,39243534,-77795966,0,0,179205150254,-163142448897,0,0,0,16062701357,-7893280413,25625246531,0,17731966118
