Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2008,0,0,0,0,0,0,0,0,0,317733246056,0,3192643813087,-2058491940889,-368865092,-2069196636595,155877605423,0,486478762252,0,-4856700782776,6703273444793,0,-26426408750,0,-131134095908,79289270609,1792977412210,-54638960096,-4076575548,0,1734261876566,-490704223143,0,0,0,0,0,-365559000000,0,2964659000,-853298564143,0,0,0,-95975683200,-2351398000,0,-98327081200,782636231223,1991880723261,0,2774516954484
2009,0,1608021000000,-980452000000,60082000000,-35538000000,0,10551000000,-327964000000,-74071000000,261826000000,0,-539946000000,-2423694000000,-3294000000,-6576049000000,0,0,-102515000000,0,7708320000000,5164004000000,0,6412000000,0,0,255000000,3495319000000,0,-5514000000,0,3489805000000,-109189000000,0,0,0,0,0,-16000000000,501000000000,7475000000,383286000000,0,0,0,-223465000000,-2606000000,0,-226071000000,3647020000000,2774517000000,0,6421537000000
2010,0,2565728000000,-1996899000000,106464000000,634645000000,0,7039000000,-658796000000,-116853000000,542456000000,0,-1846575000000,-3983578000000,3663000000,-11546840000000,0,-37000000,-1764274000000,903716000000,3328135000000,10961498000000,2900000000,348514000000,5745356000000,0,96880000000,2791814000000,0,0,0,2791814000000,-792752000000,0,0,0,0,0,-63590000000,0,6851000000,-849491000000,1547519000000,0,0,-409006000000,-303000000,0,1138210000000,3080533000000,6421537000000,0,9502070000000
2011,0,7062359000000,-6080350000000,218448000000,46636000000,0,73991000000,-1076649000000,-259257000000,-13563000000,0,-2536440000000,55419000000,-4036000000,-4832581000000,0,-739000000,-1277019000000,1281238000000,2637545000000,9151969000000,-2900000000,-154012000000,6812065000000,0,289311000000,11406257000000,0,0,0,11406257000000,-75464000000,182000000,0,0,0,0,-16900000000,0,9229000000,-82953000000,0,0,0,-611883000000,0,0,-611883000000,10711421000000,9502070000000,0,20213491000000
2012,0,7552992000000,-7092381000000,152097000000,78852000000,0,108598000000,-1479432000000,-264542000000,-943190000000,0,-16346784000000,4054196000000,-1813000000,-13101287000000,0,0,-602998000000,-2184954000000,6219410000000,25809734000000,0,106406000000,-7471664000000,0,-4781348000000,-9244292000000,0,0,0,-9244292000000,-127350000000,538158000000,0,0,0,0,0,24222000000,10910000000,445940000000,2261000000,0,0,-270100000000,0,0,-267839000000,-9066191000000,20213491000000,519258000000,11666558000000
2013,0,7816181000000,-7669084000000,133131000000,47672000000,0,73292000000,-1538331000000,-159115000000,-1288123000000,0,5254394000000,-5928398000000,5847000000,-19574688000000,0,-163268000000,-429664000000,2119145000000,-1091870000000,13162497000000,6272000000,91145000000,12539186000000,0,252200000000,4954675000000,0,0,0,4954675000000,-458229000000,2263000000,0,0,0,0,0,6821000000,6325000000,-442820000000,0,0,0,-1066000000,0,0,-1066000000,4510789000000,11666558000000,0,16177347000000
2014,0,8983767000000,-7214905000000,361839000000,88792000000,0,-142608000000,-1489629000000,-128864000000,463146000000,0,11588587000000,4896237000000,-18611000000,-28814627000000,0,-481707000000,648944000000,-1357986000000,7095296000000,32466602000000,-6272000000,100311000000,-12998575000000,0,-463674000000,13117671000000,0,0,0,13117671000000,-136459000000,667000000,0,0,0,0,0,61831000000,7820000000,-66141000000,0,0,0,-603732000000,0,0,-603732000000,12447798000000,16177348000000,0,28625146000000
2015,0,10044545000000,-6972978000000,97438000000,2832000000,0,-33707000000,-1937545000000,-224993000000,1173713000000,0,2700849000000,-1451426000000,18611000000,-29957833000000,0,-317712000000,-512566000000,3463757000000,2892000000,25601257000000,100011000000,200145000000,4348448000000,0,-163877000000,5206269000000,0,0,0,5206269000000,-103775000000,919000000,-774000000,0,0,0,0,27649000000,8565000000,-67416000000,0,0,0,-2761000000,0,0,-2761000000,5136092000000,28625146000000,0,33761238000000
2016,0,15541712000000,-10241882000000,361578000000,100724000000,0,311318000000,-2385383000000,-246439000000,3494626000000,0,-5491877000000,-2259425000000,-44578000000,-30948992000000,0,-167263000000,479771000000,-1652495000000,5163649000000,17747341000000,-100011000000,394255000000,5508227000000,0,46377000000,-7830395000000,0,0,0,-7830395000000,-173680000000,538765000000,0,0,0,0,0,44380000000,2127000000,411592000000,0,0,0,-288000000,0,0,-288000000,-7419091000000,33761238000000,0,26342147000000
2017,0,18142807000000,-12551520000000,1465529000000,412890000000,0,155853000000,-2771257000000,-268304000000,4602910000000,0,2155857000000,-3009463000000,-91687000000,-35914379000000,0,-236877000000,-10156232000000,185923000000,19690987000000,28313552000000,0,255274000000,1199594000000,0,-363487000000,6631972000000,0,0,0,6631972000000,-117245000000,203443000000,-16229000000,0,0,0,-12857000000,15000000000,2816000000,74928000000,0,0,0,-330000000,0,0,-330000000,6706570000000,26342147000000,0,33048717000000
