2020-04-08,10550,1900,0,13550,6700,8500
2020-03-13,4050,0,200,4050,3000,600
2020-03-20,1950,0,600,16650,14400,100
2020-03-23,1950,1850,0,4350,1850,0
2020-04-09,20250,13550,100,16950,10950,2200
2020-04-10,11100,1550,2200,16500,1550,100
2020-04-13,11850,2000,6700,12250,2200,2000
2020-04-14,2550,0,0,8750,2000,200
2020-04-15,15450,3600,8500,10150,3700,2000
2020-04-16,5950,2100,1900,1350,0,1500
2020-04-17,34750,18900,9600,11850,6200,1000
2020-04-20,6300,1500,0,19300,10600,1500
2020-04-21,1550,0,100,28150,21400,6000
2020-04-22,7950,0,3600,5650,0,0
2020-04-23,8600,4200,600,6400,2000,500
2020-04-24,14150,6500,1000,5350,1600,0
2020-04-27,1050,0,800,8150,6100,100
2020-04-28,5950,4400,500,350,0,0
2020-04-29,1800,0,0,1700,0,0
2020-05-04,750,0,400,3050,0,500
2020-05-05,600,0,300,4800,3000,0
