Year,Quarter,A. Total Assets,I. Cash and Precious Metals,II. Balances with the SBV,III. Placements with and loans to other credit institutions,1. Balances with other credit institutions,2. Loans to other credit institutions,3. Allowance for balances with and loans to other credit,"IV. Trading Securities, net",1. Trading Securities,2. Less: Provision for diminution in value of Trading Securities,V. Derivatives and other financial assets,"VI. Loans and advances to customers, net",1. Loans and advances to customers,2. Less: Provision for losses on loans and advances to customers,VII. Debts purchase,1. Debts purchase,2. Allowance for losses on debts purchase,VIII. Investment Securities,1. Available-for Sales Securities,2. Held-to-Maturity Securities,3. Less: Provision for diminution in value of investment securities,IX. Investment in other entities and long term investments,1. Investment in joint ventures,2. Investments in associate companies,3. Other long-term investments,4. Less: Provision for diminuation in value of long term investments,X. Fixed Assets,1. Tangible fixed assets,2. Leased assets,3. Intagible fixed assets,XI. Investment Properties,XII. Other Assets,1. Receivables,2. Accrued interest and fee receivables,3. Deferred tax assets,4. Other assets,5. In which: Good will,6. Allowance for other assets,B. Liabilities and Shareholder's Equity,Total Liabilities,I. Due to Gov and borrowings from SBV,II. Deposits and borrowings from other credit institutions,1. Deposits from other credit institutions,2. Borrowings from other credit institutions,III. Deposits from customers,IV. Derivatives and other financial liabilities,"V. Funds received from Gov, international and other institutions",VI. Convertible bonds/CDs and other valuable papers issued,VII. Other liabilities,Sharehodler's Equity,I. Capital,1. Paid-in capital,2. Fund for basic construction,3. Capital surplus,4. Treasury shares,5. Preferred shares,6. Owner's other capital,II. Reserves,III. Foreign Currency Difference reserve,IV. Difference upon Assets Revaluation,V. Retained Earnings,VI. Minority interests,Minority Interest,CONTINGENT LIABILITIES,I. Letters of credit (L/C),1. Letters of credit at sight,2. Deferred letters of credit,3. Others,II. Credit guarantee,1. Loan guarantee,2. Payment guarantee,3. Performance guarantee,4. Tender guarantee,5. Export guarantee,6. Others,III. CREDIT COMMITMENTS,1. Foreign exchange transactions commitments,a. Foreign exchange buying commitments,b. Foreign exchange selling commitments,c. Swap commitments,d. Future commitments,2. Irrevocable loan commitments,3. Letters of credit commitments,4. Other commitments
2008,0,2418642400000,19702761000,25823028000,1344409218000,1344409218000,0,0,0,0,0,0,275340560000,275492869000,-152309000,0,0,0,583613870000,583613870000,0,0,0,0,0,0,0,58512951000,41535911000,0,16977040000,0,111240012000,22145028000,56908998000,0,32185986000,0,0,2418642400000,1397914504000,0,196258422000,196258422000,0,1171843665000,0,0,0,29812417000,1020727896000,1000000000000,1000000000000,0,0,0,0,0,8576658000,0,0,12151238000,0,0,191760139000,0,0,0,0,191760139000,0,0,0,0,0,191760139000,0,0,0,0,0,0,0,0,0
2009,0,10728532331000,92990782000,122950498000,1156808654000,1156808654000,0,0,138738229000,147113098000,-8374869000,0,3171529528000,3192581909000,-21052381000,0,0,0,4828328195000,4828328195000,0,0,3000000000,0,0,3000000000,0,106605479000,85605743000,0,20999736000,0,1107580966000,728029049000,179008286000,0,200543631000,0,0,10728532331000,9090444834000,417974904000,3751975969000,3751975969000,0,4230310564000,8188480000,0,0,681994917000,1638087497000,1489222225000,1250000000000,0,239222225000,0,0,0,8508958000,0,0,140356314000,0,0,408190240000,0,0,0,0,408190240000,0,15568067000,85518205000,26507208000,0,280596760000,0,0,0,0,0,0,0,0,0
2010,0,20889254217000,198470769000,412926476000,3103061224000,3103061224000,0,0,117599758000,124962915000,-7363157000,0,5155958641000,5224778899000,-68820258000,0,0,0,6805339066000,6805339066000,0,0,10000000000,0,0,10000000000,0,112685220000,92861052000,0,19824168000,0,4973213063000,533279443000,309194989000,0,4130738631000,0,0,20889254217000,17691672508000,516412603000,7205182308000,7205182308000,0,7557456566000,46395555000,0,1781939859000,584285617000,3197581709000,3000001340000,3000000000000,0,1340000,0,0,0,18533397000,0,0,179046972000,0,0,755406908000,0,0,0,0,755406908000,0,283851267000,85415546000,53482971000,0,332657124000,0,0,0,0,0,0,0,0,0
2011,0,24885252339379,127275599362,65163136416,8568349595491,8165865595491,619484000000,-217000000000,24442097715,41049201851,-16607104136,0,3604029741611,3664470938605,-60441196994,0,0,0,8073368665243,8622007486831,0,-548638821588,10000000000,0,0,10000000000,0,73120206714,58483019749,0,14637186965,0,4339503296827,494913223307,658599749078,0,4005292572832,0,-819302248390,24885252339379,23212598210017,336921034717,12881588831379,12731588831379,150000000000,6242227322540,49535525316,107662000000,2444966796881,1149696699184,1672654129362,2997197780000,3000000000000,1340000,0,-2803560000,0,0,42132785732,0,0,-1366676436370,0,0,624838761000,43135577000,0,0,43135577000,581703184000,0,0,0,0,0,581703184000,0,0,0,0,0,0,0,0,0
2012,0,15120369682984,65320769847,364312238382,2188579540838,1673579540838,515000000000,0,21572710001,34328094136,-12755384135,0,5990357682851,6083030002893,-92672320042,0,0,0,5453320269504,5540302142409,200000000000,-286981872905,10000000000,0,0,10000000000,0,69065687663,50853140844,0,18212546819,0,957840783898,192873453251,359133836871,0,1323323108684,0,-917489614908,15120369682984,11801362928760,833787253030,762944387317,35476387317,727468000000,9269925440111,7436054809,0,752248000000,175021793493,3319006754224,4527197780000,5550000000000,0,-1019998660000,-2803560000,0,0,42132785732,0,0,-1250323811508,0,0,709338058965,133083983235,0,0,133083983235,576254075730,0,0,0,0,0,576254075730,0,0,0,0,0,0,0,0,0
2013,0,32088038816947,294799238485,226461114920,5855657092577,4709214236243,1330160800000,-183717943666,174361159453,212816649813,-38455490360,7965500225,11809048776524,11925991430338,-116942653814,0,0,0,12183871217431,11776267873922,437603343509,-30000000000,10000000000,0,0,10000000000,0,68365474042,55109714333,0,13255759709,0,1457509243290,1307300483743,526497387671,0,595168758187,0,-971457386311,32088038816947,28387368424676,0,11393516645604,6678191105604,4715325540000,14331681384239,0,0,2341440000000,320730394833,3700670392271,4527197780000,5550000000000,0,-1019998660000,-2803560000,0,0,42132785732,0,0,-868660173461,0,0,120605374535,0,0,0,0,120605374535,120605374535,0,0,0,0,0,3392126385232,0,0,0,0,0,0,902126385232,2490000000000
2014,0,51477555719157,386694554302,5048039626868,10888929609412,9289809609412,1599120000000,0,145167340310,145167340310,0,0,19639833560472,19838991454134,-199157893662,0,0,0,13988825030958,13710686687947,509486415901,-231348072890,9435959317,0,0,10000000000,-564040683,79023491682,59387678297,0,19635813385,0,1291606545836,594085395879,914165189147,0,669702421984,0,-886346461174,51477555719157,47241008648928,0,25101617553726,12191045253726,12910572300000,21623430396773,17939807656,89233972505,0,408786918268,4236547070229,4527197780000,5550000000000,0,-1019998660000,-2803560000,0,0,42132785732,0,0,-332783495503,0,0,2122138153416,474169099118,0,0,474169099118,1647969054298,0,0,0,0,0,1647969054298,0,0,0,0,0,0,0,0,0
2015,0,76220834000000,621500000000,1227426000000,20290118000000,17809208000000,2480910000000,0,0,0,0,11150000000,27977664000000,28240322000000,-262658000000,0,0,0,21578948000000,21165710000000,604132000000,-190894000000,0,0,0,0,0,134016000000,99684000000,0,34332000000,0,4380012000000,3680395000000,864882000000,0,734506000000,0,-899771000000,76220834000000,71422169000000,2017980000000,29395609000000,18995180000000,10400429000000,39505447000000,0,0,0,503133000000,4798665000000,4527197000000,5550000000000,0,-1019999000000,-2804000000,0,0,42133000000,0,0,229335000000,0,0,2952593000000,0,0,0,0,2952593000000,0,0,0,0,0,2952593000000,8723681000000,4778123000000,544421000000,558335000000,3675367000000,0,0,543558000000,3402000000000
2016,0,106311115000000,815148000000,1362317000000,23784661000000,19237389000000,4547272000000,0,0,0,0,29149000000,46233626000000,46642977000000,-409351000000,677530000000,682805000000,-5275000000,29882518000000,29175883000000,1019638000000,-313003000000,0,0,0,0,0,144374000000,100386000000,0,43988000000,0,3381792000000,1768738000000,1310216000000,0,1191527000000,0,-888689000000,106311115000000,100629629000000,1500282000000,41245247000000,24734800000000,16510447000000,55082028000000,0,1211925000000,0,1590147000000,5681486000000,5040125000000,5842105000000,0,-718828000000,-83152000000,0,0,76150000000,0,0,565211000000,0,0,5361860000000,0,0,0,0,5361860000000,0,0,0,0,0,5361860000000,41761705000000,34490811000000,2507665000000,2529796000000,29453350000000,0,0,1554894000000,5716000000000
2017,0,124118747000000,1176978000000,2364130000000,22589779000000,22189779000000,400000000000,0,0,0,0,0,62747997000000,63422643000000,-674646000000,580054000000,584605000000,-4551000000,25465002000000,24938137000000,994187000000,-467322000000,0,0,0,0,0,250772000000,174892000000,0,75880000000,0,8944035000000,6469536000000,1271770000000,0,1239829000000,0,-37100000000,124118747000000,117442030000000,1082224000000,40757187000000,27758930000000,12998257000000,70298586000000,84351000000,132484000000,3481154000000,1606044000000,6676717000000,5552176000000,5842105000000,0,-234446000000,-55483000000,0,0,160932000000,0,0,963609000000,0,0,7321529000000,0,0,0,0,7321529000000,0,0,0,0,0,7321529000000,59499321000000,55350107000000,438336000000,440045000000,54471726000000,0,0,886466000000,3262748000000
