Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2008,0,198427177000,-73075069000,125352108000,1886627000,-5376131000,-3489504000,-1276107000,0,-381176000,332302000,0,332302000,0,120537623000,-52808877000,67728746000,-352479000,67376267000,-16865213000,0,-16865213000,50511054000,0,505
2009,0,496277209000,-279807394000,216469815000,23954340000,-5593304000,18361036000,-31157884000,21422924000,79449064000,4392646000,-345124000,4047522000,658797000,309251274000,-123838413000,185412861000,-20700055000,164712806000,-36507730000,0,-36507730000,128205076000,0,1166
2010,0,1218926366000,-1006220326000,212706040000,37036744000,-15650802000,21385942000,-5489641000,1806771000,11522128000,228608360000,-17742099000,210866261000,6229732000,459027233000,-196628394000,262398839000,-48905260000,213493579000,-51815962000,0,-51815962000,161677617000,0,830
2011,0,2291801326000,-2451373961228,-159572635228,33507550906,-142731912993,-109224362087,-104125104377,582644076,-544809387292,980203065295,-48932627381,931270437914,861321975,14982914981,-1293062174010,-1278079259029,-93532684501,-1371611943530,0,0,0,-1371611943530,0,-4576
2012,0,1380295709283,-1105678079315,274617629968,17592294173,-27937854552,-10345560379,5664387624,6818746329,-3303417854,280292478520,-41128451790,239164026730,1879152229,514494964647,-325551587707,188943376940,-72590752078,116352624862,0,0,0,116352624862,0,386
2013,0,1680004044367,-1069425914340,610578130027,31642179729,-14704908788,16937270941,11716516984,20378756269,21023896432,212066551891,-6856462001,205210089890,3462425773,889307086316,-423135285711,466171800605,-84786549852,381385250753,0,0,0,381385250753,0,688
2014,0,2331539133146,-1352367904771,979171228375,66300114098,-20656230150,45643883948,35254924848,3445709919,-21116401453,133654037794,-28734659155,104919378639,4154566000,1151473290276,-665222164528,486251125748,49625552210,535876677958,0,0,0,535876677958,0,966
2015,0,3321373000000,-1918454000000,1402919000000,103022000000,-34639000000,68383000000,-48813000000,0,109914000000,37821000000,-17861000000,19960000000,2860000000,1555223000000,-794793000000,760430000000,-134767000000,625663000000,-63503000000,0,-63503000000,562160000000,0,1013
2016,0,5173686000000,-3052861000000,2120825000000,146317000000,-60199000000,86118000000,57972000000,0,46260000000,5482000000,-7792000000,-2310000000,0,2308865000000,-1330576000000,978289000000,-271735000000,706554000000,-141343000000,0,-141343000000,565211000000,0,1004
2017,0,7324605000000,-4152181000000,3172424000000,280878000000,-115815000000,165063000000,10248000000,0,222633000000,45421000000,-6063000000,39358000000,0,3609726000000,-1941603000000,1668123000000,-462412000000,1205711000000,-242102000000,0,-242102000000,963609000000,0,1717
2018,0,9373839000000,-4996062000000,4377777000000,864711000000,-188526000000,676185000000,81310000000,0,351959000000,149270000000,-9701000000,139569000000,0,5626800000000,-2846688000000,2780112000000,-522332000000,2257780000000,-452542000000,0,-452542000000,1805238000000,0,2911
2019,0,11850763000000,-6217441000000,5633322000000,1467046000000,-293101000000,1173945000000,43861000000,0,910692000000,1027006000000,-319363000000,707643000000,0,8469463000000,-3303325000000,5166138000000,-1297949000000,3868189000000,-774347000000,0,-774347000000,3093842000000,0,3691
