Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2011,1,461589026779,-483728435758,5574686585,-37267013109,185769107923,0,-52331073948,0,79606298472,0,771552000000,-835095506744,0,921368071268,0,-435019112,-1317798435239,110838472519,2545246801914,1104580316250,39974970474,-231416788200,899181763711,0,133913385926,4221516331239,0,-639100000,0,4220877231239,-4341871373,0,0,0,0,0,0,0,0,-4341871373,0,-59873931239,0,0,-2803560000,0,-62677491239,4153857868627,2942906468546,-8980941787,7087783395386
2011,2,512524382827,-560233111045,-29190928346,-33745333417,0,296003239459,-47831879619,-8160431049,129365938810,0,0,705541859156,0,-460587583368,0,-60913683,-1956058205431,-627251075329,2687505814523,-958142904638,-16966914582,913335375619,-499839111376,0,-48028881677,-131186601976,0,0,0,-131186601976,-5939054065,4545455,-5359102,0,0,0,0,0,0,-5939867712,0,0,0,-149859822000,0,0,-149859822000,-286986291688,7087783395386,1610567931,6802407671629
2011,3,523370405333,-477363672758,-70232983183,1860750895,283670643736,0,-53843268770,-25644435885,181817439368,0,-2039484000000,-1139315056377,-641401023029,300020380642,0,0,1446085304381,281788155217,4594911173267,-195701882906,310558836342,-102505143152,31883120208,0,747287705742,3775945009703,0,0,0,3775945009703,-4047081357,0,0,0,0,0,0,0,628950000,-3418131357,0,0,0,0,0,0,0,3772526878346,6802407671629,-4919342152,10570015207823
2017,1,1672741000000,-972931000000,27847000000,15475000000,0,-2479000000,-418392000000,-111343000000,212318000000,0,2499999000000,482902000000,29149000000,3411393000000,0,-6969000000,-578277000000,-316804000000,-661928000000,-320623000000,106854000000,-365436000000,0,0,511876000000,5004454000000,0,0,0,5004454000000,-43100000000,0,0,0,0,0,0,0,0,-43100000000,0,0,0,0,0,0,0,4961354000000,22292126000000,-70537000000,27182943000000
2017,2,1797242000000,-1059336000000,51165000000,-10128000000,0,7271000000,-345919000000,-5083000000,436112000000,0,-1780000000000,-144138000000,0,-9779667000000,0,-2788000000,623579000000,-30661000000,7654401000000,2310112000000,-6280000000,790975000000,1200000000,0,-460020000000,-387175000000,0,0,0,-387175000000,-37357000000,0,0,0,0,0,0,0,0,-37357000000,0,0,0,0,0,0,0,-424532000000,27182943000000,70538000000,26828949000000
2017,3,1774661000000,-893857000000,47069000000,61533000000,0,8908000000,-430504000000,-39999000000,528011000000,0,-50000000000,1204571000000,0,-3604316000000,0,-6241000000,-950613000000,-31587000000,-4541339000000,1832039000000,-9077000000,564597000000,293056000000,0,478756000000,-4292143000000,0,0,0,-4292143000000,-7035000000,16000000,0,0,0,0,0,0,0,-7019000000,0,0,0,0,0,31647000000,31647000000,-4267515000000,26828949000000,10100000000,22571534000000
2017,4,2129177000000,-911482000000,38982000000,82995000000,0,22312000000,-642312000000,-30000000000,690072000000,0,1300000000000,-860589000000,0,-6683425000000,0,-27248000000,-562618000000,-39006000000,-6472343000000,11395030000000,-7146000000,426150000000,3186898000000,0,-499665000000,1846110000000,0,0,0,1846110000000,-78456000000,446000000,-16000000,0,0,0,0,0,0,-78026000000,0,0,0,0,0,0,0,1768084000000,22571534000000,-10101000000,24329517000000
2018,1,2057830000000,-1112662000000,74711000000,212103000000,0,21728000000,-642346000000,-146070000000,465294000000,0,900000000000,-325951000000,0,-6344653000000,0,0,662362000000,-22510000000,-7252766000000,2828015000000,-54383000000,-728263000000,1034969000000,0,618916000000,-8218970000000,0,0,0,-8218970000000,-10800000000,110000000,0,0,0,0,0,0,0,-10690000000,0,0,0,0,0,0,0,-8229660000000,24329517000000,67687000000,16167544000000
2018,2,2454285000000,-1258023000000,169858000000,127702000000,0,95161000000,-644372000000,-35000000000,909998000000,0,395000000000,4398325000000,-3789000000,-3856620000000,0,-104403000000,-384916000000,-28606000000,-794083000000,2043552000000,-29968000000,-54285000000,2290725000000,0,-953020000000,3827910000000,0,0,0,3827910000000,-58043000000,3000000,0,0,0,0,0,0,0,-58040000000,2190390000000,0,0,-50660000000,0,0,2139730000000,5909600000000,16268914000000,-67687000000,22110827000000
2018,3,2162861000000,-1076459000000,195179000000,57096000000,0,-6666000000,-703635000000,-30000000000,611191000000,0,405000000000,-166273000000,3789000000,-597896000000,0,-121000000,-1083159000000,421937000000,3698309000000,-5011398000000,91387000000,-282150000000,-674659000000,0,494073000000,-2089970000000,0,0,0,-2089970000000,-13917000000,184000000,0,0,0,0,0,0,0,-13733000000,0,0,0,1000000,0,0,1000000,-2103702000000,22009457000000,74537000000,19980292000000
2018,4,2615042000000,-1354911000000,236437000000,101201000000,0,-1097000000,-801142000000,-10000000000,803302000000,0,-1160000000000,-3947417000000,0,-3545868000000,0,-139809000000,916125000000,3299153000000,-2023708000000,5979307000000,17202000000,-1316284000000,2595989000000,0,-15587000000,1462405000000,0,0,0,1462405000000,-148778000000,0,-828000000,0,0,0,0,0,0,-149606000000,-1000000,0,-13000000000,0,0,0,-13001000000,1299798000000,19980292000000,-74537000000,21205553000000
2019,1,2818665000000,-1400568000000,216753000000,450547000000,0,169000000,-828132000000,-362963000000,916249000000,0,500000000000,6203168000000,-20563000000,-7461783000000,0,0,-1008535000000,-3827691000000,3836656000000,1774858000000,-108589000000,6780000000,2238689000000,0,450598000000,3499837000000,0,0,0,3499837000000,-55556000000,0,0,0,0,0,0,0,0,-55556000000,0,0,0,0,0,0,0,3444281000000,21205553000000,38576000000,24688410000000
