Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2007,0,92954112000,0,0,0,0,0,0,0,0,14079505000,0,0,3215676000,0,0,69814266000,0,0,5844665000,0,92954112000,-13166894000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79787218000,0,0,0,0,0,0,0,0,0,0,0,0,0,-20698715000,59088503000,247647000,0,247647000,0,59336150000,0,0,0,-16192985000,0,43143165000,43143165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,39274021704,0,0,0,0,0,0,0,0,18058955707,0,727372436,890454541,0,0,11749699301,0,0,7847539719,0,39274021704,-90982980777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51708959073,0,0,0,0,0,0,0,0,0,0,0,0,0,-34861881004,-86570840077,891504624,-40225600,851279024,0,-85719561053,0,0,0,0,0,-85719561053,-85719561053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2743,0
2009,0,146830072511,0,0,0,0,0,0,0,0,43057648343,0,54823315,10673496286,0,0,87909229308,0,0,5134875259,0,146830072511,-67453424086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79376648425,0,0,0,0,0,0,0,0,0,0,0,0,0,-26388963283,52987685142,1320862788,-36221380,1284641408,0,54272326550,0,0,0,0,12349747886,66622074436,66622074436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0
2010,0,198624156247,0,0,0,0,0,0,0,0,36168366329,3934211500,0,52889496851,0,0,92296235873,0,0,13335845694,0,198624156247,-115398124106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83226032141,0,0,0,0,0,0,0,0,0,0,0,0,0,-57724698959,25501333182,1858582170,-427366378,1431215792,0,26932548974,0,0,0,0,-5993928804,20938620170,20938620170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0
2011,0,161572474207,0,0,0,0,0,0,0,0,16070929153,0,0,112135250036,0,0,13651925282,0,0,19714369736,0,161572474207,-231426652724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69854178517,0,0,0,0,0,0,0,0,0,0,0,0,0,-58530812303,-128384990820,2799466826,-756936602,2042530224,0,-126342460596,0,0,0,0,0,-126342460596,-126342460596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3612,0
2012,0,101681678093,0,0,0,0,0,0,0,0,29435780674,390000000,0,22066088451,0,3536488258,12518491314,0,0,33734829396,0,101681678093,-84403256561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17278421532,0,0,0,0,0,0,0,0,0,0,0,0,0,-45737161010,-28458739478,832626314,-11062559,821563755,0,-27637175723,0,0,0,0,0,-27637175723,-27637175723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-790,0
2013,0,96410599428,0,0,0,0,0,0,0,0,26987764657,0,0,10358495459,0,3622358543,28447517516,0,0,26994463253,0,96410599428,-57756642034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38653957394,0,0,0,0,0,0,0,0,0,0,0,0,0,-32175404573,6478552821,1489932591,-46455461,1443477130,0,7922029951,0,0,0,0,-6384932543,1537097408,1537097408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
2014,0,228608068452,0,0,0,0,0,0,0,0,63660414103,7766820285,0,6736665529,0,3887731769,96379810614,0,0,50176626152,0,228608068452,-82623477613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145984590839,0,0,0,0,0,0,0,0,0,0,0,0,0,-41738538342,104246052497,986060309,0,986060309,0,105232112806,0,0,0,0,0,105232112806,105232112806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,0
2015,0,126457535744,0,0,0,0,0,0,0,0,37510171249,2894352900,0,3343636363,0,3854767770,25735211449,0,0,53119396013,0,126457535744,-70425683110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56031852634,0,0,0,0,0,0,0,0,0,0,0,0,0,-44332862618,11698990016,698187688,-10922505,687265183,0,12386255199,0,0,0,0,8506770145,20893025344,20893025344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0
2016,0,229148473459,53612118137,42328974155,0,11283143982,0,110358443341,0,0,48945610120,3000000000,0,0,0,5628981362,0,0,6889727272,713593227,0,229148473459,-134433765232,-18406036380,-5392279405,-13013756975,0,0,0,0,-52997371945,0,-1987550274,-42338260891,-180000000,-450231499,0,-5786971449,-5121995390,-7165347404,0,94714708227,8266797949,0,8266797949,0,0,0,0,0,0,0,0,0,0,-42167389178,60814116998,587033540,-51066610,535966930,0,61350083928,74363840903,-13013756975,-12043517596,-3536747451,-8506770145,49306566332,49306566332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0
2017,0,354115770018,101073779045,79796388798,15337805715,5939584532,0,146069363415,0,0,87002042082,6349000000,0,0,0,7472229317,0,0,5269454181,879901978,0,354115770018,-174340947056,-15747406571,-29594339433,13846932862,0,0,0,0,-67488928956,0,-4135204425,-61770746362,-1542377378,-943458689,0,-7467889242,-5967798494,-9277136939,0,179774822962,11932783189,0,11932783189,0,0,-51475000,-51475000,0,0,0,0,0,0,-53643744436,138012386715,368312102,-39111307,329200795,0,138341587510,167526326087,-29184738577,-26984674394,-23917113251,-3067561143,111356913116,111356913116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,0
