Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2006,0,712450000000,-481210000000,231240000000,17796000000,-9050000000,8746000000,-2583000000,0,0,64582000000,0,64582000000,1851000000,303836000000,-128535000000,175301000000,-18493000000,156808000000,-43388000000,0,-43388000000,113420000000,0,2447
2007,0,1247122000000,-781121000000,466001000000,46730000000,-16442000000,30288000000,6538000000,73254000000,0,80066000000,0,80066000000,3512000000,659659000000,-294554000000,365105000000,-51582000000,313523000000,-86802000000,0,-86802000000,226721000000,0,1763
2008,0,2630121000000,-1978611000000,651510000000,67600000000,-33325000000,34275000000,-7565000000,-6209000000,-602000000,17449000000,-1553000000,15896000000,7054000000,694359000000,-450263000000,244096000000,-45373000000,198723000000,0,0,0,198723000000,0,0
2009,0,2163995000000,-1390784000000,773211000000,200772000000,-63852000000,136920000000,19211000000,-9251000000,-27131000000,22120000000,-2310000000,19810000000,7966000000,920736000000,-477857000000,442879000000,-60247000000,382632000000,-89067000000,0,-89067000000,293565000000,0,1195
2010,0,3814024000000,-2736987000000,1077037000000,334111000000,-122701000000,211410000000,-9364000000,-59303000000,5112000000,103148000000,-32090000000,71058000000,12696000000,1308646000000,-544303000000,764343000000,-101199000000,663144000000,-159819000000,0,-159819000000,503325000000,0,2045
2011,0,9539693000000,-7494584000000,2045109000000,844608000000,-437276000000,407332000000,12964000000,48385000000,-26316000000,36143000000,-12437000000,23706000000,4144000000,2515324000000,-1302340000000,1212984000000,-148729000000,1064255000000,-264606000000,39000000,-264567000000,799688000000,0,1386
2012,0,10340939000000,-7373778000000,2967161000000,671852000000,-401035000000,270817000000,-117164000000,73913000000,-176112000000,121668000000,-23953000000,97715000000,17092000000,3133422000000,-1880776000000,1252646000000,-399914000000,852732000000,-214933000000,5595000000,-209338000000,643394000000,0,1115
2013,0,11194255000000,-7042590000000,4151665000000,811131000000,-276385000000,534746000000,-20813000000,117999000000,185902000000,124771000000,-20744000000,104027000000,11628000000,5085154000000,-2704326000000,2380828000000,-1025982000000,1354846000000,-331592000000,-5634000000,-337226000000,1017620000000,0,1603
2014,0,12404218000000,-7113131000000,5291087000000,959852000000,-352700000000,607152000000,-89905000000,-4607000000,465573000000,246408000000,-253363000000,-6955000000,8716000000,6271061000000,-3682984000000,2588077000000,-979474000000,1608603000000,-355102000000,92000000,-355010000000,1253593000000,0,1712
2015,0,18758801000000,-8405364000000,10353437000000,1597313000000,-712646000000,884667000000,-290472000000,44587000000,27966000000,957363000000,-82291000000,875072000000,171054000000,12066311000000,-5692469000000,6373842000000,-3277640000000,3096202000000,-700598000000,264000000,-700334000000,2395868000000,0,3072
2016,0,25631116000000,-10463257000000,15167859000000,2114834000000,-1261908000000,852926000000,-318960000000,-149384000000,91874000000,1450885000000,-232315000000,1218570000000,872000000,16863757000000,-6621352000000,10242405000000,-5313094000000,4929311000000,-994266000000,0,-994266000000,3935045000000,0,4485
2017,0,34133371000000,-13518945000000,20614426000000,3210071000000,-1748527000000,1461544000000,-158842000000,179638000000,339477000000,3208782000000,-672502000000,2536280000000,53568000000,25026091000000,-8894970000000,16131121000000,-8001058000000,8130063000000,-1689296000000,0,-1689296000000,6440767000000,0,4564
2018,0,40280214000000,-15578639000000,24701575000000,3818797000000,-2206301000000,1612496000000,-103750000000,-56821000000,250057000000,5363874000000,-682613000000,4681261000000,845000000,31085663000000,-10633924000000,20451739000000,-11253231000000,9198508000000,-1842940000000,0,-1842940000000,7355568000000,0,3025
2019,0,49874784000000,-19204323000000,30670461000000,5487466000000,-2695847000000,2791619000000,-216879000000,284845000000,803159000000,2682220000000,-662555000000,2019665000000,2634000000,36355504000000,-12343718000000,24011786000000,-13687625000000,10324161000000,-2063898000000,0,-2063898000000,8260263000000,0,3376
