Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
0,0,49696668000000,-19204324000000,30492344000000,5665581000000,-2695847000000,2969734000000,-216879000000,284846000000,803159000000,2682220000000,-662554000000,2019666000000,2635000000,36355505000000,-12334010000000,24021495000000,-13687625000000,10333870000000,-2065840000000,0,-2065840000000,8268030000000,0,3379
2011,1,2519247443856,-2484799457754,34447986102,265218696980,-182276540204,82942156776,-1799525932,0,384290513522,17316813622,-510136164,16806677458,1124293267,517812101193,-168341776157,349470325036,-58507103557,290963221479,-4049019345,0,-4049019345,286914202134,0,0
2011,2,3345387097183,-3241355573084,104031524099,297547937448,-203146621344,94401316104,-1101161513,0,365693908974,9163638420,-2568617670,6595020750,1806020006,571426628420,-379637614405,191789014015,-19214717667,172574296348,-43254553586,0,-43254553586,129319742762,0,0
2012,1,2410534546906,-1804202132297,606332414609,193224940050,-165752894905,27472045145,19444664252,74911542219,-34816847780,74789759902,-9736159134,65053600768,377900,758397797113,-541410153658,216987643455,-73655658043,143331985412,-38488360600,0,-38488360600,104843624812,0,0
2012,2,2711021523515,-2309580462205,401441061310,191558625671,-81495265636,110063360035,-15478868030,64002958090,-8213761753,35585281428,-2974103129,32611178299,3724145534,588150073485,-196789525821,391360547664,-22612183149,368748364515,-97242512366,0,-97242512366,271505852149,0,0
2012,3,2341222000000,-1614180000000,727042000000,168049000000,-52813000000,115236000000,-10607000000,9219000000,-13562000000,18117000000,-3751000000,14366000000,12016000000,853710000000,-504861000000,348849000000,-67315000000,281534000000,-79847000000,0,-79847000000,201687000000,0,0
2012,4,2636554162324,-1755587933265,880966229059,255459872141,-64024549032,191435323109,-111051337076,38728215489,-110518853532,49151949804,-7548818907,41603130897,901818100,932064526046,-557347429099,374717096947,-312843141284,61873955663,-4171490558,-29965438,-4201455996,57672499667,0,0
2013,1,2457626619426,-1752535031751,705091587675,148833667709,-69523545039,79310122670,-3287438925,12037228247,29189586236,94304687749,-141397853,94163289896,260437845,916764813644,-561248623438,355516190206,-212404290144,143111900062,-12469168304,0,-12469168304,130642731758,0,0
2013,2,2529424380574,-1738910968249,790513412325,220879332291,-126926454961,93952877330,-14376561075,20318771753,190318413764,-87856687749,-2030602147,-89887289896,10506562155,1001346186356,-618174376562,383171809794,-246466709856,136705099938,-66054831696,0,-66054831696,70650268242,0,0
2013,3,2616091000000,-1666356000000,949735000000,225098000000,-74791000000,150307000000,7473000000,36322000000,-12747000000,38360000000,-10943000000,27417000000,3000000,1158510000000,-665373000000,493137000000,-212649000000,280488000000,-96576000000,0,-96576000000,183912000000,0,0
