Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2014,4,86928910124,0,0,0,0,0,0,0,0,34849712772,0,77928484,2199090907,0,750575060,10196517299,0,0,38855085602,0,86928910124,-29726655884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57202254240,0,0,0,0,0,0,0,0,0,0,0,0,0,-15904481295,41297772945,7553939,-208517975,-200964036,0,41096808909,0,0,0,0,0,41096808909,41096808909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0
2015,1,70070733217,14628492054,14191408254,0,437083800,4320000001,19526033613,1548047000,0,21299300624,51736907,0,0,0,618648197,0,0,2209764071,5868710750,0,70070733217,-19069971410,-3682804100,-3682804100,0,0,0,0,0,10514129377,0,-279003303,-19701886012,-19368000,0,0,-2056555937,-2447933384,-1396550051,-15000000,51000761807,1477618131,0,1477618131,0,0,-313331267,0,-313331267,0,0,0,0,0,-14842584687,37322463984,0,-17994716,-17994716,0,37304469268,37304469268,0,0,0,0,37304469268,37304469268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0
2015,2,70381364311,6662853790,4340443690,0,2322410100,4381534243,28955422066,1269849000,0,22002511822,410529237,0,0,0,947503729,0,0,2995681817,2755478607,0,70381364311,-27294884219,-2871875370,-2871875370,0,0,0,0,0,3411896131,0,-761091427,-22190680128,0,-3788097293,0,-2059308428,2447933384,-1483661088,15000000,43086480092,4289645773,0,4289645773,0,0,-844297872,0,-844297872,0,0,0,0,0,-16413988630,30117839363,18181818,-185158553,-166976735,0,29950862628,29950862628,0,0,0,0,29950862628,29950862628,0,0,0,0,0,0,0,0,0,0,29950862628,29950862628,0,0,414,0
2015,3,61710525467,6070772360,4125110160,0,1945662200,4416000000,21382146997,755290100,0,21966454251,377671176,0,0,0,917150680,0,0,1790742256,4034297647,0,61710525467,-34508431911,-2575666030,-2575666030,0,0,0,0,0,-5149283785,0,-821744377,-20738921335,0,0,0,-2258959026,-1419064534,-1544792824,-14574000,27202093556,4030400518,0,4030400518,0,0,-1519331658,0,-1519331658,0,0,0,0,0,-13067956765,16645205651,417181818,-108718800,308463018,0,16953668669,16953668669,0,0,0,0,16953668669,16953668669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0
2015,4,71226896613,5182733960,3667243160,0,1515490800,3771552565,36441852976,161724600,0,18755442564,0,188088435,0,0,1211016611,0,0,2494545452,3019939450,0,71226896613,-20525290009,-5285597290,-5285597290,0,0,0,0,0,9865644849,0,-461826985,-16811855549,-113895604,0,0,-2743997244,-2551322776,-2422439410,-16058000,50701606604,3992271881,0,3992271881,0,0,-1775217146,0,-1775217146,0,0,0,0,0,-16686587885,36232073454,0,-116450000,-116450000,0,36115623454,36115623454,0,-4219443989,-4219443989,0,31896179465,31896179465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0
2016,1,56169768130,2110460621,1553003301,0,557457320,2762410961,22518040889,893166260,0,21124723577,0,0,0,0,1393402397,0,0,3130727275,2236836150,0,56169768130,-21369600130,-4167047458,-4167047458,0,0,0,0,0,6883598083,0,-372879827,-18577866268,-19502727,-24236028,0,-1987279481,-1678554124,-1425832300,-99950000,34800168000,3200946441,0,3200946441,0,0,-1708290788,0,-1708290788,0,0,0,0,0,-15089245097,21203578556,0,-105820800,-105820800,0,21097757756,21097757756,0,-1471651809,-1471651809,0,19626105947,19626105947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0
2016,2,86482571631,11922397017,10514715277,0,1407681740,2745890407,37957707273,2370946840,0,25653202888,58594048,0,0,0,425723958,0,0,2940454543,2407654657,0,86482571631,-25800355857,-4895962899,-4895962899,0,0,0,0,0,6944419432,0,-301875166,-21964597660,0,-3056178967,0,-2600486892,1678554124,-1604227829,99950000,60682215774,4154345373,0,4154345373,0,0,-1896974219,0,-1896974219,0,0,0,0,0,-17892076171,45047510757,0,-101833012,-101833012,0,44945677745,44945677745,0,-9134260347,-9134260347,0,35811417398,35811417398,0,0,0,0,0,0,0,0,0,0,35811417398,-19626105947,55437523345,0,496,0
2016,3,54303996325,1690550198,1511588089,0,178962109,2792767126,23591650986,161724600,0,23494022968,77306893,0,0,0,1039806326,0,0,881818180,574349048,0,54303996325,-29804550061,-1238862228,-1238862228,0,0,0,0,0,-1947463758,0,-284723644,-21226991193,0,0,0,-2289919140,-1275623114,-1540966984,-4980000,24499446264,5908061205,0,5908061205,0,0,-1637559385,0,-1637559385,0,0,0,0,0,-12075503553,16694444531,2727273,-2925000,-197727,0,16694246804,16694246804,0,-1915953341,-1915953341,0,14778293463,14778293463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0
2016,4,79120221661,2830529388,1614630588,0,1215898800,2797170282,34828371488,4379663400,0,29614846924,136363636,0,0,0,1518951721,0,0,2594556365,419768457,0,79120221661,-25151413508,-3329727671,-3329727671,0,0,0,0,0,11274202483,0,-684244975,-23029290433,0,0,0,-3691617844,-2643566019,-3047169049,-750000,53968808153,5153039159,0,5153039159,0,0,-1436701385,-538982,-1436162403,0,0,0,0,0,-19786738577,37898407350,6836364,-559193533,-552357169,0,37346050181,37346050181,0,-5937386646,-5937386646,0,31408663535,21648544993,9760118542,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0
2017,1,83715564237,3242085337,3047149409,0,194935928,8855008159,20819613017,1560860900,0,46294937606,700000000,0,0,0,1192885868,0,0,878181817,171991533,0,83715564237,-34736428652,-1275423273,-1275423273,0,0,0,0,0,1322589919,0,-291118736,-29116158560,0,0,0,-2603202809,-1207891889,-1565223304,0,48979135585,2771829958,0,2771829958,0,0,-1878744911,0,-1878744911,0,0,0,0,0,-18228284099,31643936533,9090909,-107840800,-98749891,0,31545186642,31545186642,0,-5787029286,-5787029286,0,25758157356,25758157356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0
