Year,Quarter,1. Interest and similar receipts,2. Interest and similar payments,3. Fees and commission income received,"4. Net receipts from dealing of foreign currrencies, gold",5. Net receipts from dealing of securities,6. Other operating income,7. Payments to employees and other operating expenses,8. Corporate income tax paid during the year,9. Cash flow from operating activities before changes in operating assets and liabilities,10. Increase/decrease in compulsory reserves with the SBV,11. Increase/decrease in placements with and loans to other credit institutions,12. Increase/decrease in trading securities,13. Increase/decrease in derivatives and other financial assets,14. Increase/decrease in loans and advances to customers,15. Increase/decrease in interest receivable,16. Increase/decrease in provision for loan losses,17. Increase/decrease in other operating assets,18. Increase/decrease in borrowings from the State and SBV,19. Increase/decrease in placments and borrowings from other credit institutions,20. Increase/decrease in deposits from customers,21. Increase/decrease in derivatives and other financial liabilities,"22. Increase/decrease in funds received from Gov, international and other institutions",23. Increase/decrease in valuable papers issued,24. Increase/decrease in accrued interest expenses,25. Increase/decrease in other operating liabilities,26. Net Cash Flows from Operating Activities before BIT,27. Business Income Tax Paid,28. Payment from reserves,29. Bad Debt Recoveries,NET CASH FLOWS FROM OPERATING ACTIVITIES,1. Purchase of fixed assets,2. Proceeds from disposal of fixed assets,3. Payments on disposal of fixed assets,4. Purchases of investment properties,5. Proceeds from disposal of investment properties,6. Payments on disposal of investment properties,7. Cash paid for investments in other entities,8. Proceeds from disposal of investment in other entities and other LT investments,9. Dividend income,NET CASH FLOWS FROM INVESTING ACTIVITIES,1. Increase in charter captial,2. Proceeds from issuance of convertible bonds,3. Payments for redemption of convertible bonds,4. Dividend paid,5. Purchase of treasury shares,6. Proceeds from selling of treasury shares,NET CASH FLOWS FROM FINANCING ACTIVITIES,Net Increase/Decrease in cash and cash equivalents,Cash and Cash Equivalents at beginning of the period,Foreign Exchange Differences Adjustment,CASH AND CASH EQUIVALENTS AT THE END OF PERIOD
2009,0,4333410000000,-2472090000000,210880000000,263483000000,0,7424000000,-822730000000,-251428000000,1291797000000,0,-886471000000,-876789000000,49114000000,-17149657000000,0,-135629000000,-319616000000,1584121000000,962546000000,7888734000000,0,-6794000000,6769829000000,-41084000000,-531318000000,-1401217000000,0,0,0,-1401217000000,-357645000000,282000000,0,0,0,0,-60043000000,12908000000,37035000000,-367463000000,0,0,0,-573439000000,0,0,-573439000000,-2342119000000,17385639000000,0,15043520000000
2010,0,6738510000000,-4007174000000,474247000000,-109370000000,0,147807000000,-971327000000,-503649000000,1796856000000,0,-9823136000000,-9299970000000,-12726000000,-23963859000000,0,0,-3933340000000,494773000000,30841939000000,19384200000000,0,0,12631756000000,-42966000000,134503000000,18208030000000,0,0,0,18208030000000,-482673000000,247207000000,0,0,0,0,-559752000000,55161000000,11664000000,-728393000000,0,0,0,-352003000000,0,0,-352003000000,17127634000000,15043520000000,0,32171154000000
2011,0,16358105000000,-11296193000000,565743000000,-102006000000,0,35308000000,-1699137000000,-845574000000,3016246000000,0,-13535435000000,-7769829000000,16848000000,-12316627000000,0,-266412000000,2235586000000,-793491000000,38489848000000,-4498026000000,157140000000,-1417000000,-1643797000000,0,18036071000000,21126705000000,0,-88683000000,0,21038022000000,-1676182000000,402376000000,0,0,0,0,-123150000000,46998000000,11879000000,-1338079000000,0,0,0,-1425609000000,0,0,-1425609000000,18274334000000,32171154000000,0,50445488000000
2012,0,16787249000000,-11816913000000,242775000000,-300033000000,50767000000,57858000000,-2235957000000,-956138000000,1829608000000,0,-11818275000000,14924758000000,0,-258959000000,0,-262552000000,1409775000000,-1297332000000,-13813015000000,16805671000000,-69461000000,0,-7330632000000,0,-7008283000000,-6888697000000,0,-244410000000,0,-7133107000000,-2061262000000,543027000000,0,0,0,0,-1665441000000,180893000000,2219000000,-3000564000000,0,0,0,-2381248000000,0,0,-2381248000000,-12514919000000,50445488000000,0,37930569000000
2013,0,11625641000000,-7478782000000,275187000000,-116766000000,0,82126000000,-1936948000000,-248888000000,2201570000000,0,13895817000000,-1978671000000,-7190000000,-9344891000000,0,-173195000000,448217000000,411776000000,7720128000000,9014101000000,-87679000000,0,-4202611000000,0,-12514953000000,5382419000000,0,-142638000000,0,5239781000000,-1535071000000,212033000000,0,0,0,0,0,110599000000,157620000000,-1054819000000,0,0,0,-1669418000000,0,0,-1669418000000,2515544000000,37930569000000,0,40446113000000
2014,0,9192835000000,-6057442000000,228388000000,170254000000,0,3641000000,-1824719000000,-106481000000,1636197000000,0,17589752000000,-2036725000000,-6245000000,-8111246000000,0,-167090000000,-96385000000,-420188000000,-24723214000000,21899475000000,0,0,-4669366000000,0,-16882000000,878083000000,0,-46432000000,0,831651000000,-481878000000,127208000000,0,0,0,0,-6545000000,12907000000,2286000000,-346022000000,0,0,0,-490978000000,-78273000000,0,-569251000000,-83622000000,40446113000000,0,40362491000000
2015,0,8978479000000,-4957387000000,293751000000,59772000000,0,-38637000000,-2072604000000,-21441000000,2308289000000,0,4467198000000,894887000000,-17362000000,485703000000,0,-648478000000,286477000000,538332000000,-33110023000000,-2941344000000,0,0,-7986000000,0,-54434000000,-27798741000000,0,0,0,-27798741000000,-296033000000,304801000000,0,0,0,0,0,0,2308000000,11076000000,0,0,0,-89000000,0,0,-89000000,-27787754000000,40362491000000,0,12574737000000
2016,0,8468208000000,-4738579000000,299852000000,284943000000,0,220000000,-2042233000000,-2767000000,2327421000000,0,0,-673493000000,20956000000,-3065965000000,0,-347237000000,267476000000,566727000000,-1448982000000,3920952000000,0,0,-392000000,0,35375000000,1602838000000,0,-5225000000,0,1597613000000,-200246000000,81027000000,0,0,0,0,0,13226000000,345000000,-105648000000,0,0,0,-72000000,0,0,-72000000,1491893000000,12574737000000,0,14066630000000
2017,0,8806500000000,-6129971000000,331194000000,290074000000,0,-35023000000,-2030549000000,-32520000000,1640819000000,0,110550000000,1045597000000,-20433000000,-13395069000000,0,-632910000000,-161535000000,-1055955000000,4772095000000,15188202000000,0,0,0,0,583167000000,8074528000000,0,-68000000,0,8074460000000,-165185000000,241958000000,0,0,0,0,0,583980000000,3267000000,664020000000,0,0,0,-19000000,0,0,-19000000,8738461000000,14066630000000,0,22805091000000
2018,0,9756860000000,-6688930000000,346658000000,278592000000,0,15261000000,-2370447000000,-341547000000,1199572000000,0,0,2001824000000,30274000000,-2214067000000,0,-76696000000,-104522000000,-6390000000,4754634000000,1154173000000,59258000000,0,-3000000000000,0,-444862000000,3353198000000,0,-53000000,0,3353145000000,-181232000000,104229000000,0,0,0,0,0,1736285000000,1679000000,1660961000000,0,0,0,-10000000,0,0,-10000000,5014096000000,22805091000000,0,27819187000000
