Year,Quarter,A. Total Assets,I. Cash and Precious Metals,II. Balances with the SBV,III. Placements with and loans to other credit institutions,1. Balances with other credit institutions,2. Loans to other credit institutions,3. Allowance for balances with and loans to other credit,"IV. Trading Securities, net",1. Trading Securities,2. Less: Provision for diminution in value of Trading Securities,V. Derivatives and other financial assets,"VI. Loans and advances to customers, net",1. Loans and advances to customers,2. Less: Provision for losses on loans and advances to customers,VII. Debts purchase,1. Debts purchase,2. Allowance for losses on debts purchase,VIII. Investment Securities,1. Available-for Sales Securities,2. Held-to-Maturity Securities,3. Less: Provision for diminution in value of investment securities,IX. Investment in other entities and long term investments,1. Investment in joint ventures,2. Investments in associate companies,3. Other long-term investments,4. Less: Provision for diminuation in value of long term investments,X. Fixed Assets,1. Tangible fixed assets,2. Leased assets,3. Intagible fixed assets,XI. Investment Properties,XII. Other Assets,1. Receivables,2. Accrued interest and fee receivables,3. Deferred tax assets,4. Other assets,5. In which: Good will,6. Allowance for other assets,B. Liabilities and Shareholder's Equity,Total Liabilities,I. Due to Gov and borrowings from SBV,II. Deposits and borrowings from other credit institutions,1. Deposits from other credit institutions,2. Borrowings from other credit institutions,III. Deposits from customers,IV. Derivatives and other financial liabilities,"V. Funds received from Gov, international and other institutions",VI. Convertible bonds/CDs and other valuable papers issued,VII. Other liabilities,Sharehodler's Equity,I. Capital,1. Paid-in capital,2. Fund for basic construction,3. Capital surplus,4. Treasury shares,5. Preferred shares,6. Owner's other capital,II. Reserves,III. Foreign Currency Difference reserve,IV. Difference upon Assets Revaluation,V. Retained Earnings,VI. Minority interests,Minority Interest,CONTINGENT LIABILITIES,I. Letters of credit (L/C),1. Letters of credit at sight,2. Deferred letters of credit,3. Others,II. Credit guarantee,1. Loan guarantee,2. Payment guarantee,3. Performance guarantee,4. Tender guarantee,5. Export guarantee,6. Others,III. CREDIT COMMITMENTS,1. Foreign exchange transactions commitments,a. Foreign exchange buying commitments,b. Foreign exchange selling commitments,c. Swap commitments,d. Future commitments,2. Irrevocable loan commitments,3. Letters of credit commitments,4. Other commitments
2005,0,11369233000000,645391000000,105646000000,2468126000000,2468126000000,0,0,0,0,0,0,6427689000000,6433155000000,-5466000000,0,0,0,1102984000000,1102984000000,0,0,39866000000,0,0,39866000000,0,147178000000,91385000000,0,55793000000,0,432353000000,0,0,0,432353000000,0,0,11369233000000,10533694000000,329248000000,1571646000000,1571646000000,0,8352111000000,0,56072000000,0,224617000000,835539000000,715396000000,715396000000,0,0,0,0,0,105790000000,0,14353000000,0,0,0,2860276000000,0,0,0,0,2860276000000,0,0,0,0,0,2860276000000,0,0,0,0,0,0,0,0,0
2006,0,18327479000000,2898007000000,374378000000,2535139000000,2535139000000,0,0,0,0,0,14477000000,10164975000000,10207392000000,-42417000000,0,0,0,1587239000000,1307039000000,280200000000,0,92493000000,0,11000000000,81493000000,0,224994000000,145425000000,0,79569000000,0,435777000000,0,0,0,435777000000,0,0,18327479000000,16380812000000,433582000000,2128517000000,2128517000000,0,13141175000000,0,40170000000,326339000000,311029000000,1946667000000,1688273000000,1212371000000,15396000000,460506000000,0,0,0,56903000000,0,0,201491000000,0,0,1702766000000,1427186000000,1197659000000,229527000000,0,275580000000,0,98496000000,89308000000,32812000000,0,54964000000,1205946000000,0,0,0,0,0,0,0,0
2007,0,33710424000000,1850102000000,825202000000,4746967000000,4746967000000,0,0,7580000000,8257000000,-677000000,0,18378610000000,18452151000000,-73541000000,0,0,0,6076844000000,5682169000000,400100000000,-5425000000,690538000000,0,62700000000,627838000000,0,530138000000,183624000000,0,346514000000,0,604443000000,0,0,0,604443000000,0,0,33710424000000,27415481000000,28059000000,1214024000000,1214024000000,0,22906123000000,3393000000,25255000000,8445000000,3230182000000,6294943000000,5789858000000,2800000000000,15396000000,2974462000000,0,0,0,107047000000,0,0,398038000000,0,0,3134427000000,2642819000000,2107250000000,535569000000,0,491608000000,0,174500000000,126366000000,40425000000,0,150317000000,1589962000000,0,0,0,0,0,0,0,0
2008,0,48247821000000,4455588000000,3438735000000,9491316000000,9491316000000,0,0,0,0,0,53236000000,20855907000000,21232198000000,-376291000000,0,0,0,7518367000000,1267081000000,6367582000000,-116296000000,765151000000,0,143700000000,716887000000,-95436000000,716157000000,317529000000,0,398628000000,0,953364000000,0,0,0,953364000000,0,0,48247821000000,35403744000000,26954000000,1565108000000,1565108000000,0,30877730000000,0,13170000000,1453200000000,1467582000000,12844077000000,12526947000000,7219999000000,15396000000,5291552000000,0,0,0,212733000000,0,0,104397000000,0,0,2225858000000,1489723000000,958640000000,531083000000,0,736135000000,0,273034000000,147866000000,75727000000,0,239508000000,2526361000000,0,0,0,0,0,0,0,0
2009,0,65448356000000,6838617000000,2115265000000,6976109000000,6777637000000,198472000000,0,98824000000,108697000000,-9873000000,4122000000,38003086000000,38381855000000,-378769000000,0,0,0,8401391000000,332515000000,8165783000000,-96907000000,766468000000,0,145350000000,679335000000,-58217000000,937558000000,430282000000,0,507276000000,0,1306916000000,540692000000,494795000000,0,271429000000,0,0,65448356000000,52095037000000,1611075000000,2527654000000,1956487000000,571167000000,38766465000000,0,6376000000,8223028000000,960439000000,13353319000000,12526947000000,8800080000000,15396000000,3711471000000,0,0,0,377856000000,0,0,448516000000,0,0,4480473000000,3145291000000,2491041000000,654250000000,0,1335182000000,0,494617000000,319471000000,119211000000,401883000000,0,0,0,0,0,0,0,0,0,0
2010,0,131110882000000,6429465000000,1540756000000,32110540000000,32110523000000,17000000,0,0,0,0,16848000000,61717617000000,62345714000000,-628097000000,0,0,0,20694745000000,44817000000,20662148000000,-12220000000,1295493000000,0,156373000000,1188864000000,-49744000000,1067579000000,679142000000,0,388437000000,0,6237839000000,636399000000,1348532000000,0,4252908000000,0,0,131110882000000,117600142000000,2105848000000,33369593000000,31380593000000,1989000000000,58150665000000,0,1417000000,20854784000000,3117835000000,13510740000000,12526947000000,10560069000000,15396000000,1951482000000,0,0,0,640923000000,0,0,342870000000,0,0,5423290000000,3188963000000,2437981000000,750982000000,0,2234327000000,0,718051000000,735785000000,124362000000,0,656129000000,0,0,0,0,0,0,0,0,0
2011,0,183567032000000,7295195000000,2166290000000,64529045000000,64529021000000,24000000,0,0,0,0,0,74044518000000,74663330000000,-618812000000,0,0,0,26376794000000,2192000000,26374602000000,0,927908000000,0,100211000000,911339000000,-83642000000,1912605000000,766536000000,0,1146069000000,0,6314677000000,3476159000000,2493023000000,0,345495000000,0,0,183567032000000,167264512000000,1312357000000,71859441000000,65697327000000,6162114000000,53652639000000,157140000000,0,19210987000000,21071948000000,16302520000000,12526947000000,12355229000000,15396000000,156322000000,0,0,0,1115818000000,0,0,2659755000000,0,0,6089145000000,3050062000000,0,0,3050062000000,3039083000000,0,1817619000000,0,0,0,1221464000000,153270000000,0,0,0,0,0,0,0,153270000000
2012,0,170156010000000,13209831000000,2269024000000,57515031000000,36342449000000,21172582000000,0,0,0,0,0,74315952000000,74922289000000,-606337000000,0,0,0,11752036000000,1002192000000,10749844000000,0,2388856000000,0,97351000000,2356030000000,-64525000000,3314727000000,858307000000,0,2456420000000,0,5390553000000,2600359000000,2650444000000,0,139750000000,0,0,170156010000000,154343805000000,15025000000,58046426000000,32553784000000,25492642000000,70458310000000,87679000000,0,11880355000000,13856010000000,15812205000000,12526947000000,12355229000000,15396000000,156322000000,0,0,0,1391274000000,0,0,1893984000000,0,0,4890211000000,2424620000000,0,0,2424620000000,2465591000000,0,1020554000000,856058000000,160773000000,0,428206000000,0,0,0,0,0,0,0,0,0
2013,0,169835460000000,1480223000000,2258816000000,57874498000000,30316278000000,27558220000000,0,0,0,0,7190000000,82643274000000,83354232000000,-710958000000,0,0,0,14655017000000,1002068000000,13652949000000,0,2012877000000,0,99912000000,2036030000000,-123065000000,4320661000000,848718000000,0,3471943000000,0,4582904000000,2458418000000,1911743000000,0,212743000000,0,0,169835460000000,155155143000000,426801000000,65766554000000,35557264000000,30209290000000,79472411000000,0,0,7677744000000,1811633000000,14680317000000,12526947000000,12355229000000,15396000000,156322000000,0,0,0,1525254000000,0,0,628116000000,0,0,6534056000000,3633646000000,0,0,3633646000000,2900410000000,0,1581845000000,0,0,0,1318565000000,153780000000,0,0,0,0,0,0,0,153780000000
2014,0,160145266000000,1662045000000,3214967000000,39463116000000,33219476000000,6243640000000,0,0,0,0,13435000000,86123843000000,87146543000000,-1022700000000,0,0,0,19923493000000,3633649000000,16518217000000,-228373000000,1940102000000,0,61723000000,2031645000000,-153266000000,4288671000000,1029615000000,0,3259056000000,0,3515594000000,1929890000000,1408202000000,0,181752000000,0,-4250000000,160145266000000,147025539000000,6613000000,41043340000000,29554266000000,11489074000000,101371886000000,0,0,3008378000000,1595322000000,13119727000000,12448674000000,12355229000000,15396000000,156322000000,-78273000000,0,0,0,1505613000000,0,-834560000000,0,0,8482165000000,4903797000000,0,0,4903797000000,3578368000000,34274000000,0,0,0,0,3544094000000,22376129000000,22220308000000,99992000000,867519000000,21252797000000,0,0,0,155821000000
