Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2009,4,1299071234395,-711691360088,587379874307,103626952721,-22054981149,81571971572,27160024984,-43482286068,-18995147343,8401288273,-224920949,8176367324,108815968728,750626773504,-349313612819,401313160685,-31721398466,369591762219,-199337999228,-7766042248,-207104041476,162487720743,0,0
2010,1,1269450134979,-755568517875,513881617104,71425141494,-15586874347,55838267147,21632657424,352262870,-928587990,15102868279,-14446933,15088421346,201530444,606066168345,-190763173773,415302994572,0,415302994572,0,0,0,415302994572,0,0
2010,2,1512535865021,-870919482125,641616382896,79143858506,-20517125653,58626732853,38271342576,-858262870,-5666412010,5456131721,-1553067,5454578654,12755469556,750199831655,-231498826227,518701005428,-22789000000,495912005428,-211718000000,13244000000,-198474000000,297438005428,0,0
2010,3,1919753460458,-1121730836059,798022624399,87639521033,-21788412450,65851108583,20397217373,310887436,-21073601812,90882558482,-41221950,90841336532,16240612115,970590184626,-263169878019,707420306607,-18147069316,689273237291,-169854309745,0,-169854309745,519418927546,0,0
2010,4,2843004950847,-1913593745370,929411205477,321795897084,-27864123661,293931773423,-64552804817,-1744348144,-952692722,182848770230,-576397966,182272372264,7082892226,1345448397707,-338609982151,1006838415556,-224207261258,782631154298,-195832084111,0,-195832084111,586799070187,0,0
2011,1,3884015264129,-2892158735459,991856528670,259923416588,-23766621908,236156794680,-48418417478,-8708277607,-595550000,1861388695,-12405555,1848983140,-9829429882,1162310631523,-312155311823,850155319700,0,850155319700,-210117130999,0,-210117130999,640038188701,0,0
2011,2,4424520735871,-3164016264541,1260504471330,119551583412,-31939378092,87612205320,19121417478,8708277607,-708450000,1667611305,-9594445,1658016860,-40326570118,1336569368477,-383160688177,953408680300,-121582000000,831826680300,-210345869001,0,-210345869001,621480811299,0,0
2011,3,4678387000000,-3234533000000,1443854000000,124968000000,-32016000000,92952000000,-18702000000,0,-316000000,7020000000,-27000000,6993000000,60000000,1524841000000,-473128000000,1051713000000,-42585000000,1009128000000,-252907000000,0,-252907000000,756221000000,0,0
2011,4,4654193000000,-3046783000000,1607410000000,187742000000,-39503000000,148239000000,-40158000000,0,-10000000,389463000000,-805000000,388658000000,109475000000,2213614000000,-741456000000,1472158000000,-106711000000,1365447000000,-344728000000,0,-344728000000,1020719000000,0,0
2012,1,5047943000000,-3576025000000,1471918000000,101505000000,-33487000000,68018000000,-56306000000,0,-7402000000,12687000000,-88000000,12599000000,-24357000000,1464470000000,-441084000000,1023386000000,-1212000000,1022174000000,-250263000000,0,-250263000000,771911000000,0,0
