Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2005,0,657710000000,-441838000000,215872000000,55758000000,-30384000000,25374000000,54544000000,0,0,7846000000,0,7846000000,54084000000,357720000000,-117085000000,240635000000,-212078000000,28557000000,-7456000000,0,-7456000000,21101000000,0,0
2006,0,983397000000,-631847000000,351550000000,75780000000,-31680000000,44100000000,75453000000,0,41222000000,79252000000,-2591000000,76661000000,1014000000,590000000000,-184677000000,405323000000,-46736000000,358587000000,-100118000000,0,-100118000000,258469000000,0,1604
2007,0,1753670000000,-1069041000000,684629000000,101932000000,-29763000000,72169000000,139257000000,85000000,57190000000,41630000000,-94000000,41536000000,21736000000,1016602000000,-353629000000,662973000000,-34126000000,628847000000,-165430000000,0,-165430000000,463417000000,0,0
2008,0,4196594000000,-2876882000000,1319712000000,154175000000,-44688000000,109487000000,634105000000,-4163000000,-167439000000,31501000000,-218000000,31283000000,-30938000000,1892047000000,-602671000000,1289376000000,-320144000000,969232000000,-244974000000,-13244000000,-258218000000,711014000000,0,0
2009,0,4344177000000,-2368869000000,1975308000000,267762000000,-56581000000,211181000000,135409000000,-39834000000,185919000000,30810000000,-335000000,30475000000,78277000000,2576735000000,-907096000000,1669639000000,-136888000000,1532751000000,-400288000000,0,-400288000000,1132463000000,0,1287
2010,0,7544746000000,-4661811000000,2882935000000,560005000000,-85758000000,474247000000,15750000000,-2001000000,-28559000000,434779000000,-143434000000,291345000000,35903000000,3669620000000,-1026830000000,2642790000000,-265142000000,2377648000000,-576253000000,13244000000,-563009000000,1814639000000,0,1718
2011,0,17549942000000,-12246316000000,5303626000000,692970000000,-127227000000,565743000000,-88156000000,0,-2014000000,437684000000,-39298000000,398386000000,59522000000,6237107000000,-1909935000000,4327172000000,-270879000000,4056293000000,-1017429000000,0,-1017429000000,3038864000000,0,2460
2012,0,16931873000000,-12030414000000,4901459000000,410766000000,-167991000000,242775000000,-297374000000,0,-2659000000,855589000000,-297013000000,558576000000,-15516000000,5387261000000,-2296957000000,3090304000000,-239307000000,2850997000000,-712342000000,0,-712342000000,2138655000000,0,1731
2013,0,10902228000000,-8165884000000,2736344000000,459345000000,-184158000000,275187000000,-113577000000,0,-3189000000,319900000000,-115974000000,203926000000,150171000000,3248862000000,-2120725000000,1128137000000,-300269000000,827868000000,-169162000000,0,-169162000000,658706000000,0,533
2014,0,8681711000000,-5853950000000,2827761000000,454119000000,-225731000000,228388000000,170254000000,0,0,160248000000,-136230000000,24018000000,-22817000000,3227604000000,-2048681000000,1178923000000,-825299000000,353624000000,-12712000000,0,-12712000000,340912000000,0,277
2015,0,8601184000000,-5203494000000,3397690000000,567691000000,-275650000000,292041000000,62715000000,0,-34163000000,381532000000,-296390000000,85142000000,-4062000000,3799363000000,-2304554000000,1494809000000,-1433987000000,60822000000,-20828000000,0,-20828000000,39994000000,0,33
2016,0,8310573000000,-5228494000000,3082079000000,610947000000,-311095000000,299852000000,259839000000,0,24725000000,141892000000,-74022000000,67870000000,545000000,3734910000000,-2255214000000,1479696000000,-1089066000000,390630000000,-81698000000,0,-81698000000,308932000000,0,251
2017,0,8950649000000,-6282831000000,2667818000000,619088000000,-287894000000,331194000000,227832000000,0,62621000000,698732000000,-267622000000,431110000000,107648000000,3828223000000,-2206068000000,1622155000000,-604576000000,1017579000000,-194749000000,0,-194749000000,822830000000,0,669
2018,0,9933493000000,-6726598000000,3206895000000,683591000000,-336933000000,346658000000,269073000000,0,-116033000000,326970000000,-101400000000,225570000000,519415000000,4451578000000,-2900904000000,1550674000000,-723546000000,827128000000,-166538000000,0,-166538000000,660590000000,0,537
2019,0,11305756000000,-8085390000000,3220366000000,811551000000,-428015000000,383536000000,364541000000,0,229058000000,646791000000,-362663000000,284128000000,4659000000,4486288000000,-2700748000000,1785540000000,-690291000000,1095249000000,-229117000000,0,-229117000000,866132000000,0,704
