disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2014-06-17,investorRight,MEETING,Họp cổ đông,2014-07-01,2014-08-14,2014-08-14,Đại hội cổ đông bất thường năm 2014,,,,
2014-06-17,investorRight,DIVIDEND,Cổ tức bằng tiền,2014-07-01,2014-07-24,2014-07-24,Trả cổ tức năm 2013 (1.000đ/cp),1000,10,,2013
2014-12-24,investorRight,POLL,Lấy ý kiến cổ đông,2015-01-05,2015-02-06,2015-02-06,Vv chi trả cổ tức còn lại năm 2013 và năm 2014,,,,
2015-02-12,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-03-04,2015-03-20,2015-03-20,Trả cổ tức còn lại năm 2013 (2.000đ/cp),800,8,,2013
2015-02-12,investorRight,MEETING,Họp cổ đông,2015-03-04,,,ĐHCĐ thường niên năm 2015,,,,
2015-02-12,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-03-04,2015-03-20,2015-03-20,Tạm ứng cổ tức đợt 1/2014 (3000 đ/cp),3000,30,1,2014
2015-06-05,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-06-11,2015-06-30,2015-06-30,Trả cổ tức đợt 2/2014 (5.000đ/cp),5000,50,2,2014
2016-03-02,investorRight,MEETING,Họp cổ đông,2016-03-17,2016-04-17,2016-04-17,ĐHCĐ thường niên năm 2016,,,,
2016-04-19,schedEvent,schedDiv,Dự kiến cổ tức,,,,Dự kiến trả cổ tức năm 2016 (2.000 - 3.500đ/cp),2000,20,,2016
2016-06-03,investorRight,DIVIDEND,Cổ tức bằng tiền,2016-06-17,2016-07-07,2016-07-07,Trả cổ tức năm 2015 (2500 đ/cp),2500,25,,2015
2017-05-08,investorRight,MEETING,Họp cổ đông,2017-04-05,2017-05-27,2017-05-27,ĐHĐCĐ thường niên năm 2017,,,,
2017-05-08,stockAlert,noticed,Nhắc nhở,2017-05-05,,,Chậm nộp Báo cáo thường niên năm 2016,,,,
2017-05-30,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-06-15,2017-06-29,2017-06-29,Trả cổ tức năm 2016 (2500 đ/cp),2500,25,,2016
2018-05-07,investorRight,MEETING,Họp cổ đông,2018-03-16,2018-05-15,2018-05-15,ĐHĐCĐ thường niên năm 2018,,,,
2018-05-07,investorRight,MEETING,Họp cổ đông,2018-05-11,2018-05-15,2018-05-15,ĐHĐCĐ thường niên năm 2018,,,,
2018-05-16,schedEvent,schedIssue,Dự kiến phát hành,,,,"Dự kiến phát hành 10.000.000 cp cho CĐHH, tỷ lệ 2:1, giá 10.000 đ/cp",,50,,
2018-05-16,schedEvent,schedDiv,Dự kiến cổ tức,,,,"Dự kiến phát hành 5.152.100 cp trả cổ tức năm 2017, tỷ lệ 100:37",,37,,2017
2018-05-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-06-05,2018-06-21,2018-06-21,Trả cổ tức đợt 1/2017 (1000 đ/cp),1000,10,1,2017
2018-08-24,stockAlert,noticed,Nhắc nhở,2018-08-24,,,Giao dịch cổ phiếu quỹ không đúng quy định,,,,
2018-08-29,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2018-09-18,2018-09-19,,"Trả cổ tức đợt 2/2017, Tỷ lệ 100:37",,37,2,2017
