Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2007,0,45350536611,0,0,0,0,0,0,0,0,14827462626,0,0,914688000,0,97661680,26646786039,0,0,2863938266,0,45350536611,-11572540652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33777995959,0,0,0,0,0,0,0,0,0,0,0,0,0,-21373257656,12404738303,5057789,-5027573,30216,0,12404768519,0,0,0,-3471655185,0,8933113334,8933113334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,77595629273,0,0,0,0,0,0,0,0,25123081814,0,0,4142023662,0,613894150,25011228011,0,0,22705401636,0,77595629273,-270415560435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-192819931162,0,0,0,0,0,0,0,0,0,0,0,0,0,-41896327989,-234716259151,4330238230,-4428452774,-98214544,0,-234814473695,0,0,0,0,0,-234814473695,-234814473695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,215931049801,0,0,0,0,0,0,0,0,117559284080,0,0,360000000,1807347819,54210403122,21232575731,0,0,20761439049,0,215931049801,-66803544951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149127504850,0,0,0,0,0,0,0,0,0,0,0,0,0,-29325106904,119802397946,10711144937,-9991314452,719830485,0,120522228431,0,0,0,0,0,120522228431,120522228431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,368340981495,0,0,0,0,0,0,0,0,129671048792,0,90000000,187752798007,0,2248068987,20337806439,0,0,28241259270,-35000000,368305981495,-126270948533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242035032962,0,0,0,0,0,0,0,0,0,0,0,0,0,-31941871009,210093161953,12650696784,-12469701991,180994793,0,210274156746,0,0,0,-21758338683,0,188515818063,188515818063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4413,0
2011,0,376010024189,0,0,0,0,0,0,0,0,51462077782,0,400000000,247068516466,0,2519527992,7381721530,0,0,67178180419,-494681815,375515342374,-143223733013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232291609361,0,0,0,0,0,0,0,0,0,0,0,0,0,-32348211901,199943397460,6878802463,-6678053329,200749134,0,200144146594,0,0,0,-49581632169,0,150562514425,150562514425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2882,0
2012,0,237085940029,0,0,0,0,0,0,0,0,50811077413,0,180000000,31789222142,0,3884118039,1199814473,0,0,149221707962,-104818182,236981121847,-36869281330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200111840517,0,0,0,0,0,0,0,0,0,0,0,0,0,-31877497627,168234342890,7759931359,-7391432604,368498755,0,168602841645,0,0,0,-42144502743,0,126458338902,126458338902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,0
2013,0,180640622972,0,0,0,0,0,0,0,0,46060379049,0,260000000,4862261491,0,5880713390,3132198280,0,0,120445070762,-70812000,180569810972,-31826600398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148743210574,0,0,0,0,0,0,0,0,0,0,0,0,0,-30967805180,117775405394,8469962491,-8057060268,412902223,0,118188307617,0,0,0,-29238203729,0,88950103888,88950103888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,0
2014,0,255268071417,0,0,0,0,0,0,0,0,98210660189,0,0,7996624764,19598436,4472945751,2770898259,0,0,141797344018,-51000000,255217071417,-48862922815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206354148602,0,0,0,0,0,0,0,0,0,0,0,0,0,-33362402569,172991746033,14879064362,-14579471257,299593105,0,173291339138,0,0,0,-37720168914,0,135571170224,135571170224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849,0
2015,0,259871809813,29040177598,188637688,0,28851539910,0,131011049173,0,0,78865530902,0,0,0,0,5233353067,0,0,15543723553,177975520,0,259871809813,-54911846256,-666060,-666060,0,0,0,0,0,3512406,0,-324713,-41507377243,0,0,0,-7449218192,-5957772454,0,0,204959963557,0,0,0,0,0,-1187978474,0,-1187978474,0,0,0,0,0,-38847362066,164924623017,11578674223,-11940767469,-362093246,0,164562529771,164562529771,0,-32798296768,-32798296768,0,131764233003,131764233003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633,1633
2016,0,279609993754,31072996072,596721109,0,30476274963,0,141969474303,0,0,85292063632,0,200000000,0,0,6589400355,0,0,14221583169,264476223,0,279609993754,-68656061881,-33835280,-33835280,0,0,0,0,0,-9995493276,0,-2903799,-44685737600,0,0,0,-8131555750,-5806236176,-300000,0,210953931873,5924294939,0,5924294939,0,0,-198971157,-75000,-198896157,0,0,0,0,0,-36369985822,180309269833,12435900850,-11946573675,489327175,0,180798597008,180798597008,0,-34225716783,-34225716783,0,146572880225,146572880225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622,1622
