date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,618405,491255,119080,877625,564815,133160
2019-12-03,251882,116463,124400,438428,262677,74190
2019-12-04,231668,118282,103460,484612,301608,31300
2019-12-05,303320,220111,30330,417660,304959,31540
2019-12-06,224243,82923,71210,908967,726537,58500
2019-12-09,250272,121120,119230,668188,494828,143860
2019-12-10,313475,133551,15000,595435,491609,71530
2019-12-11,309287,162270,49940,828133,731683,51700
2019-12-12,205661,136876,48830,362249,286374,7050
2019-12-13,440124,257074,69990,493016,361106,53640
2019-12-16,381769,118319,23050,676291,525631,93310
2019-12-17,199542,105028,31140,338108,243112,34160
2019-12-18,383779,285159,86270,836381,716701,35660
2019-12-19,571657,306526,85730,1088483,840513,97280
2019-12-20,240223,114593,68960,353247,166637,25830
2019-12-23,205876,85926,81770,683764,574394,42270
2019-12-24,628025,246369,17440,794415,483451,116860
2019-12-25,1750689,1397440,97180,473461,240360,296300
2019-12-26,1526934,1141874,143000,1130066,831578,337890
2019-12-27,391810,169525,29020,560190,426495,62840
2019-12-30,976506,667111,84290,794144,661839,116070
2019-12-31,553091,457270,49520,647159,499029,112150
2020-01-02,3810453,3216559,156580,521117,386857,113200
2020-01-03,874709,614499,127350,1881761,1582146,182460
2020-01-06,467531,268168,126570,767209,535589,168530
2020-01-07,1335871,967420,61400,786469,553050,107660
2020-01-08,830582,465858,19030,1361778,1058668,71790
2020-01-09,2976170,2489664,98910,953690,683026,188580
2020-01-10,2956676,2147106,159080,1634494,1288424,200230
2020-01-13,728832,490911,84570,952928,651929,136340
2020-01-14,1033094,618754,128120,753746,579316,145710
2020-01-15,1033104,638374,166290,558856,415442,126040
2020-01-16,418830,283292,179530,879300,657758,299410
2020-01-17,1238441,858201,129160,989939,571479,177310
2020-01-20,290455,146135,52390,603725,499955,241030
2020-01-21,1446443,1172729,267750,848187,502421,141230
2020-01-22,642596,410046,152000,983874,713573,245610
2020-01-30,808787,447450,189350,2759703,2275363,502800
2020-01-31,849341,386646,96790,2024949,1491619,145230
2020-02-03,1095465,715425,100140,2202745,1804695,82730
2020-02-04,791136,463786,71210,1424714,1032434,346070
2020-02-05,497518,341553,74030,1192772,1071175,163400
2020-02-06,1089812,733575,54370,844678,499478,227900
2020-02-07,977904,612938,162930,1095176,744142,177400
2020-02-10,1770030,1232307,99260,1448480,1060090,336550
2020-02-11,654447,448067,35370,710503,503073,65000
2020-02-12,2412000,1999133,197560,1926480,1565190,159260
2020-02-13,682866,487466,218200,1114724,875454,476090
2020-02-14,1362457,1126380,168750,1508123,1255933,153740
2020-02-17,427693,277893,34560,741137,554698,136400
2020-02-18,809562,586084,126810,1147998,959518,118110
2020-02-19,266923,134738,66640,1127597,976642,70110
2020-02-20,2718383,2182173,3496570,1572897,1140777,348250
2020-02-21,677361,450901,96280,1113329,809589,109560
2020-02-24,610398,423995,466590,3873102,3132872,357660
2020-02-25,1821731,1241751,191950,2294219,1881349,295280
2020-02-26,1212315,565415,43830,1900235,1528105,431570
2020-02-27,1530457,1226737,125350,609573,461943,76200
2020-02-28,1460803,987263,262820,1566857,1255347,221640
2020-03-02,454709,287779,107750,1267181,1088161,125240
2020-03-03,1122461,742891,188240,1010159,775789,182580
2020-03-04,2726095,2020635,255020,1506865,1081685,732310
2020-03-05,1841492,1437992,503620,2156448,1814438,1101340
2020-03-06,710088,427439,190750,679842,498542,161850
2020-03-09,1453376,1021025,797790,3253484,2539054,225290
2020-03-10,1584809,907454,315770,1303441,725496,79570
2020-03-11,1143405,437775,115240,2149285,1364325,112930
2020-03-12,383476,193590,467300,3048954,2121984,74180
2020-03-13,628666,252366,508250,4297554,3346254,105170
2020-03-17,443453,111950,143330,662987,365347,22560
2020-03-18,955797,374997,55800,1212343,620543,70900
2020-03-19,1241902,767742,79580,1836728,1023778,91450
2020-03-20,589801,190071,19120,799129,315659,4440
2020-03-23,141040,78840,24490,1099400,775250,14580
2020-03-24,1032787,585967,36660,1356793,817673,30650
2020-03-25,987621,553121,11340,1444399,690179,17180
2020-03-26,824843,361753,15580,1170877,507297,100050
2020-03-27,723587,329897,119040,1436963,1005991,126130
2020-03-30,1014460,366110,122440,3642880,2787820,60270
2020-03-31,2008844,1243024,87960,4400206,2918846,62120
2020-04-01,2747454,1663704,42900,1162846,343394,99860
2020-04-02,1955150,1955150,0,1955150,1955150,0
2020-04-03,2013007,1078647,170450,1587413,562380,98260
2020-04-06,3511902,2586277,77870,1142488,753836,320010
2020-04-07,1442995,763605,65720,1771005,1166985,33760
2020-04-08,1184883,570393,61000,1062637,529807,126020
2020-04-09,1480036,790736,98370,1674504,680434,43490
2020-04-10,774293,320556,62360,1592247,1097222,113950
2020-04-13,1633156,850218,76340,1809024,1108402,152290
2020-04-14,1084811,404308,65850,1813289,721582,27240
2020-04-15,5031812,3539322,464480,1272538,566760,714030
2020-04-16,2207640,1120930,172440,2203440,1520250,64050
2020-04-17,2037871,1159366,255020,1581949,854244,85050
2020-04-20,2180989,1099744,161170,3368331,2256156,73130
2020-04-21,1337309,536364,284520,3521091,2459576,188410
2020-04-22,1512419,797159,154140,1072121,507481,75950
2020-04-23,896993,402933,150920,1320137,782980,79410
2020-04-24,671007,363201,307960,625623,203133,33410
2020-04-27,2279411,1252751,183790,2255099,1406809,93030
2020-04-28,1313179,736349,35400,1138291,687581,118350
2020-04-29,530925,188165,37280,778845,471815,14030
2020-05-04,960084,331094,326120,1957256,1501606,173130
2020-05-05,737493,178733,31930,779847,391357,42320
