Year,Quarter,A. Total Assets,I. Cash and Precious Metals,II. Balances with the SBV,III. Placements with and loans to other credit institutions,1. Balances with other credit institutions,2. Loans to other credit institutions,3. Allowance for balances with and loans to other credit,"IV. Trading Securities, net",1. Trading Securities,2. Less: Provision for diminution in value of Trading Securities,V. Derivatives and other financial assets,"VI. Loans and advances to customers, net",1. Loans and advances to customers,2. Less: Provision for losses on loans and advances to customers,VII. Debts purchase,1. Debts purchase,2. Allowance for losses on debts purchase,VIII. Investment Securities,1. Available-for Sales Securities,2. Held-to-Maturity Securities,3. Less: Provision for diminution in value of investment securities,IX. Investment in other entities and long term investments,1. Investment in joint ventures,2. Investments in associate companies,3. Other long-term investments,4. Less: Provision for diminuation in value of long term investments,X. Fixed Assets,1. Tangible fixed assets,2. Leased assets,3. Intagible fixed assets,XI. Investment Properties,XII. Other Assets,1. Receivables,2. Accrued interest and fee receivables,3. Deferred tax assets,4. Other assets,5. In which: Good will,6. Allowance for other assets,B. Liabilities and Shareholder's Equity,Total Liabilities,I. Due to Gov and borrowings from SBV,II. Deposits and borrowings from other credit institutions,1. Deposits from other credit institutions,2. Borrowings from other credit institutions,III. Deposits from customers,IV. Derivatives and other financial liabilities,"V. Funds received from Gov, international and other institutions",VI. Convertible bonds/CDs and other valuable papers issued,VII. Other liabilities,Sharehodler's Equity,I. Capital,1. Paid-in capital,2. Fund for basic construction,3. Capital surplus,4. Treasury shares,5. Preferred shares,6. Owner's other capital,II. Reserves,III. Foreign Currency Difference reserve,IV. Difference upon Assets Revaluation,V. Retained Earnings,VI. Minority interests,Minority Interest,CONTINGENT LIABILITIES,I. Letters of credit (L/C),1. Letters of credit at sight,2. Deferred letters of credit,3. Others,II. Credit guarantee,1. Loan guarantee,2. Payment guarantee,3. Performance guarantee,4. Tender guarantee,5. Export guarantee,6. Others,III. CREDIT COMMITMENTS,1. Foreign exchange transactions commitments,a. Foreign exchange buying commitments,b. Foreign exchange selling commitments,c. Swap commitments,d. Future commitments,2. Irrevocable loan commitments,3. Letters of credit commitments,4. Other commitments
2005,0,2295520000000,93504000000,104427000000,596548000000,596548000000,0,0,45701000000,45701000000,0,0,1363123000000,1374968000000,-11845000000,0,0,0,0,0,0,0,28231000000,0,28231000000,0,0,33562000000,24937000000,0,8625000000,0,30424000000,0,0,0,30424000000,0,0,2295520000000,1940458000000,28000000000,588125000000,588125000000,0,1278079000000,0,0,0,46254000000,355062000000,314088000000,300000000000,0,14088000000,0,0,0,6131000000,0,0,34843000000,0,0,30203041161,0,0,0,0,30203041161,0,0,0,0,0,30203041161,0,0,0,0,0,0,0,0,0
2006,0,4014307000000,328913000000,80119000000,525817000000,525817000000,0,0,0,0,0,0,2658061000000,2677532000000,-19471000000,0,0,0,275849000000,275849000000,0,0,47524000000,0,0,47524000000,0,61620000000,52436000000,0,9184000000,0,36404000000,0,0,0,36404000000,0,0,4014307000000,3310675000000,16000000000,1230049000000,1230049000000,0,1997698000000,0,0,0,66928000000,703632000000,619777000000,500000000000,0,119777000000,0,0,0,15977000000,0,0,67878000000,0,0,172429000000,0,0,0,0,172429000000,0,0,0,0,0,172429000000,0,0,0,0,0,0,0,0,0
2007,0,13822552000000,319552000000,388351000000,1709527000000,1709527000000,0,0,0,0,0,0,8877033000000,8912366000000,-35333000000,0,0,0,1450599000000,30150000000,1425849000000,-5400000000,128929000000,0,0,128929000000,0,66454000000,53452000000,0,13002000000,0,882107000000,0,208884000000,0,673223000000,0,0,13822552000000,13081818000000,791000000,8154143000000,8154143000000,0,3539895000000,0,0,760786000000,626203000000,740734000000,619777000000,500000000000,0,119777000000,0,0,0,29988000000,0,0,90969000000,0,0,447958000000,289569000000,174146000000,115423000000,0,158389000000,0,158389000000,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,9557917000000,135310000000,382124000000,1939755000000,1939755000000,0,0,0,0,0,0,6135342000000,6175404000000,-40062000000,0,0,0,250469000000,30150000000,243539000000,-23220000000,253151000000,0,0,254094000000,-943000000,150489000000,127569000000,0,22920000000,0,311277000000,228290000000,67519000000,410000000,15058000000,0,0,9557917000000,7885326000000,97620000000,2072849000000,2072849000000,0,4336883000000,0,0,1264861000000,113113000000,1672591000000,1554043000000,1550000000000,0,4043000000,0,0,0,58604000000,0,0,59944000000,0,0,169332000000,39848000000,23447000000,16401000000,0,129484000000,0,129484000000,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,19127427000000,527166000000,517670000000,5492895000000,5492895000000,0,0,0,0,0,0,8167218000000,8230884000000,-63666000000,0,0,0,2635881000000,1290495000000,1418080000000,-72694000000,70271000000,0,0,70271000000,0,250618000000,187263000000,0,63355000000,0,1465708000000,1187562000000,161390000000,0,116756000000,0,0,19127427000000,17331262000000,105526000000,5215055000000,5215055000000,0,9459244000000,12532000000,0,2339311000000,199594000000,1796165000000,1554043000000,1550000000000,0,4043000000,0,0,0,47917000000,0,0,194205000000,0,0,1290523000000,0,0,0,0,1290523000000,0,0,0,0,0,1290523000000,142117000000,0,0,0,0,0,0,142117000000,0
2010,0,34389226904194,799106091513,736099414685,8550235829979,8550235829979,0,0,0,0,0,859200000,11643356120882,11728192948022,-84836827140,0,0,0,7451847740918,5804615176035,1738095229258,-90862664375,169862189881,0,0,169862189881,0,256043367871,193853525392,0,62189842479,0,4781816948465,4112539173260,421001042054,158408998,248118324153,0,0,34389226904194,32031590255722,2182623367622,7254530266622,7254530266622,0,13986212955048,0,0,7071044173423,1537179493007,2357636648472,2004043016800,2000000000000,0,4043016800,0,0,0,69670635657,0,0,283922996015,0,0,663367895383,0,0,0,0,663367895383,0,0,0,0,0,663367895383,179246557018,0,0,0,0,0,0,179246557018,0
2011,0,45025421339846,1276718594608,1410215684528,9129450113581,9129450113581,0,0,0,0,0,0,13707101357470,13847786090627,-140684733157,0,0,0,10671563664617,8955690040031,1890768349806,-174894725220,199177949881,0,0,199177949881,0,327505960129,265275008622,0,62230951507,0,8303688015032,6937597323779,987190764727,0,385959926526,0,-7060000000,45025421339846,41477789738367,1070276780371,11684453209552,11684453209552,0,19089859618148,2789558902,0,7838230091647,1792180479747,3547631601479,3004043016800,3000000000000,0,4043016800,0,0,0,90730718845,0,0,452857865834,0,0,398326908251,0,0,0,0,398326908251,0,0,0,0,0,398326908251,141178961687,0,0,0,0,0,0,141178961687,0
2012,0,52782830690448,807468024948,701234182913,7376463960142,4376463960142,3000000000000,0,207405555556,207405555556,0,360000000,20952361188370,21147824873683,-195463685313,0,0,0,11736418608313,10372146639365,1486435268025,-122163299077,57616952338,0,0,61491310665,-3874358327,311834279881,255582722580,0,56251557301,0,10631667937987,8908174751420,1277182875086,0,453370311481,0,-7060000000,52782830690448,47389084592501,565531992435,7895374488026,3533223288026,4362151200000,34261860116786,0,0,3644839683515,1021478311739,5393746097947,5004043016800,5000000000000,0,4043016800,0,0,0,53298582457,0,0,336404498690,0,0,1029659383949,0,0,0,0,1029659383949,0,0,0,0,0,1029659383949,277486714514,0,0,0,0,0,0,277486714514,0
2013,0,86226641414683,632025391095,1595174271111,11340653348174,5988409902805,5372058194432,-19814749063,667545285887,668466197782,-920911895,1847975080,43332980653728,44030492200344,-697511546616,0,0,0,13456295781674,12033115421317,1609680537709,-186500177352,95066857830,0,0,136891310665,-41824452835,590246279022,369550322297,0,220695956725,0,14514805571082,11932793563547,1574367263489,21428598540,1004867980506,113330045256,-18651835000,86226641414683,77627093490822,128173419004,11289316884831,5494880884831,5794436000000,62383934049007,0,116109678789,2503000000000,1206559459191,8599547923861,8104685517995,8100000000000,89002195,4598595800,-2080000,0,0,211531048560,0,0,283331357306,0,0,1303846041690,0,0,0,0,1303846041690,6094439188,0,0,0,0,1297751602502,673916999229,0,0,0,0,0,0,673916999229,0
2014,0,99524600000000,818918000000,2408922000000,16834982000000,9922400000000,6919583000000,-7001000000,936975000000,936975000000,0,3501000000,41375922000000,41859528000000,-483606000000,145373000000,145373000000,0,24472021000000,21348726000000,3307347000000,-184052000000,228538000000,0,0,249632000000,-21094000000,527398000000,310928000000,0,216470000000,0,11772050000000,8669527000000,1892784000000,21631000000,1208122000000,51921000000,-20014000000,99524600000000,90325757000000,184195000000,19506707000000,9550113000000,9956594000000,65411575000000,0,42792000000,3580000000000,1600488000000,8874049000000,8104686000000,8100000000000,89000000,4599000000,-2000000,0,0,255813000000,0,0,513550000000,0,324794000000,1778588000000,0,0,0,0,1778588000000,10700000000,0,0,0,0,1767888000000,6259548000000,4834117000000,2370928000000,1291694000000,1171495000000,0,0,1425431000000,0
