Year,Quarter,1. Revenue,1.1. Income from financial assets regconized through profit/loss (FVTPL),1.1.1. Income from selling financial assets FVTPL,1.1.2. FVTPL revaluation gain,"1.1.3. Dividend, interest from FVTPL financial assets",1.2. Income from held to maturity investment (HTM),1.3. Income from loans and receivables,1.4. Income from available for sales assets (AFS),1.5. Income from derivatives,1.6. Revenue in Brokerage services,1.7. Revenue in Underwriting services,1.8. Revenue in Issuance agency services,1.9. Revenue in Advisory services,1.10.Revenue in Auction trust services,1.11. Revenue in Securities custody services,1.12. Revenue in Securities investment and other investment activities,1.13. Rental income from investment property,1.14. Revenue from advisory services,1.15. Others revenue,2. Deductions,3. Net sales and services,4. Cost of goods sold,4.1. Loss from financial assets recognized through profit/loss (FVTPL),4.1.1 Loss from selling financial assets FVTPL,4.1.2 FVTPL financial assets revaluation loss,4.1.3 FVTPL financial assets purchase transaction costs,4.2 Loss form held to maturity investment (HTM),"4.3 Interest cost, loss from loans and receivables",4.4 Loss from available for sales assets (AFS),"4.5 Provision for losses from mortgage assets, uncollectible receivables, and borrowing expenses",4.6 Loss from derivatives,4.7 Proprietary trading services expenses,4.8 Brokerage expenses,"4.9 Underwriting, securities issuance expenses",4.10 Expenses for securities advisory,4.11 Bidding agent service expenses,4.12 Investor' securities depository expenses,4.13 Expenses for financial advisory activities,4.14 Other expenses,4.14.1 Expenses arise from securities transaction errors and other errors,5. Gross profit/(loss) from operating activities,6. Revenue from financial activities,6.1. Realized and unrealized foreign exchange gain,6.2. Income from non fixed accrued dividend and interest,"6.3. Gain from disposals or sales of investments in subsidiaries, associates and joint ventures",6.4. Other revenue from investments,7. Financial expenses,7.1. Realized and unrealized foreign exchange loss,7.2. Interests expenses,"7.3. Loss from disposals or sales of investments in subsidiaries, associates and joint ventures",7.4. Provision for losses on long term financial investment,7.5. Other investment expenses,8. Gain/(loss) from joint ventures,9. Selling costs,10. General and administrative expenses,11. Net profit/(loss) from operating activities,12. Other incomes/(loss),13. Other profit,14. Others revenue,"15. Shares of profit/(loss) in associates, joint-ventures",16. Profit/(loss) before tax,16.1.  Realized gain,16.2.  Unrealized gain,17. Business income tax expenses,17.1.  Current Enterprise Income Tax Expense,17.2.  DeferredIncomeTaxIncome/(expense),18.  Net profit/(loss)after tax,19. Equity holders of the parent,20. Profit after tax deducted of Funds,21. Minority Interests,22. Gain (loss) from revaluation of held to maturity investments,23. Gain (loss) from revaluation of available for sales financial assets,"24. Gain (loss) distributed from investments in subsidiaries, associates and joint ventures",25. Gain (loss) from revaluation of derivatives,26. Gain (loss) from foreign exchange difference of overseas operations,"27. Pre-distributed gain (loss) from investments in subsidiaries, associates and joint ventures",28. Gain (loss) from revaluation of derivatives,29. Gain (loss) from revaluation of fixed assets using fair value model,30. Total comprehensive income,31. Comprehensive income distributed to shareholders,32. Comprehensive income distributed to uncontrolled shareholders,33. Net income to common share,34. Basic earnings/(loss) per share,35. EPS_diluted
2010,1,60409390992,0,0,0,0,0,0,0,0,11986449249,260000000,0,644727272,0,52197368,9969653762,0,0,37496363341,0,60409390992,-43091341165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17318049827,0,0,0,0,0,0,0,0,0,0,0,0,0,-6816057403,10501992424,5827658,-126385000,-120557342,0,10381435082,0,0,0,0,0,10381435082,10381435082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,58435484052,0,0,0,0,0,0,0,0,7932434689,1014759269,0,1762086735,0,789606568,13104978649,0,0,33831618142,0,58435484052,-42223382326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16212101726,0,0,0,0,0,0,0,0,0,0,0,0,0,-7142602504,9069499222,0,-84000000,-84000000,0,8985499222,0,0,0,0,0,8985499222,8985499222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,24471013784,0,0,0,0,0,0,0,0,5020552929,1780000000,0,616358682,0,66845762,10040995542,0,0,6946260869,0,24471013784,-35071573288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10600559504,0,0,0,0,0,0,0,0,0,0,0,0,0,-802423472,-11402982976,2254427,0,2254427,0,-11400728549,0,0,0,0,0,-11400728549,-11400728549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,53952388011,0,0,0,0,0,0,0,0,5139338105,0,0,1829011113,0,228653550,40852141454,0,0,5903243789,0,53952388011,-35025752436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18926635575,0,0,0,0,0,0,0,0,0,0,0,0,0,-1450151629,17476483946,54273650,-64000000,-9726350,0,17466757596,0,0,0,0,0,17466757596,17466757596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,61394242775,0,0,0,0,0,0,0,0,5613320299,0,0,1035415207,0,699970395,28879776297,0,0,25165760577,0,61394242775,-194622537347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-133228294572,0,0,0,0,0,0,0,0,0,0,0,0,0,-1420021005,-134648315577,86397272,-97554649,-11157377,0,-134659472954,0,0,0,0,0,-134659472954,-134659472954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,57533643725,0,0,0,0,0,0,0,0,5756225531,15376105,0,1738872155,0,909027990,12133672357,0,0,36980469587,0,57533643725,-135411157812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77877514087,0,0,0,0,0,0,0,0,0,0,0,0,0,-1609926985,-79487441072,86291,-52553386,-52467095,0,-79539908167,0,0,0,0,0,-79539908167,-79539908167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,72838466750,0,0,0,0,0,0,0,0,9590700908,0,20454545,5904004186,0,764468102,27809883993,0,0,28748955016,0,72838466750,-43517631786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29320834964,0,0,0,0,0,0,0,0,0,0,0,0,0,-1353791408,27967043556,32674926,0,32674926,0,27999718482,0,0,0,0,0,27999718482,27999718482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,85089510276,0,0,0,0,0,0,0,0,12083674726,0,0,10906454546,0,1606908677,25695766002,0,0,34796706325,0,85089510276,-56964041080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28125469196,0,0,0,0,0,0,0,0,0,0,0,0,0,-876028726,27249440470,95164095,-157575000,-62410905,0,27187029565,0,0,0,0,0,27187029565,27187029565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,33372026738,0,0,0,0,0,0,0,0,6035215220,5550000000,144220719,2248727272,0,1625221579,8018049486,0,0,9750592462,0,33372026738,-39127504548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5755477810,0,0,0,0,0,0,0,0,0,0,0,0,0,-2074334001,-7829811811,150925823,-7947000,142978823,0,-7686832988,0,0,0,0,0,-7686832988,-7686832988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,29853412622,0,0,0,0,0,0,0,0,6310418406,1430000000,2206820636,1431311427,0,1920324764,7735926398,0,0,8818610991,0,29853412622,-52662158016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22808745394,0,0,0,0,0,0,0,0,0,0,0,0,0,-3390738677,-26199484071,3378493,0,3378493,0,-26196105578,0,0,0,0,0,-26196105578,-26196105578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
