Year,Quarter,Gross written premium,Reinsurance premium assumed,Deductions,Reinsurance premium ceded,Premium deductions,Premium returns,Other deductions,Increase in unearned premium reserve and techinical reserve,Commission on reinsurance ceded,Other income,Income on reinsurance assumed,Income on reinsurance ceded,Income from other acitvites,Net sales from insurance business,Claim and maturity payment expenses,Claim expenses for reinsurance assumed,Deductions,Recoveries form reinsurance ceded,Subrogation recoveries,Salvages,Claim expenses on retained risks,Claim expenses using catastrophe reserve,Increase/(decrease) in claim reserve,Provision for catastrophe reserve,Other insurance operating expenses,Other underwriting expenses,Commissions,Expense of recourse against the third party,Expense of handling fully-indemnified goods,Risk minimization expenses,"Loss adjusting fee, risk assessment",Others,Other reinsurance assumed expenses,Other reinsurance ceded expenses,Other direct insurance operating expenses,Total direct insurance operating expenses,Gross insurance operating profit,Income from banking activities,Expenses from banking activities,Net operating income from banking activities,Revenue from other activities,Expenses from other activities,Net operating income from other activities,Selling expenses,General and administrative expenses,General and administrative expenses of insurance operation,General and administrative expenses of banking operation,General and administrative expenses of others operation,Net operating profit from insurance operation,Net profit from bank operation,Net profit from others operation,Income from financial activites,of which: interest expenses,Profit from financial activities,Other incomes,Other expenses,Net other profit,Shares of the profit of associates and joint ventures,Profit before tax,Equalisation reserve,Enterprise income tax for the year,Profit after tax,Minority Interest,Net profit attributable to shareholders of the group,Earnings per share
2005,0,1178245975030,52379465491,-510115500663,-488516238493,-2161272371,-19437989799,0,-125727963995,48982995817,697522926,595828866,0,101694060,644462494606,-498944571626,-15285408160,190904530349,168588661227,5992842412,16323026710,-323325449437,0,70891142111,-10000000000,-108112701018,-95187564770,-66573103457,-337797411,-2385793,-11632746032,-751355510,-15890176567,0,-12925136248,0,-370547008344,273915486262,0,0,0,0,0,0,-8958288605,-263200365634,-263200365634,0,0,1756832023,0,0,94707709514,-10996077005,83711632509,173200488,-390999755,-217799267,0,85250665265,0,0,85250665265,0,85250665265,0
2006,0,1386716020318,81450933057,-548172462362,-526216506625,-5432738563,-16523217174,0,-27594174215,55994160165,143138587,0,0,143138587,948537615550,-611230916776,-18455742499,173019688710,160883042041,9133587158,3003059511,-456666970565,0,9137099007,0,-182905437335,-163318801223,-88676089243,-645687412,-5547619,-12658504976,-19230505489,-42102466484,0,-19586636112,0,-630435308893,318102306657,0,0,0,0,0,0,-4217818250,-310626269002,-310626269002,0,0,3258219405,0,0,100736646419,-3476541773,97260104646,397163537,-167788111,229375426,0,100747699477,0,0,100747699477,0,100747699477,2321
2007,0,1605642023006,123610240358,-616436170449,-598821418159,-1129268041,-16485484249,0,-97106482772,71281742958,248134331,0,0,248134331,1087239487432,-747316098297,-61318044503,181404638862,170838411486,7255999521,3310227855,-627229503938,80331313841,-70802473276,0,-229008563781,-199495720990,-107898522012,-410067122,-55728818,-1289781880,-18613635107,-71227986051,-29512842791,0,0,-846709227154,240530260278,0,0,0,0,0,0,-467240484,-335705732924,-335705732924,0,0,-95642713130,0,0,263568677065,-6550717324,257017959741,1418861431,-1583697845,-164836414,0,161210410197,0,-28502807345,132707602852,0,132707602852,2581
2008,0,1886136166326,133004025083,-643179391081,-630970094654,-351202927,-11858093500,0,-64461700168,68985625236,340207106,0,0,340207106,1380824932502,-994201007058,-69571188096,231088239213,210392328297,11796403914,8899507002,-832683955941,60395624136,-3139448177,-41278824025,-247214827425,-214386976000,-170178529177,-736022458,-281429685,-1659763622,-19638280189,-21892950869,-32827851425,0,0,-1063921431432,316903501070,0,0,0,0,0,0,-368584000,-376166086779,-376166086779,0,0,-59631169709,0,0,305675848698,-71450790884,234225057814,2175917081,-152172047,2023745034,28994968838,205612601977,0,-24303614486,181308987491,5601647446,175707340045,2401
2009,0,1845274468132,167840471857,-645035106261,-608609995208,-755622439,-35669488614,0,-67036109739,78048030869,204620159,0,0,204620159,1379296375017,-1093453347863,-66446896248,393846754328,386589877254,6030011029,1226866045,-766053489783,38000000000,-13538408520,-41042395012,-219425683749,-186381157527,-169223354523,-56859469,-13457363,-10777986182,-1126887694,-5182612296,-33044526222,0,0,-1002059977064,377236397953,0,0,0,0,0,0,0,-426317762012,-426317762012,0,0,-49081364059,0,0,273442646535,-40424085391,233018561144,1859109776,-169879068,1689230708,25323252666,210949680459,0,-21969293581,188980386878,5750568242,183229818636,2427
2010,0,1988214746740,172834567654,-700687788526,-606103559355,-1238926747,-46163364666,-47181937758,0,79797245693,1086609283,0,0,1086609283,1541245380844,-827035409462,-73353115398,155408271097,145971654341,8540193855,896422901,-744980253763,40000000000,-27168760740,-45226303908,-241634640005,-200648281200,-188794780259,-36662984,0,-1063374000,-10275017287,-478446670,-40986358805,0,0,-1019009958416,522235422428,0,0,0,0,0,0,0,-505486144448,-505486144448,0,0,16749277980,0,0,246299391081,-118195386316,128104004765,1552112658,-221906829,1330205829,17412971105,163596459679,0,-18741552500,144854907179,5125883569,139729023610,1871
2011,0,2132494422312,227382657819,-714652116949,-704080224777,-984351228,-9587540944,0,-32038987299,111648087489,1626427999,0,0,1626427999,1726460491371,-1598564075922,-105288538109,844287679144,830859652633,12828685608,599340903,-859564934887,49000000000,41874930497,-49356748910,-355173687827,-298609665862,-239471911092,-617732027,0,-11555793147,-498103918,-46466125678,-56564021965,0,0,-1173220441127,553240050244,0,0,0,0,0,0,0,-549935541254,-549935541254,0,0,3304508990,0,0,333407140664,-194191241777,139215898887,4954163724,-3973448297,980715427,33128402217,176629525521,0,-28487034869,148142490652,7332307038,140810183614,1803
2012,0,2294836075338,254129379252,-824883306726,-799445550571,-3022382084,-22415374071,0,-56433002128,118711534076,1099107714,0,0,1099107714,1787459787526,-1198708401894,-104018418647,493280186299,481735063659,7394890376,4150232264,-809446634242,65000000000,13165748867,-52149635203,-387487773698,-387487773698,-248881151530,-522639022,-48090908,0,-138035892238,0,0,0,0,-1170918294276,616541493250,0,0,0,0,0,0,0,-615701942729,-615701942729,0,0,839550521,0,0,244067367406,-180015263124,64052104282,15243448443,-777673745,14465774698,27728449829,107085879330,0,-14569513772,92516365558,5983766268,86532599290,1146
2013,0,2306342880038,290207853968,-707031974500,-695149013188,-1703853792,-10179107520,0,-48946747151,110832089278,525270098,0,0,525270098,1951929371731,-1292434842688,-162862547857,626413596116,604222425245,20443166457,1748004414,-828883794429,18000000000,5650708939,-19638932664,-492283307205,-420219202646,-259387999568,-350832207,-9400941,-11627942525,-1788633727,-147054393678,-72064104559,0,0,-1317155325359,634774046372,0,0,0,0,0,0,0,-579942795719,-579942795719,0,0,54831250653,0,0,195998458805,-174669802020,21328656785,5147516475,-1499498346,3648018129,25502450376,105310375943,0,-14490436195,90819939748,1335954180,89483985568,1185
2014,0,2601112991829,309024608261,-721748855784,-732987368244,11238512460,0,0,0,91582715382,481424927,0,0,481424927,2170396523516,-1287570653647,0,24735998958,0,24735998958,0,-818193345334,0,-37640390356,-21771502334,-1104552248327,-1104552248327,-297385298499,0,0,0,0,-807166949828,0,0,0,-1982157486351,188239037165,0,0,0,0,0,0,0,-136854112524,-136854112524,0,0,51384924641,0,0,171235491689,-99907953226,71327538463,4639157618,-2584953755,2054203863,20138932698,144905599665,0,-24587388162,120318211503,4257953145,116060258358,1537
